date,iso_code,indicator,indicator_code,value
2020-01-01,ABW,Population,SP.POP.TOTL,106766.0
2020-01-01,AFE,Population,SP.POP.TOTL,677243299.0
2020-01-01,AFG,Population,SP.POP.TOTL,38928341.0
2020-01-01,AFW,Population,SP.POP.TOTL,458803476.0
2020-01-01,AGO,Population,SP.POP.TOTL,32866268.0
2020-01-01,ALB,Population,SP.POP.TOTL,2837849.0
2020-01-01,AND,Population,SP.POP.TOTL,77265.0
2020-01-01,ARB,Population,SP.POP.TOTL,436080728.0
2020-01-01,ARE,Population,SP.POP.TOTL,9890400.0
2020-01-01,ARG,Population,SP.POP.TOTL,45376763.0
2020-01-01,ARM,Population,SP.POP.TOTL,2963234.0
2020-01-01,ASM,Population,SP.POP.TOTL,55197.0
2020-01-01,ATG,Population,SP.POP.TOTL,97928.0
2020-01-01,AUS,Population,SP.POP.TOTL,25693267.0
2020-01-01,AUT,Population,SP.POP.TOTL,8916864.0
2020-01-01,AZE,Population,SP.POP.TOTL,10093121.0
2020-01-01,BDI,Population,SP.POP.TOTL,11890781.0
2020-01-01,BEL,Population,SP.POP.TOTL,11544241.0
2020-01-01,BEN,Population,SP.POP.TOTL,12123198.0
2020-01-01,BFA,Population,SP.POP.TOTL,20903278.0
2020-01-01,BGD,Population,SP.POP.TOTL,164689383.0
2020-01-01,BGR,Population,SP.POP.TOTL,6934015.0
2020-01-01,BHR,Population,SP.POP.TOTL,1701583.0
2020-01-01,BHS,Population,SP.POP.TOTL,393248.0
2020-01-01,BIH,Population,SP.POP.TOTL,3280815.0
2020-01-01,BLR,Population,SP.POP.TOTL,9379952.0
2020-01-01,BLZ,Population,SP.POP.TOTL,397621.0
2020-01-01,BMU,Population,SP.POP.TOTL,63903.0
2020-01-01,BOL,Population,SP.POP.TOTL,11673029.0
2020-01-01,BRA,Population,SP.POP.TOTL,212559409.0
2020-01-01,BRB,Population,SP.POP.TOTL,287371.0
2020-01-01,BRN,Population,SP.POP.TOTL,437483.0
2020-01-01,BTN,Population,SP.POP.TOTL,771612.0
2020-01-01,BWA,Population,SP.POP.TOTL,2351625.0
2020-01-01,CAF,Population,SP.POP.TOTL,4829764.0
2020-01-01,CAN,Population,SP.POP.TOTL,38037204.0
2020-01-01,CEB,Population,SP.POP.TOTL,102172351.0
2020-01-01,CHE,Population,SP.POP.TOTL,8636561.0
2020-01-01,CHI,Population,SP.POP.TOTL,173859.0
2020-01-01,CHL,Population,SP.POP.TOTL,19116209.0
2020-01-01,CHN,Population,SP.POP.TOTL,1410929362.0
2020-01-01,CIV,Population,SP.POP.TOTL,26378275.0
2020-01-01,CMR,Population,SP.POP.TOTL,26545864.0
2020-01-01,COD,Population,SP.POP.TOTL,89561404.0
2020-01-01,COG,Population,SP.POP.TOTL,5518092.0
2020-01-01,COL,Population,SP.POP.TOTL,50882884.0
2020-01-01,COM,Population,SP.POP.TOTL,869595.0
2020-01-01,CPV,Population,SP.POP.TOTL,555988.0
2020-01-01,CRI,Population,SP.POP.TOTL,5094114.0
2020-01-01,CSS,Population,SP.POP.TOTL,7442291.0
2020-01-01,CUB,Population,SP.POP.TOTL,11326616.0
2020-01-01,CUW,Population,SP.POP.TOTL,154947.0
2020-01-01,CYM,Population,SP.POP.TOTL,65720.0
2020-01-01,CYP,Population,SP.POP.TOTL,1207361.0
2020-01-01,CZE,Population,SP.POP.TOTL,10697858.0
2020-01-01,DEU,Population,SP.POP.TOTL,83160871.0
2020-01-01,DJI,Population,SP.POP.TOTL,988002.0
2020-01-01,DMA,Population,SP.POP.TOTL,71991.0
2020-01-01,DNK,Population,SP.POP.TOTL,5831404.0
2020-01-01,DOM,Population,SP.POP.TOTL,10847904.0
2020-01-01,DZA,Population,SP.POP.TOTL,43851043.0
2020-01-01,EAP,Population,SP.POP.TOTL,2113820753.0
2020-01-01,EAR,Population,SP.POP.TOTL,3332103561.0
2020-01-01,EAS,Population,SP.POP.TOTL,2360916965.0
2020-01-01,ECA,Population,SP.POP.TOTL,420185872.0
2020-01-01,ECS,Population,SP.POP.TOTL,923142688.0
2020-01-01,ECU,Population,SP.POP.TOTL,17643060.0
2020-01-01,EGY,Population,SP.POP.TOTL,102334403.0
2020-01-01,EMU,Population,SP.POP.TOTL,342708355.0
2011-01-01,ERI,Population,SP.POP.TOTL,3213969.0
2020-01-01,ESP,Population,SP.POP.TOTL,47363419.0
2020-01-01,EST,Population,SP.POP.TOTL,1329479.0
2020-01-01,ETH,Population,SP.POP.TOTL,114963583.0
2020-01-01,EUU,Population,SP.POP.TOTL,447479493.0
2020-01-01,FCS,Population,SP.POP.TOTL,930004306.0
2020-01-01,FIN,Population,SP.POP.TOTL,5529543.0
2020-01-01,FJI,Population,SP.POP.TOTL,896444.0
2020-01-01,FRA,Population,SP.POP.TOTL,67379908.0
2020-01-01,FRO,Population,SP.POP.TOTL,48865.0
2020-01-01,FSM,Population,SP.POP.TOTL,115021.0
2020-01-01,GAB,Population,SP.POP.TOTL,2225728.0
2020-01-01,GBR,Population,SP.POP.TOTL,67215293.0
2020-01-01,GEO,Population,SP.POP.TOTL,3722716.0
2020-01-01,GHA,Population,SP.POP.TOTL,31072945.0
2020-01-01,GIB,Population,SP.POP.TOTL,33691.0
2020-01-01,GIN,Population,SP.POP.TOTL,13132792.0
2020-01-01,GMB,Population,SP.POP.TOTL,2416664.0
2020-01-01,GNB,Population,SP.POP.TOTL,1967998.0
2020-01-01,GNQ,Population,SP.POP.TOTL,1402985.0
2020-01-01,GRC,Population,SP.POP.TOTL,10700556.0
2020-01-01,GRD,Population,SP.POP.TOTL,112519.0
2020-01-01,GRL,Population,SP.POP.TOTL,56367.0
2020-01-01,GTM,Population,SP.POP.TOTL,16858333.0
