date,value,value_high,value_low,iso_code
2022-05-01,4143262,4614923,3637065,BDI
2022-05-02,4143262,4614923,3637065,BDI
2022-05-03,4107829,4589351,3620454,BDI
2022-05-04,4107829,4589351,3620454,BDI
2022-05-05,4107829,4589351,3620454,BDI
2022-05-06,4115890,4609482,3624479,BDI
2022-05-07,4115890,4609482,3624479,BDI
2022-05-08,4115964,4609482,3624479,BDI
2022-05-09,4115964,4609482,3624479,BDI
2022-05-10,4117289,4609537,3624479,BDI
2022-05-11,4127335,4603967,3621708,BDI
2022-05-12,4139551,4615445,3636819,BDI
2022-05-13,4133419,4611746,3633393,BDI
2022-05-14,4133419,4611746,3633393,BDI
2022-05-15,4133419,4611746,3633393,BDI
2022-05-16,4133419,4611746,3633393,BDI
2022-05-17,4140989,4619718,3645015,BDI
2022-05-18,4140989,4620509,3645787,BDI
2022-05-19,4140989,4619718,3645015,BDI
2022-05-20,4140393,4618298,3644078,BDI
2022-05-21,4177426,4641367,3667512,BDI
2022-05-22,4191424,4656707,3672352,BDI
2022-05-23,4198051,4660995,3672230,BDI
2022-05-24,4221463,4697601,3698520,BDI
2022-05-25,4221463,4698415,3698520,BDI
2022-05-26,4221463,4697601,3698520,BDI
2022-05-27,4220936,4697601,3698520,BDI
2022-05-28,4221463,4697601,3698520,BDI
2022-05-29,4221463,4697601,3698520,BDI
2022-05-30,4217241,4696234,3677630,BDI
2022-05-31,4217241,4696234,3677630,BDI
2022-06-01,4266838,4740962,3695958,BDI
2022-06-02,4266838,4740077,3695958,BDI
2022-06-03,4266838,4740077,3695955,BDI
2022-06-04,4266838,4740077,3695958,BDI
2022-06-05,4266838,4740962,3695958,BDI
2022-06-06,4266838,4740962,3695958,BDI
2022-06-07,4266838,4740962,3695958,BDI
2022-06-08,4266838,4740962,3695958,BDI
2022-06-09,4266838,4740962,3695958,BDI
2022-06-10,4266838,4740077,3695958,BDI
2022-06-11,4260673,4735331,3679801,BDI
2022-06-12,4260698,4735331,3679801,BDI
2022-06-13,4260698,4735331,3679801,BDI
2022-06-14,4260902,4735331,3679801,BDI
2022-06-15,4264323,4746389,3697237,BDI
2022-06-16,4263779,4746389,3697237,BDI
2022-06-17,4263754,4746389,3697237,BDI
2022-06-18,4263754,4746389,3697237,BDI
2022-06-19,4265349,4748685,3697237,BDI
2022-06-20,4265349,4748685,3697237,BDI
2022-06-21,4258936,4733648,3679768,BDI
2022-06-22,4258936,4733648,3679768,BDI
2022-06-23,4258936,4733648,3679768,BDI
2022-06-24,4258335,4733648,3679768,BDI
2022-06-25,4217403,4692774,3696782,BDI
2022-06-26,4212427,4681063,3687493,BDI
2022-06-27,4212427,4681063,3687493,BDI
2022-06-28,4212574,4679956,3687510,BDI
2022-06-29,4212574,4679956,3687510,BDI
2022-06-30,4216483,4688949,3698639,BDI
2022-07-01,4200247,4663624,3676490,BDI
2022-07-02,4201562,4663624,3676490,BDI
2022-07-03,4201968,4663961,3676793,BDI
2022-07-04,4201968,4663961,3677468,BDI
2022-07-05,4201968,4663961,3677468,BDI
2022-07-06,4201968,4663961,3677468,BDI
2022-07-07,4201968,4663961,3677468,BDI
2022-07-08,4200975,4663961,3677165,BDI
2022-07-09,4201968,4663961,3677468,BDI
2022-07-10,4201968,4663961,3677468,BDI
2022-07-11,4194475,4659313,3692235,BDI
2022-07-12,4194475,4659313,3692235,BDI
2022-07-13,4194475,4659313,3692235,BDI
2022-07-14,4194475,4659313,3692235,BDI
2022-07-15,4194475,4659313,3692235,BDI
2022-07-16,4194475,4659313,3692235,BDI
2022-07-17,4194475,4659313,3692235,BDI
2022-07-18,4194475,4659313,3692235,BDI
2022-07-19,4194475,4659313,3692235,BDI
2022-07-20,4194475,4659313,3692235,BDI
2022-07-21,4157589,4619399,3675233,BDI
2022-07-22,4157589,4619399,3675233,BDI
2022-07-23,4157589,4619399,3675233,BDI
2022-07-24,4157589,4619399,3675233,BDI
2022-07-25,4157589,4619399,3675233,BDI
2022-07-26,4157589,4619399,3675233,BDI
2022-07-27,4157589,4619399,3675233,BDI
2022-07-28,4165691,4619830,3680356,BDI
2022-07-29,4165691,4619830,3680356,BDI
2022-07-30,4165691,4619830,3680356,BDI
2022-07-31,4165691,4619830,3680356,BDI
2022-08-01,4167451,4609433,3683411,BDI
