date,value,value_high,value_low,iso_code
2021-12-08,4975178,4975178,4975178,BEN
2021-12-09,4976575,4976575,4976575,BEN
2021-12-10,4986300,4986300,4986300,BEN
2021-12-11,5050380,5050380,5050380,BEN
2021-12-12,5084654,5084654,5084654,BEN
2021-12-13,5060202,5060202,5060202,BEN
2021-12-14,5072309,5072309,5072309,BEN
2021-12-15,5092870,5092870,5092870,BEN
2021-12-16,5144980,5144980,5144980,BEN
2021-12-17,5126577,5126577,5126577,BEN
2021-12-18,5097711,5097711,5097711,BEN
2021-12-19,5093563,5093563,5093563,BEN
2021-12-20,5108261,5108261,5108261,BEN
2021-12-21,5086663,5086663,5086663,BEN
2021-12-22,5112301,5112301,5112301,BEN
2021-12-23,5143092,5143092,5143092,BEN
2021-12-24,5131604,5131604,5131604,BEN
2021-12-25,5128681,5128681,5128681,BEN
2021-12-26,5122675,5122675,5122675,BEN
2021-12-27,5178483,5178483,5178483,BEN
2021-12-28,5251521,5251521,5251521,BEN
2021-12-29,5176360,5176360,5176360,BEN
2021-12-30,5110019,5110019,5110019,BEN
2021-12-31,5113763,5113763,5113763,BEN
2022-01-01,5060123,5060123,5060123,BEN
2022-01-02,5062145,5062145,5062145,BEN
2022-01-03,5109074,5109074,5109074,BEN
2022-01-04,5067918,5067918,5067918,BEN
2022-01-05,5070418,5070418,5070418,BEN
2022-01-06,5117122,5117122,5117122,BEN
2022-01-07,5108519,5108519,5108519,BEN
2022-01-08,5080856,5080856,5080856,BEN
2022-01-09,5036287,5036287,5036287,BEN
2022-01-10,4955347,4955347,4955347,BEN
2022-01-11,4917495,4917495,4917495,BEN
