date,value,value_high,value_low,iso_code
2022-04-29,21372564,24650868,17701562,BGD
2022-04-30,21372564,24737605,17718210,BGD
2022-05-01,21471257,25119083,17839384,BGD
2022-05-02,21460269,25119083,17839384,BGD
2022-05-03,21317170,24574901,17631208,BGD
2022-05-04,21317170,24574901,17631208,BGD
2022-05-05,21356202,24619627,17649639,BGD
2022-05-06,21319622,24589381,17649639,BGD
2022-05-07,21319622,24589381,17649639,BGD
2022-05-08,21316780,24589381,17649639,BGD
2022-05-09,21316780,24589381,17649639,BGD
2022-05-10,21316780,24589381,17649639,BGD
2022-05-11,21130328,24619710,17631879,BGD
2022-05-12,21130328,24619710,17631879,BGD
2022-05-13,21127594,24619710,17631879,BGD
2022-05-14,21127594,24619710,17631879,BGD
2022-05-15,21127594,24619710,17631879,BGD
2022-05-16,21127594,24619710,17631879,BGD
2022-05-17,21313355,24934528,17674061,BGD
2022-05-18,21240576,24906783,17660575,BGD
2022-05-19,21241189,24906783,17664433,BGD
2022-05-20,21224194,24906783,17664433,BGD
2022-05-21,21276109,25099458,17746920,BGD
2022-05-22,21276109,25099458,17746920,BGD
2022-05-23,21311010,25171443,17765113,BGD
2022-05-24,21203310,24900450,17644730,BGD
2022-05-25,21203310,24892769,17644730,BGD
2022-05-26,21203310,24892769,17644730,BGD
2022-05-27,21203310,24892722,17642624,BGD
2022-05-28,21202147,24892722,17641703,BGD
2022-05-29,21202147,24892722,17641703,BGD
2022-05-30,22091419,25997453,18389089,BGD
2022-05-31,22045258,25997453,18389089,BGD
2022-06-01,22180113,25850839,18443744,BGD
2022-06-02,22185479,25864286,18443744,BGD
2022-06-03,22218770,25864286,18466549,BGD
2022-06-04,22218770,25864286,18466549,BGD
2022-06-05,22240044,25869616,18466549,BGD
2022-06-06,22273274,25982519,18588099,BGD
2022-06-07,22280369,25949469,18596333,BGD
2022-06-08,22203366,25621423,18513233,BGD
2022-06-09,22203086,25617647,18513233,BGD
2022-06-10,22196152,25613725,18513233,BGD
2022-06-11,22261999,25837152,18651406,BGD
2022-06-12,22251830,26039501,18619190,BGD
2022-06-13,22229683,26039501,18619190,BGD
2022-06-14,22229683,26039501,18619190,BGD
2022-06-15,22147292,25791217,18435084,BGD
2022-06-16,22156894,25827223,18436096,BGD
2022-06-17,22155794,25960561,18439158,BGD
2022-06-18,22021101,25699354,18431944,BGD
2022-06-19,22021101,25699354,18432670,BGD
2022-06-20,22021101,25724391,18432670,BGD
2022-06-21,21817543,25562189,18276866,BGD
2022-06-22,21790192,25406817,18274930,BGD
2022-06-23,21790888,25406817,18274930,BGD
2022-06-24,21790888,25550939,18288729,BGD
2022-06-25,21817610,25619237,18288100,BGD
2022-06-26,21811594,25609556,18287842,BGD
2022-06-27,21806885,25553762,18287842,BGD
2022-06-28,21144575,25136341,17880082,BGD
2022-06-29,21125404,25121522,17865544,BGD
2022-06-30,21124925,25121522,17865544,BGD
2022-07-01,20727152,24610462,17526786,BGD
2022-07-02,20727152,24610462,17526786,BGD
2022-07-03,20727152,24610462,17526786,BGD
2022-07-04,20941886,24770145,17683913,BGD
2022-07-05,20842037,24609580,17627629,BGD
2022-07-06,20774083,24609580,17627629,BGD
2022-07-07,20781287,24609580,17627629,BGD
2022-07-08,20781287,24609580,17627629,BGD
2022-07-09,20757520,24629930,17578100,BGD
2022-07-10,20787311,24656766,17578100,BGD
2022-07-11,20844650,24629161,17543917,BGD
2022-07-12,20852581,24629161,17543917,BGD
2022-07-13,20852581,24631451,17543917,BGD
2022-07-14,20858279,24640515,17543917,BGD
2022-07-15,20862483,24668634,17543917,BGD
2022-07-16,20862483,24668634,17543917,BGD
2022-07-17,20866469,24668634,17527670,BGD
2022-07-18,20927618,24835723,17662529,BGD
2022-07-19,20927618,24814202,17662529,BGD
2022-07-20,20979702,24814202,17733160,BGD
2022-07-21,20964781,24807273,17756573,BGD
2022-07-22,20964781,24807273,17756573,BGD
2022-07-23,20964781,24807273,17756573,BGD
2022-07-24,20963322,24786601,17756573,BGD
2022-07-25,20959484,24767270,17756573,BGD
2022-07-26,20932222,24637258,17754634,BGD
2022-07-27,21896816,25678497,18666377,BGD
2022-07-28,21014345,24613965,17822864,BGD
2022-07-29,20953804,24603140,17788732,BGD
