indicator,date,value,iso_code
Food Inflation,1996-01-31,20.8,BGR
Food Inflation,1996-02-29,17.6,BGR
Food Inflation,1996-03-31,19.8,BGR
Food Inflation,1996-04-30,23.2,BGR
Food Inflation,1996-05-31,35.0,BGR
Food Inflation,1996-06-30,66.2,BGR
Food Inflation,1996-07-31,100.1,BGR
Food Inflation,1996-08-31,148.5,BGR
Food Inflation,1996-09-30,187.8,BGR
Food Inflation,1996-10-31,237.1,BGR
Food Inflation,1996-11-30,248.8,BGR
Food Inflation,1996-12-31,323.0,BGR
Food Inflation,1997-01-31,527.0,BGR
Food Inflation,1997-02-28,2223.9,BGR
Food Inflation,1997-03-31,2186.5,BGR
Food Inflation,1997-04-30,2066.5,BGR
Food Inflation,1997-05-31,1914.7,BGR
Food Inflation,1997-06-30,1567.1,BGR
Food Inflation,1997-07-31,1336.2,BGR
Food Inflation,1997-08-31,1143.0,BGR
Food Inflation,1997-09-30,952.5,BGR
Food Inflation,1997-10-31,772.7,BGR
Food Inflation,1997-11-30,717.9,BGR
Food Inflation,1997-12-31,548.2,BGR
Food Inflation,1998-01-31,333.7,BGR
Food Inflation,1998-02-28,17.1,BGR
Food Inflation,1998-03-31,17.6,BGR
Food Inflation,1998-04-30,21.8,BGR
Food Inflation,1998-05-31,14.9,BGR
Food Inflation,1998-06-30,7.3,BGR
Food Inflation,1998-07-31,1.8,BGR
Food Inflation,1998-08-31,-6.0,BGR
Food Inflation,1998-09-30,-6.1,BGR
Food Inflation,1998-10-31,-6.3,BGR
Food Inflation,1998-11-30,-8.1,BGR
Food Inflation,1998-12-31,-7.3,BGR
Food Inflation,1999-01-31,-9.3,BGR
Food Inflation,1999-02-28,-12.0,BGR
Food Inflation,1999-03-31,-14.0,BGR
Food Inflation,1999-04-30,-15.8,BGR
Food Inflation,1999-05-31,-14.6,BGR
Food Inflation,1999-06-30,-10.3,BGR
Food Inflation,1999-07-31,-5.2,BGR
Food Inflation,1999-08-31,-4.0,BGR
Food Inflation,1999-09-30,-4.8,BGR
Food Inflation,1999-10-31,-3.2,BGR
Food Inflation,1999-11-30,-1.1,BGR
Food Inflation,1999-12-31,0.8,BGR
Food Inflation,2000-01-31,2.5,BGR
Food Inflation,2000-02-29,6.3,BGR
Food Inflation,2000-03-31,7.1,BGR
Food Inflation,2000-04-30,6.6,BGR
Food Inflation,2000-05-31,8.3,BGR
Food Inflation,2000-06-30,10.7,BGR
Food Inflation,2000-07-31,8.9,BGR
Food Inflation,2000-08-31,14.9,BGR
Food Inflation,2000-09-30,15.4,BGR
Food Inflation,2000-10-31,15.1,BGR
Food Inflation,2000-11-30,14.5,BGR
Food Inflation,2000-12-31,13.1,BGR
Food Inflation,2001-01-31,10.3,BGR
Food Inflation,2001-02-28,8.1,BGR
Food Inflation,2001-03-31,9.5,BGR
Food Inflation,2001-04-30,11.5,BGR
Food Inflation,2001-05-31,11.7,BGR
Food Inflation,2001-06-30,11.4,BGR
Food Inflation,2001-07-31,8.6,BGR
Food Inflation,2001-08-31,2.0,BGR
Food Inflation,2001-09-30,1.7,BGR
Food Inflation,2001-10-31,1.2,BGR
Food Inflation,2001-11-30,1.5,BGR
Food Inflation,2001-12-31,2.7,BGR
Food Inflation,2002-01-31,5.0,BGR
Food Inflation,2002-02-28,6.3,BGR
Food Inflation,2002-03-31,6.8,BGR
Food Inflation,2002-04-30,6.8,BGR
Food Inflation,2002-05-31,2.3,BGR
Food Inflation,2002-06-30,-1.3,BGR
Food Inflation,2002-07-31,-3.9,BGR
Food Inflation,2002-08-31,-4.4,BGR
Food Inflation,2002-09-30,-5.1,BGR
Food Inflation,2002-10-31,-4.1,BGR
Food Inflation,2002-11-30,-4.6,BGR
Food Inflation,2002-12-31,-4.4,BGR
Food Inflation,2003-01-31,-6.7,BGR
Food Inflation,2003-02-28,-7.2,BGR
Food Inflation,2003-03-31,-6.8,BGR
Food Inflation,2003-04-30,-5.1,BGR
Food Inflation,2003-05-31,-1.2,BGR
Food Inflation,2003-06-30,-2.8,BGR
Food Inflation,2003-07-31,-1.0,BGR
Food Inflation,2003-08-31,1.7,BGR
Food Inflation,2003-09-30,2.4,BGR
Food Inflation,2003-10-31,1.9,BGR
Food Inflation,2003-11-30,7.0,BGR
