indicator,date,value,iso_code
Food Inflation,1990-07-31,3915.71,BRA
Food Inflation,1990-08-31,3233.33,BRA
Food Inflation,1990-09-30,2870.83,BRA
Food Inflation,1990-10-31,2426.42,BRA
Food Inflation,1990-11-30,1896.14,BRA
Food Inflation,1990-12-31,1414.76,BRA
Food Inflation,1991-01-31,962.66,BRA
Food Inflation,1991-02-28,651.87,BRA
Food Inflation,1991-03-31,310.31,BRA
Food Inflation,1991-04-30,302.44,BRA
Food Inflation,1991-05-31,307.39,BRA
Food Inflation,1991-06-30,308.54,BRA
Food Inflation,1991-07-31,301.1,BRA
Food Inflation,1991-08-31,327.03,BRA
Food Inflation,1991-09-30,335.99,BRA
Food Inflation,1991-10-31,386.01,BRA
Food Inflation,1991-11-30,449.52,BRA
Food Inflation,1991-12-31,471.79,BRA
Food Inflation,1992-01-31,482.87,BRA
Food Inflation,1992-02-29,513.33,BRA
Food Inflation,1992-03-31,613.82,BRA
Food Inflation,1992-04-30,706.24,BRA
Food Inflation,1992-05-31,866.12,BRA
Food Inflation,1992-06-30,947.16,BRA
Food Inflation,1992-07-31,1021.69,BRA
Food Inflation,1992-08-31,1074.41,BRA
Food Inflation,1992-09-30,1157.52,BRA
Food Inflation,1992-10-31,1170.77,BRA
Food Inflation,1992-11-30,1095.71,BRA
Food Inflation,1992-12-31,1152.32,BRA
Food Inflation,1993-01-31,1237.95,BRA
Food Inflation,1993-02-28,1229.79,BRA
Food Inflation,1993-03-31,1286.23,BRA
Food Inflation,1993-04-30,1391.25,BRA
Food Inflation,1993-05-31,1402.8,BRA
Food Inflation,1993-06-30,1516.59,BRA
Food Inflation,1993-07-31,1620.31,BRA
Food Inflation,1993-08-31,1768.22,BRA
Food Inflation,1993-09-30,1910.29,BRA
Food Inflation,1993-10-31,2018.78,BRA
Food Inflation,1993-11-30,2247.89,BRA
Food Inflation,1993-12-31,2468.08,BRA
Food Inflation,1994-01-31,2738.82,BRA
Food Inflation,1994-02-28,3116.34,BRA
Food Inflation,1994-03-31,3581.87,BRA
Food Inflation,1994-04-30,4021.38,BRA
Food Inflation,1994-05-31,4474.92,BRA
Food Inflation,1994-06-30,5266.83,BRA
Food Inflation,1994-07-31,4493.26,BRA
Food Inflation,1994-08-31,3390.54,BRA
Food Inflation,1994-09-30,2483.59,BRA
Food Inflation,1994-10-31,1923.73,BRA
Food Inflation,1994-11-30,1451.52,BRA
Food Inflation,1994-12-31,1023.93,BRA
Food Inflation,1995-01-31,671.21,BRA
Food Inflation,1995-02-28,448.96,BRA
Food Inflation,1995-03-31,286.02,BRA
Food Inflation,1995-04-30,174.95,BRA
Food Inflation,1995-05-31,97.1,BRA
Food Inflation,1995-06-30,29.22,BRA
Food Inflation,1995-07-31,18.59,BRA
Food Inflation,1995-08-31,17.56,BRA
Food Inflation,1995-09-30,17.37,BRA
Food Inflation,1995-10-31,12.37,BRA
Food Inflation,1995-11-30,8.52,BRA
Food Inflation,1995-12-31,8.42,BRA
Food Inflation,1996-01-31,9.01,BRA
Food Inflation,1996-02-29,9.19,BRA
Food Inflation,1996-03-31,7.62,BRA
Food Inflation,1996-04-30,6.05,BRA
Food Inflation,1996-05-31,6.22,BRA
Food Inflation,1996-06-30,7.2,BRA
Food Inflation,1996-07-31,6.71,BRA
Food Inflation,1996-08-31,5.38,BRA
Food Inflation,1996-09-30,4.8,BRA
Food Inflation,1996-10-31,4.58,BRA
Food Inflation,1996-11-30,3.09,BRA
Food Inflation,1996-12-31,1.72,BRA
Food Inflation,1997-01-31,1.41,BRA
Food Inflation,1997-02-28,2.03,BRA
Food Inflation,1997-03-31,3.3,BRA
Food Inflation,1997-04-30,2.62,BRA
Food Inflation,1997-05-31,1.0,BRA
Food Inflation,1997-06-30,-0.02,BRA
Food Inflation,1997-07-31,-1.05,BRA
Food Inflation,1997-08-31,-0.94,BRA
Food Inflation,1997-09-30,-0.57,BRA
Food Inflation,1997-10-31,-0.41,BRA
Food Inflation,1997-11-30,0.13,BRA
Food Inflation,1997-12-31,1.2,BRA
Food Inflation,1998-01-31,1.47,BRA
Food Inflation,1998-02-28,1.37,BRA
Food Inflation,1998-03-31,0.94,BRA
Food Inflation,1998-04-30,1.96,BRA
Food Inflation,1998-05-31,4.33,BRA
Food Inflation,1998-06-30,4.82,BRA
Food Inflation,1998-07-31,4.33,BRA
Food Inflation,1998-08-31,3.67,BRA
Food Inflation,1998-09-30,3.39,BRA
Food Inflation,1998-10-31,3.1,BRA
Food Inflation,1998-11-30,2.45,BRA
Food Inflation,1998-12-31,1.95,BRA
Food Inflation,1999-01-31,1.61,BRA
Food Inflation,1999-02-28,3.72,BRA
Food Inflation,1999-03-31,4.97,BRA
Food Inflation,1999-04-30,3.85,BRA
Food Inflation,1999-05-31,1.46,BRA
Food Inflation,1999-06-30,0.03,BRA
Food Inflation,1999-07-31,0.79,BRA
Food Inflation,1999-08-31,2.15,BRA
Food Inflation,1999-09-30,2.98,BRA
Food Inflation,1999-10-31,4.82,BRA
Food Inflation,1999-11-30,6.73,BRA
Food Inflation,1999-12-31,8.13,BRA
Food Inflation,2000-01-31,8.06,BRA
Food Inflation,2000-02-29,4.95,BRA
Food Inflation,2000-03-31,2.41,BRA
Food Inflation,2000-04-30,2.27,BRA
Food Inflation,2000-05-31,2.56,BRA
Food Inflation,2000-06-30,4.01,BRA
Food Inflation,2000-07-31,6.11,BRA
Food Inflation,2000-08-31,8.17,BRA
Food Inflation,2000-09-30,8.37,BRA
Food Inflation,2000-10-31,6.66,BRA
Food Inflation,2000-11-30,5.16,BRA
Food Inflation,2000-12-31,3.2,BRA
Food Inflation,2001-01-31,2.99,BRA
Food Inflation,2001-02-28,3.3,BRA
Food Inflation,2001-03-31,4.99,BRA
Food Inflation,2001-04-30,7.27,BRA
Food Inflation,2001-05-31,8.62,BRA
Food Inflation,2001-06-30,8.6,BRA
Food Inflation,2001-07-31,7.42,BRA
Food Inflation,2001-08-31,6.11,BRA
Food Inflation,2001-09-30,5.97,BRA
Food Inflation,2001-10-31,7.01,BRA
Food Inflation,2001-11-30,8.49,BRA
Food Inflation,2001-12-31,9.63,BRA
Food Inflation,2002-01-31,9.87,BRA
Food Inflation,2002-02-28,10.03,BRA
Food Inflation,2002-03-31,9.18,BRA
Food Inflation,2002-04-30,6.91,BRA
Food Inflation,2002-05-31,5.66,BRA
Food Inflation,2002-06-30,5.64,BRA
Food Inflation,2002-07-31,6.04,BRA
Food Inflation,2002-08-31,7.21,BRA
Food Inflation,2002-09-30,8.89,BRA
Food Inflation,2002-10-31,10.65,BRA
Food Inflation,2002-11-30,15.61,BRA
Food Inflation,2002-12-31,19.46,BRA
Food Inflation,2003-01-31,21.0,BRA
Food Inflation,2003-02-28,22.23,BRA
Food Inflation,2003-03-31,23.78,BRA
Food Inflation,2003-04-30,25.43,BRA
Food Inflation,2003-05-31,26.97,BRA
Food Inflation,2003-06-30,26.44,BRA
Food Inflation,2003-07-31,24.29,BRA
Food Inflation,2003-08-31,21.59,BRA
Food Inflation,2003-09-30,20.18,BRA
Food Inflation,2003-10-31,17.46,BRA
Food Inflation,2003-11-30,11.25,BRA
Food Inflation,2003-12-31,7.48,BRA
Food Inflation,2004-01-31,6.14,BRA
Food Inflation,2004-02-29,5.02,BRA
Food Inflation,2004-03-31,3.75,BRA
Food Inflation,2004-04-30,2.36,BRA
Food Inflation,2004-05-31,1.96,BRA
Food Inflation,2004-06-30,3.04,BRA
Food Inflation,2004-07-31,4.43,BRA
Food Inflation,2004-08-31,5.6,BRA
Food Inflation,2004-09-30,4.59,BRA
Food Inflation,2004-10-31,3.87,BRA
Food Inflation,2004-11-30,3.6,BRA
Food Inflation,2004-12-31,3.87,BRA
Food Inflation,2005-01-31,3.76,BRA
Food Inflation,2005-02-28,4.12,BRA
Food Inflation,2005-03-31,3.94,BRA
Food Inflation,2005-04-30,5.14,BRA
Food Inflation,2005-05-31,5.58,BRA
Food Inflation,2005-06-30,4.12,BRA
Food Inflation,2005-07-31,2.63,BRA
Food Inflation,2005-08-31,1.02,BRA
Food Inflation,2005-09-30,0.96,BRA
Food Inflation,2005-10-31,1.47,BRA
Food Inflation,2005-11-30,2.37,BRA
Food Inflation,2005-12-31,1.99,BRA
Food Inflation,2006-01-31,1.31,BRA
Food Inflation,2006-02-28,0.53,BRA
Food Inflation,2006-03-31,0.03,BRA
Food Inflation,2006-04-30,-1.04,BRA
Food Inflation,2006-05-31,-1.71,BRA
Food Inflation,2006-06-30,-1.65,BRA
Food Inflation,2006-07-31,-0.8,BRA
Food Inflation,2006-08-31,0.0,BRA
Food Inflation,2006-09-30,0.33,BRA
Food Inflation,2006-10-31,0.94,BRA
Food Inflation,2006-11-30,1.11,BRA
Food Inflation,2006-12-31,1.23,BRA
Food Inflation,2007-01-31,1.97,BRA
Food Inflation,2007-02-28,3.06,BRA
Food Inflation,2007-03-31,4.32,BRA
Food Inflation,2007-04-30,4.63,BRA
Food Inflation,2007-05-31,4.83,BRA
Food Inflation,2007-06-30,6.62,BRA
Food Inflation,2007-07-31,7.88,BRA
Food Inflation,2007-08-31,9.3,BRA
Food Inflation,2007-09-30,9.7,BRA
