date,value,value_high,value_low,iso_code
2022-05-02,177313,203489,148453,BTN
2022-05-03,175802,201267,142646,BTN
2022-05-04,175802,201267,142646,BTN
2022-05-05,175802,201267,142646,BTN
2022-05-06,176671,202323,143131,BTN
2022-05-07,176671,202323,143131,BTN
2022-05-08,176671,202323,143131,BTN
2022-05-09,176671,202323,143131,BTN
2022-05-10,176695,202323,143397,BTN
2022-05-11,178364,203777,144894,BTN
2022-05-12,178364,203777,144894,BTN
2022-05-13,178364,203777,144894,BTN
2022-05-14,178364,203777,144894,BTN
2022-05-15,178364,203777,144894,BTN
2022-05-16,178364,203777,144894,BTN
2022-05-17,179773,205756,146687,BTN
2022-05-18,180694,206162,148344,BTN
2022-05-19,180711,206162,148344,BTN
2022-05-20,180711,206162,148344,BTN
2022-05-21,184019,212601,150245,BTN
2022-05-22,184019,212601,150245,BTN
2022-05-23,184019,212601,150245,BTN
2022-05-24,184860,214118,150952,BTN
2022-05-25,184863,214118,150952,BTN
2022-05-26,187945,217110,160467,BTN
2022-05-27,187945,217110,160467,BTN
2022-05-28,187979,217110,160544,BTN
2022-05-29,189993,218417,162577,BTN
2022-05-30,189630,218289,162093,BTN
2022-05-31,189630,218289,162093,BTN
2022-06-01,194092,223810,164108,BTN
2022-06-02,194092,223810,164108,BTN
2022-06-03,195851,227051,165743,BTN
2022-06-04,195851,227051,165743,BTN
2022-06-05,194092,223810,164108,BTN
2022-06-06,194092,223810,164108,BTN
2022-06-07,194092,223810,164108,BTN
2022-06-08,194092,223810,164108,BTN
2022-06-09,194092,223810,164108,BTN
2022-06-10,194092,223810,164108,BTN
2022-06-11,196990,233600,166309,BTN
2022-06-12,196990,233600,166309,BTN
2022-06-13,196990,233600,166309,BTN
2022-06-14,196990,233600,166309,BTN
2022-06-15,197380,232863,167545,BTN
2022-06-16,197774,232875,170476,BTN
2022-06-17,197774,232721,170476,BTN
2022-06-18,197774,232721,170476,BTN
2022-06-19,197774,232721,170476,BTN
2022-06-20,197774,232721,170476,BTN
2022-06-21,198238,237186,169768,BTN
2022-06-22,198238,237186,169768,BTN
2022-06-23,198238,237186,169768,BTN
2022-06-24,198398,237186,169768,BTN
2022-06-25,198306,234051,170841,BTN
2022-06-26,198306,234051,170841,BTN
2022-06-27,198306,234051,170841,BTN
2022-06-28,198396,234051,171072,BTN
2022-06-29,198396,234051,171072,BTN
2022-06-30,198396,234051,171072,BTN
2022-07-01,197793,231796,170919,BTN
2022-07-02,197793,231796,170919,BTN
2022-07-03,197793,231796,170919,BTN
2022-07-04,197729,231809,170919,BTN
2022-07-05,197790,231943,170879,BTN
2022-07-06,197790,231943,170879,BTN
2022-07-07,197786,231943,170879,BTN
2022-07-08,197786,231943,170879,BTN
2022-07-09,197786,231943,170879,BTN
2022-07-10,197786,231943,170879,BTN
2022-07-11,196441,226644,169017,BTN
2022-07-12,196441,226644,169017,BTN
2022-07-13,196441,226435,169017,BTN
2022-07-14,196396,226435,169017,BTN
2022-07-15,196397,226435,169017,BTN
2022-07-16,196397,226435,169017,BTN
2022-07-17,196397,226435,169017,BTN
2022-07-18,196397,226435,169017,BTN
2022-07-19,196397,226435,169017,BTN
2022-07-20,196397,226435,169017,BTN
2022-07-21,195024,224937,167135,BTN
2022-07-22,195120,224937,167135,BTN
2022-07-23,195024,224937,167135,BTN
2022-07-24,195024,224937,167135,BTN
2022-07-25,195120,224937,167135,BTN
2022-07-26,195120,224937,167135,BTN
2022-07-27,195120,224937,167135,BTN
2022-07-28,194506,224550,168045,BTN
2022-07-29,194506,224550,168045,BTN
2022-07-30,194506,224550,168045,BTN
2022-07-31,194506,224550,168045,BTN
2022-08-01,192619,220818,165093,BTN
2022-08-02,192619,220818,165093,BTN
