date,value,value_high,value_low,iso_code
2022-04-29,1888232,1973812,1816412,CAF
2022-04-30,1877965,1960484,1800436,CAF
2022-05-01,1770318,1834340,1704580,CAF
2022-05-02,1764327,1831981,1695738,CAF
2022-05-03,1836245,1921979,1755153,CAF
2022-05-04,1834676,1918221,1755821,CAF
2022-05-05,1831811,1915032,1753417,CAF
2022-05-06,1823236,1906616,1745618,CAF
2022-05-07,1811753,1895133,1734135,CAF
2022-05-08,1788508,1871888,1710890,CAF
2022-05-09,1776857,1860237,1699239,CAF
2022-05-10,1772499,1855973,1694975,CAF
2022-05-11,1762153,1845681,1685859,CAF
2022-05-12,1757523,1841051,1681217,CAF
2022-05-13,1750424,1833845,1673734,CAF
2022-05-14,1738650,1822071,1661960,CAF
2022-05-15,1660545,1727428,1586974,CAF
2022-05-16,1654109,1720992,1580538,CAF
2022-05-17,1646049,1715326,1573730,CAF
2022-05-18,1638590,1707833,1567311,CAF
2022-05-19,1638636,1707728,1567206,CAF
2022-05-20,1629940,1699032,1558510,CAF
2022-05-21,1615688,1681979,1546197,CAF
2022-05-22,1608273,1674564,1538782,CAF
2022-05-23,1594881,1662043,1525406,CAF
2022-05-24,1572577,1644882,1501708,CAF
2022-05-25,1564246,1636551,1494765,CAF
2022-05-26,1560980,1633285,1491499,CAF
2022-05-27,1560318,1632623,1490837,CAF
2022-05-28,1549337,1621642,1479856,CAF
2022-05-29,1551496,1623801,1482015,CAF
2022-05-30,1534500,1602917,1464621,CAF
2022-05-31,1523696,1592113,1453817,CAF
2022-06-01,1512614,1581080,1449975,CAF
2022-06-02,1509335,1577801,1446696,CAF
2022-06-03,1504228,1572694,1441589,CAF
2022-06-04,1499022,1567488,1436580,CAF
2022-06-05,1500044,1568510,1437602,CAF
2022-06-06,1498610,1567076,1436168,CAF
2022-06-07,1486584,1555050,1424142,CAF
2022-06-08,1486770,1555236,1424328,CAF
2022-06-09,1474862,1543328,1412420,CAF
2022-06-10,1468644,1537110,1406202,CAF
2022-06-11,1458367,1526840,1396019,CAF
2022-06-12,1456499,1524972,1394151,CAF
2022-06-13,1445422,1513895,1383074,CAF
2022-06-14,1435104,1503577,1372756,CAF
2022-06-15,1425144,1494091,1363030,CAF
2022-06-16,1419366,1488313,1357252,CAF
2022-06-17,1418827,1487774,1356713,CAF
2022-06-18,1417137,1486084,1355023,CAF
2022-06-19,1407693,1476640,1346008,CAF
2022-06-20,1393901,1462848,1332216,CAF
2022-06-21,1385343,1454098,1323689,CAF
2022-06-22,1392274,1461029,1330620,CAF
2022-06-23,1400595,1469350,1338941,CAF
2022-06-24,1399613,1468368,1337959,CAF
2022-06-25,1399392,1468608,1337691,CAF
2022-06-26,1397494,1467139,1334654,CAF
2022-06-27,1390621,1460740,1327330,CAF
2022-06-28,1388115,1457235,1323963,CAF
2022-06-29,1394041,1463169,1329897,CAF
2022-06-30,1397090,1466330,1333058,CAF
2022-07-01,1483660,1563807,1406839,CAF
2022-07-02,1485917,1566064,1409096,CAF
2022-07-03,1479535,1559682,1402714,CAF
2022-07-04,1479039,1559186,1402218,CAF
2022-07-05,1476859,1557006,1400038,CAF
2022-07-06,1474359,1554506,1397538,CAF
2022-07-07,1479774,1559890,1402922,CAF
2022-07-08,1487486,1567602,1410634,CAF
2022-07-09,1489589,1569705,1412737,CAF
2022-07-10,1496050,1576166,1419198,CAF
2022-07-11,1503781,1582468,1427046,CAF
2022-07-12,1500179,1578866,1423444,CAF
2022-07-13,1501725,1580412,1424990,CAF
2022-07-14,1632998,1711662,1556240,CAF
2022-07-15,1645029,1723693,1568271,CAF
2022-07-16,1663986,1742650,1587228,CAF
2022-07-17,1652792,1731456,1576034,CAF
2022-07-18,1647673,1726337,1570915,CAF
2022-07-19,1672897,1751561,1596139,CAF
2022-07-20,1674293,1752957,1597535,CAF
2022-07-21,1695556,1775208,1620049,CAF
2022-07-22,1688262,1767914,1612755,CAF
2022-07-23,1690414,1770066,1614907,CAF
2022-07-24,1695170,1774822,1619663,CAF
2022-07-25,1690799,1770451,1615292,CAF
2022-07-26,1691766,1771418,1616259,CAF
2022-07-27,1703916,1783043,1627101,CAF
2022-07-28,1719315,1798036,1643863,CAF
2022-07-29,1713841,1792145,1639675,CAF
