date,value,value_high,value_low,iso_code
2022-04-29,45055363,45055363,45055363,COD
2022-04-30,45022052,45022052,45022052,COD
2022-05-01,45280997,45280997,45280997,COD
2022-05-02,45606493,45606493,45606493,COD
2022-05-03,45917494,45917494,45917494,COD
2022-05-04,45999993,45999993,45999993,COD
2022-05-05,45920146,45920146,45920146,COD
2022-05-06,46208016,46208016,46208016,COD
2022-05-07,46016815,46016815,46016815,COD
2022-05-08,46188728,46188728,46188728,COD
2022-05-09,46515002,46515002,46515002,COD
2022-05-10,46430838,46430838,46430838,COD
2022-05-11,46768374,46768374,46768374,COD
2022-05-12,46851774,46851774,46851774,COD
2022-05-13,46855914,46855914,46855914,COD
2022-05-14,47041457,47041457,47041457,COD
2022-05-15,47334304,47334304,47334304,COD
2022-05-16,47200945,47200945,47200945,COD
2022-05-17,47077528,47077528,47077528,COD
2022-05-18,47109362,47109362,47109362,COD
2022-05-19,46997055,46997055,46997055,COD
2022-05-20,46918228,46918228,46918228,COD
2022-05-21,46763576,46763576,46763576,COD
2022-05-22,46877953,46877953,46877953,COD
2022-05-23,47108176,47108176,47108176,COD
2022-05-24,47602066,47602066,47602066,COD
2022-05-25,47641529,47641529,47641529,COD
2022-05-26,47661400,47661400,47661400,COD
2022-05-27,48091368,48091368,48091368,COD
2022-05-28,47941055,47941055,47941055,COD
2022-05-29,47933516,47933516,47933516,COD
2022-05-30,48409697,48409697,48409697,COD
2022-05-31,48460705,48460705,48460705,COD
2022-06-01,48516730,48516730,48516730,COD
2022-06-02,48659644,48659644,48659644,COD
2022-06-03,48817237,48817237,48817237,COD
2022-06-04,48901468,48901468,48901468,COD
2022-06-05,48940277,48940277,48940277,COD
2022-06-06,48805327,48805327,48805327,COD
2022-06-07,48462071,48462071,48462071,COD
2022-06-08,48546356,48546356,48546356,COD
2022-06-09,48844873,48844873,48844873,COD
2022-06-10,48990759,48990759,48990759,COD
2022-06-11,48861679,48861679,48861679,COD
2022-06-12,48870263,48870263,48870263,COD
2022-06-13,48998364,48998364,48998364,COD
2022-06-14,49020781,49020781,49020781,COD
2022-06-15,49100065,49100065,49100065,COD
2022-06-16,49124435,49124435,49124435,COD
2022-06-17,49003082,49003082,49003082,COD
2022-06-18,48779351,48779351,48779351,COD
2022-06-19,48386434,48386434,48386434,COD
2022-06-20,47936617,47936617,47936617,COD
2022-06-21,48143790,48143790,48143790,COD
2022-06-22,48143729,48143729,48143729,COD
2022-06-23,48186383,48186383,48186383,COD
2022-06-24,48230090,48230090,48230090,COD
2022-06-25,48191608,48191608,48191608,COD
2022-06-26,48255210,48255210,48255210,COD
2022-06-27,48424875,48424875,48424875,COD
2022-06-28,48445116,48445116,48445116,COD
2022-06-29,48739804,48739804,48739804,COD
2022-06-30,48734456,48734456,48734456,COD
2022-07-01,49171294,49171294,49171294,COD
2022-07-02,49229905,49229905,49229905,COD
2022-07-03,49192876,49192876,49192876,COD
2022-07-04,48974550,48974550,48974550,COD
2022-07-05,49197378,49197378,49197378,COD
2022-07-06,49403234,49403234,49403234,COD
2022-07-07,49238242,49238242,49238242,COD
2022-07-08,49420513,49420513,49420513,COD
2022-07-09,49646417,49646417,49646417,COD
2022-07-10,49720790,49720790,49720790,COD
2022-07-11,49902446,49902446,49902446,COD
2022-07-12,49914198,49914198,49914198,COD
2022-07-13,49912313,49912313,49912313,COD
2022-07-14,49669581,49669581,49669581,COD
2022-07-15,49558126,49558126,49558126,COD
2022-07-16,49196470,49196470,49196470,COD
2022-07-17,49080598,49080598,49080598,COD
2022-07-18,49391951,49391951,49391951,COD
2022-07-19,49756769,49756769,49756769,COD
2022-07-20,49900740,49900740,49900740,COD
2022-07-21,50229339,50229339,50229339,COD
2022-07-22,49918931,49918931,49918931,COD
2022-07-23,49832319,49832319,49832319,COD
2022-07-24,49900488,49900488,49900488,COD
2022-07-25,49824918,49824918,49824918,COD
2022-07-26,49760621,49760621,49760621,COD
2022-07-27,49775036,49775036,49775036,COD
2022-07-28,49713524,49713524,49713524,COD
2022-07-29,49793885,49793885,49793885,COD
