indicator,date,value,iso_code
Inflation Rate,1994-12-31,42.4,COG
Inflation Rate,1995-12-31,9.4,COG
Inflation Rate,1996-12-31,7.5,COG
Inflation Rate,1997-12-31,16.6,COG
Inflation Rate,1998-12-31,-1.6,COG
Inflation Rate,1999-12-31,3.6,COG
Inflation Rate,2000-12-31,0.5,COG
Inflation Rate,2001-01-31,-9.34,COG
Inflation Rate,2001-02-28,-4.31,COG
Inflation Rate,2001-03-31,-1.18,COG
Inflation Rate,2001-04-30,-0.8,COG
Inflation Rate,2001-05-31,-1.32,COG
Inflation Rate,2001-06-30,-1.62,COG
Inflation Rate,2001-07-31,-0.62,COG
Inflation Rate,2001-08-31,1.53,COG
Inflation Rate,2001-09-30,3.51,COG
Inflation Rate,2001-10-31,3.87,COG
Inflation Rate,2001-11-30,5.1,COG
Inflation Rate,2001-12-31,7.3,COG
Inflation Rate,2002-01-31,7.68,COG
Inflation Rate,2002-02-28,7.16,COG
Inflation Rate,2002-03-31,5.05,COG
Inflation Rate,2002-04-30,7.7,COG
Inflation Rate,2002-05-31,9.63,COG
Inflation Rate,2002-06-30,6.74,COG
Inflation Rate,2002-07-31,4.39,COG
Inflation Rate,2002-08-31,4.34,COG
Inflation Rate,2002-09-30,1.36,COG
Inflation Rate,2002-10-31,1.59,COG
Inflation Rate,2002-11-30,-0.35,COG
Inflation Rate,2002-12-31,-4.18,COG
Inflation Rate,2003-01-31,-1.11,COG
Inflation Rate,2003-02-28,-1.04,COG
Inflation Rate,2003-03-31,-2.16,COG
Inflation Rate,2003-04-30,-4.8,COG
Inflation Rate,2003-05-31,-6.21,COG
Inflation Rate,2003-06-30,-3.75,COG
Inflation Rate,2003-07-31,-0.58,COG
Inflation Rate,2003-08-31,-1.93,COG
Inflation Rate,2003-09-30,3.26,COG
Inflation Rate,2003-10-31,5.23,COG
Inflation Rate,2003-11-30,3.79,COG
Inflation Rate,2003-12-31,2.36,COG
Inflation Rate,2004-01-31,1.19,COG
Inflation Rate,2004-02-29,2.75,COG
Inflation Rate,2004-03-31,6.74,COG
Inflation Rate,2004-04-30,3.35,COG
