date,value,value_high,value_low,iso_code
2022-05-02,942524,1020196,878159,COG
2022-05-03,959525,1051495,889263,COG
2022-05-04,964067,1071148,892289,COG
2022-05-05,948126,1056073,876923,COG
2022-05-06,943956,1047917,872470,COG
2022-05-07,930772,1034733,859286,COG
2022-05-08,917941,1021886,846439,COG
2022-05-09,897928,1001873,826426,COG
2022-05-10,878747,982803,807356,COG
2022-05-11,870653,979712,801953,COG
2022-05-12,868531,976354,798595,COG
2022-05-13,867427,975273,797364,COG
2022-05-14,859499,967345,789436,COG
2022-05-15,863874,971642,793959,COG
2022-05-16,861320,969088,791405,COG
2022-05-17,858862,962289,787083,COG
2022-05-18,836489,940226,764680,COG
2022-05-19,819747,925358,747938,COG
2022-05-20,804748,910359,732939,COG
2022-05-21,807304,911022,734384,COG
2022-05-22,799006,902724,726086,COG
2022-05-23,803507,908737,731837,COG
2022-05-24,826729,937452,755461,COG
2022-05-25,829154,939396,757405,COG
2022-05-26,832405,949222,759590,COG
2022-05-27,837005,953822,764190,COG
2022-05-28,847685,964502,774870,COG
2022-05-29,846075,962982,773350,COG
2022-05-30,846986,964735,773652,COG
2022-05-31,844463,962212,771129,COG
2022-06-01,850830,950134,778758,COG
2022-06-02,848065,963134,773773,COG
2022-06-03,847461,962530,773169,COG
2022-06-04,849251,964483,775057,COG
2022-06-05,855959,971000,781674,COG
2022-06-06,846212,961220,771894,COG
2022-06-07,846429,961470,772144,COG
2022-06-08,846575,961644,772283,COG
2022-06-09,854896,969937,780611,COG
2022-06-10,863126,978195,788834,COG
2022-06-11,861837,975593,789285,COG
2022-06-12,885269,999025,812717,COG
2022-06-13,908574,1022330,836022,COG
2022-06-14,912422,1026178,839870,COG
2022-06-15,918727,1019549,849041,COG
2022-06-16,915928,1017833,846178,COG
2022-06-17,922340,1026110,853371,COG
2022-06-18,921891,1025661,852922,COG
2022-06-19,925508,1029278,856539,COG
2022-06-20,935941,1039711,866972,COG
2022-06-21,931038,1033626,863164,COG
2022-06-22,926506,1029459,858997,COG
2022-06-23,935197,1038879,868417,COG
2022-06-24,932041,1035756,865294,COG
2022-06-25,932387,1039604,863935,COG
2022-06-26,945819,1053036,877367,COG
2022-06-27,981784,1089001,913332,COG
2022-06-28,962458,1047657,898465,COG
2022-06-29,977082,1062281,913089,COG
2022-06-30,989733,1074932,925740,COG
2022-07-01,982759,1065317,917813,COG
2022-07-02,1009335,1091893,944389,COG
2022-07-03,1017519,1100077,952573,COG
2022-07-04,1044874,1127432,979928,COG
2022-07-05,1054554,1137232,989608,COG
2022-07-06,1093268,1175946,1028322,COG
2022-07-07,1116055,1200254,1051109,COG
2022-07-08,1168926,1253125,1103980,COG
2022-07-09,1181714,1265913,1116768,COG
2022-07-10,1216207,1300406,1151261,COG
2022-07-11,1221551,1305501,1158644,COG
2022-07-12,1220152,1304435,1157465,COG
2022-07-13,1245067,1329350,1182380,COG
2022-07-14,1408718,1493534,1346031,COG
2022-07-15,1389047,1472477,1326734,COG
2022-07-16,1389981,1473433,1327668,COG
2022-07-17,1380585,1465401,1317898,COG
2022-07-18,1419476,1504292,1356789,COG
2022-07-19,1452398,1535850,1390085,COG
2022-07-20,1459880,1543310,1397567,COG
2022-07-21,1480233,1564541,1418389,COG
2022-07-22,1521134,1600564,1459684,COG
2022-07-23,1507328,1591636,1445484,COG
2022-07-24,1528398,1612706,1466554,COG
2022-07-25,1525650,1609982,1463806,COG
2022-07-26,1512244,1597196,1450045,COG
2022-07-27,1523490,1608442,1461291,COG
2022-07-28,1531706,1616803,1468644,COG
2022-07-29,1545225,1630322,1482163,COG
2022-07-30,1556621,1641718,1493559,COG
2022-07-31,1585166,1670263,1522104,COG
2022-08-01,1555778,1638245,1491869,COG
2022-08-02,1577167,1659634,1513258,COG
