date,value,value_high,value_low,iso_code
2022-05-02,205732,250509,175766,COM
2022-05-03,415568,497999,330120,COM
2022-05-04,415568,497999,330120,COM
2022-05-05,415568,497999,330120,COM
2022-05-06,411414,494121,324773,COM
2022-05-07,411414,494121,324773,COM
2022-05-08,411414,494121,324773,COM
2022-05-09,411414,494121,324773,COM
2022-05-10,411414,494121,324773,COM
2022-05-11,411384,494074,324752,COM
2022-05-12,411384,494074,324752,COM
2022-05-13,411384,494074,324752,COM
2022-05-14,411384,494074,324752,COM
2022-05-15,411384,494074,324752,COM
2022-05-16,411384,494074,324752,COM
2022-05-17,411307,494074,324752,COM
2022-05-18,411307,494074,324752,COM
2022-05-19,411307,494074,324752,COM
2022-05-20,411307,494074,324752,COM
2022-05-21,411213,494868,324712,COM
2022-05-22,411213,494868,324712,COM
2022-05-23,411213,494868,324712,COM
2022-05-24,410230,494503,322089,COM
2022-05-25,410230,494503,322089,COM
2022-05-26,410230,494503,322089,COM
2022-05-27,410230,494503,322089,COM
2022-05-28,410230,494503,322089,COM
2022-05-29,410230,494503,322089,COM
2022-05-30,410230,494503,322089,COM
2022-05-31,410230,494503,322089,COM
2022-06-01,409571,493731,322089,COM
2022-06-02,409571,493731,322089,COM
2022-06-03,409571,493731,322089,COM
2022-06-04,409571,493731,322089,COM
2022-06-05,409571,493731,322089,COM
2022-06-06,409571,493731,322089,COM
2022-06-07,409571,493731,322089,COM
2022-06-08,409571,493731,322089,COM
2022-06-09,409571,493731,322089,COM
2022-06-10,409571,493731,322089,COM
2022-06-11,409444,493731,319796,COM
2022-06-12,409444,493731,319796,COM
2022-06-13,409444,493731,319796,COM
2022-06-14,409444,493731,319796,COM
2022-06-15,410134,494721,322089,COM
2022-06-16,410134,494721,322089,COM
2022-06-17,410134,494721,322089,COM
2022-06-18,410134,494721,322089,COM
2022-06-19,410134,494721,322089,COM
2022-06-20,410134,494721,322089,COM
2022-06-21,409571,494503,322089,COM
2022-06-22,409571,494503,322089,COM
2022-06-23,409571,494503,322089,COM
2022-06-24,409571,494503,322089,COM
2022-06-25,409657,494868,322530,COM
2022-06-26,409657,494868,322530,COM
2022-06-27,409657,494868,322530,COM
2022-06-28,204609,249495,175722,COM
2022-06-29,204609,249495,175722,COM
2022-06-30,204609,249495,175722,COM
2022-07-01,201122,243797,171300,COM
2022-07-02,201122,243797,171300,COM
2022-07-03,201122,243797,171300,COM
2022-07-04,201122,243797,171300,COM
2022-07-05,201122,243797,171300,COM
2022-07-06,201122,243797,171300,COM
2022-07-07,201122,243797,171300,COM
2022-07-08,201122,243797,171300,COM
2022-07-09,201122,243797,171300,COM
2022-07-10,201122,243797,171300,COM
2022-07-11,201236,243797,170153,COM
2022-07-12,201236,243797,170153,COM
2022-07-13,201236,243797,170153,COM
2022-07-14,201236,243797,170153,COM
2022-07-15,201236,243797,170153,COM
2022-07-16,201236,243797,170153,COM
2022-07-17,201236,243797,170153,COM
2022-07-18,201236,243797,170153,COM
2022-07-19,201236,243797,170153,COM
2022-07-20,201236,243797,170153,COM
2022-07-21,200869,243550,170153,COM
2022-07-22,200869,243550,170153,COM
2022-07-23,200869,243550,170153,COM
2022-07-24,200869,243550,170153,COM
2022-07-25,200869,243550,170153,COM
2022-07-26,200869,243550,170153,COM
2022-07-27,200869,243550,170153,COM
2022-07-28,197740,240957,170065,COM
2022-07-29,197740,240957,170065,COM
2022-07-30,197740,240957,170065,COM
2022-07-31,197740,240957,170065,COM
2022-08-01,197729,240957,170109,COM
2022-08-02,197729,240957,170109,COM
