date,value,value_high,value_low,iso_code
2022-04-29,178274,217468,149805,DJI
2022-04-30,178274,217468,149805,DJI
2022-05-01,180297,217198,149753,DJI
2022-05-02,180297,217198,149753,DJI
2022-05-03,182568,220663,153396,DJI
2022-05-04,182568,220663,153396,DJI
2022-05-05,182568,220663,153396,DJI
2022-05-06,182568,220663,153396,DJI
2022-05-07,182568,220483,153396,DJI
2022-05-08,182568,220483,153396,DJI
2022-05-09,182568,220483,153396,DJI
2022-05-10,182568,220483,153396,DJI
2022-05-11,183443,223107,154245,DJI
2022-05-12,183443,223107,154245,DJI
2022-05-13,183443,223107,154245,DJI
2022-05-14,183443,223107,154245,DJI
2022-05-15,183443,223107,154245,DJI
2022-05-16,183443,223107,154245,DJI
2022-05-17,183443,223107,154245,DJI
2022-05-18,183443,223107,154245,DJI
2022-05-19,183443,223107,154245,DJI
2022-05-20,183443,223107,154245,DJI
2022-05-21,183629,221151,153847,DJI
2022-05-22,183629,221151,153847,DJI
2022-05-23,183629,221151,153847,DJI
2022-05-24,183629,221151,153847,DJI
2022-05-25,183629,221151,153847,DJI
2022-05-26,183629,221151,153847,DJI
2022-05-27,183629,221151,153847,DJI
2022-05-28,183629,221151,153847,DJI
2022-05-29,183629,221151,153847,DJI
2022-05-30,184125,221595,153813,DJI
2022-05-31,184125,221595,153813,DJI
2022-06-01,186595,226763,156185,DJI
2022-06-02,186595,226763,156185,DJI
2022-06-03,186595,226763,156185,DJI
2022-06-04,186595,226763,156185,DJI
2022-06-05,186595,226763,156185,DJI
2022-06-06,186595,226763,156185,DJI
2022-06-07,186595,226763,156185,DJI
2022-06-08,186595,226763,156185,DJI
2022-06-09,186595,226763,156185,DJI
2022-06-10,186595,226763,156185,DJI
2022-06-11,187490,227876,157097,DJI
2022-06-12,187490,227876,157097,DJI
2022-06-13,187490,227876,157097,DJI
2022-06-14,187490,227876,157097,DJI
2022-06-15,187252,227741,156580,DJI
2022-06-16,187252,227741,156580,DJI
2022-06-17,187252,227741,156580,DJI
2022-06-18,187252,227741,156580,DJI
2022-06-19,187252,227741,156580,DJI
2022-06-20,187252,227741,156580,DJI
2022-06-21,188191,229594,157129,DJI
2022-06-22,188191,229594,157129,DJI
2022-06-23,188191,229594,157129,DJI
2022-06-24,188191,229594,157129,DJI
2022-06-25,187806,228521,157062,DJI
2022-06-26,187445,229287,155875,DJI
2022-06-27,187445,229287,155875,DJI
2022-06-28,186208,226605,154090,DJI
2022-06-29,186208,226605,154090,DJI
2022-06-30,186792,228516,153993,DJI
2022-07-01,186772,227776,153953,DJI
2022-07-02,186772,227776,153953,DJI
2022-07-03,186772,227776,153953,DJI
2022-07-04,186772,227776,153953,DJI
2022-07-05,186772,227776,153953,DJI
2022-07-06,186772,227776,153953,DJI
2022-07-07,186772,227776,153953,DJI
2022-07-08,186772,227776,153953,DJI
2022-07-09,186772,227776,153953,DJI
2022-07-10,186772,227776,153953,DJI
2022-07-11,186029,226120,152945,DJI
2022-07-12,186029,226120,152945,DJI
2022-07-13,186029,226120,152945,DJI
2022-07-14,186029,226120,152945,DJI
2022-07-15,186029,226120,152945,DJI
2022-07-16,186029,226120,152945,DJI
2022-07-17,186029,226120,152945,DJI
2022-07-18,186029,226120,152945,DJI
2022-07-19,186029,226120,152945,DJI
2022-07-20,186029,226120,152945,DJI
2022-07-21,183426,224159,152090,DJI
2022-07-22,183426,224159,152090,DJI
2022-07-23,183426,224159,152090,DJI
2022-07-24,183426,224159,152090,DJI
2022-07-25,183426,224159,152090,DJI
2022-07-26,183426,224159,152090,DJI
2022-07-27,183818,225906,152194,DJI
2022-07-28,181550,221744,150591,DJI
2022-07-29,181550,221744,150591,DJI
