date,value,value_high,value_low,iso_code
2022-05-02,4763802,5972195,3851989,DZA
2022-05-03,4790266,6005117,3859262,DZA
2022-05-04,4790266,6005117,3859262,DZA
2022-05-05,4790266,6008995,3859262,DZA
2022-05-06,4772329,5973431,3856494,DZA
2022-05-07,4772329,5973431,3856494,DZA
2022-05-08,4772329,5973431,3856494,DZA
2022-05-09,4772329,5973431,3856494,DZA
2022-05-10,4769356,5973431,3855812,DZA
2022-05-11,4763320,5975432,3859263,DZA
2022-05-12,4763320,5975432,3859263,DZA
2022-05-13,4762995,5975432,3849842,DZA
2022-05-14,4763320,5975432,3859263,DZA
2022-05-15,4762995,5975432,3849842,DZA
2022-05-16,4762783,5975432,3849842,DZA
2022-05-17,4741781,5925088,3845899,DZA
2022-05-18,4741781,5925088,3845899,DZA
2022-05-19,4741781,5925088,3845899,DZA
2022-05-20,4741781,5925088,3845899,DZA
2022-05-21,4728533,5909582,3834763,DZA
2022-05-22,4728533,5909582,3834763,DZA
2022-05-23,4728533,5909582,3834763,DZA
2022-05-24,4699154,5888832,3813473,DZA
2022-05-25,4699154,5888832,3813473,DZA
2022-05-26,4699154,5888832,3813473,DZA
2022-05-27,4702822,5891554,3813473,DZA
2022-05-28,4702822,5891554,3813473,DZA
2022-05-29,4693831,5887428,3808208,DZA
2022-05-30,4693497,5889006,3806182,DZA
2022-05-31,4693497,5889006,3806182,DZA
2022-06-01,4671884,5860811,3790324,DZA
2022-06-02,4671884,5860811,3790324,DZA
2022-06-03,4671385,5860940,3787077,DZA
2022-06-04,4671385,5860940,3787077,DZA
2022-06-05,4666722,5858381,3787077,DZA
2022-06-06,4666722,5858381,3787077,DZA
2022-06-07,4666722,5858381,3787077,DZA
2022-06-08,4666722,5858381,3787077,DZA
2022-06-09,4666722,5858381,3787077,DZA
2022-06-10,4666722,5858381,3787077,DZA
2022-06-11,4650541,5844399,3792541,DZA
2022-06-12,4650541,5844399,3792541,DZA
2022-06-13,4650541,5844399,3792541,DZA
2022-06-14,4650829,5844399,3792541,DZA
2022-06-15,4650017,5842387,3790378,DZA
2022-06-16,4650017,5842387,3790378,DZA
2022-06-17,4650017,5842387,3790378,DZA
2022-06-18,4650017,5842387,3790378,DZA
2022-06-19,4650017,5842387,3790378,DZA
2022-06-20,4650017,5842387,3790378,DZA
2022-06-21,4634753,5826884,3787707,DZA
2022-06-22,4634753,5826884,3787707,DZA
2022-06-23,4634753,5826884,3787707,DZA
2022-06-24,4634753,5826884,3787707,DZA
2022-06-25,4634732,5829053,3790906,DZA
2022-06-26,4635085,5845651,3790906,DZA
2022-06-27,4635464,5845651,3790906,DZA
2022-06-28,4635562,5845651,3791609,DZA
2022-06-29,4635562,5845651,3791609,DZA
2022-06-30,4635562,5845651,3791609,DZA
2022-07-01,4632919,5834045,3788462,DZA
2022-07-02,4631132,5831561,3787984,DZA
2022-07-03,4635859,5831561,3789555,DZA
2022-07-04,4635859,5831561,3789555,DZA
2022-07-05,4635859,5831561,3789555,DZA
2022-07-06,4635859,5831561,3789555,DZA
2022-07-07,4631132,5831561,3787984,DZA
2022-07-08,4631132,5831561,3787984,DZA
2022-07-09,4631132,5831561,3787984,DZA
2022-07-10,4635859,5831561,3789555,DZA
2022-07-11,4624038,5818841,3779194,DZA
2022-07-12,4624038,5818841,3779194,DZA
2022-07-13,4624038,5818841,3779194,DZA
2022-07-14,4624038,5818841,3779194,DZA
2022-07-15,4617367,5818841,3776852,DZA
2022-07-16,4624038,5818841,3779194,DZA
2022-07-17,4624038,5818841,3779194,DZA
2022-07-18,4624038,5818841,3779194,DZA
2022-07-19,4625039,5819484,3779194,DZA
2022-07-20,4625039,5819484,3779194,DZA
2022-07-21,4620679,5812046,3771088,DZA
2022-07-22,4620679,5812046,3771088,DZA
2022-07-23,4620679,5812046,3771088,DZA
2022-07-24,4622373,5815051,3773137,DZA
2022-07-25,4622373,5815051,3773137,DZA
2022-07-26,4622676,5815051,3776163,DZA
2022-07-27,4622676,5815051,3776163,DZA
2022-07-28,4637898,5823393,3786750,DZA
2022-07-29,4637898,5823393,3786750,DZA
2022-07-30,4636269,5821829,3786827,DZA
2022-07-31,4642068,5821829,3787669,DZA
2022-08-01,4641623,5814940,3787018,DZA
2022-08-02,4642085,5798711,3787018,DZA
