date,value,value_high,value_low,iso_code
2022-04-29,1461225,1813768,1225817,ECU
2022-04-30,1461225,1813768,1225817,ECU
2022-05-01,2298728,2613633,2009664,ECU
2022-05-02,2298728,2613633,2009664,ECU
2022-05-03,1464241,1830700,1227318,ECU
2022-05-04,1464241,1830700,1227318,ECU
2022-05-05,1464241,1830700,1227318,ECU
2022-05-06,1463151,1835422,1224655,ECU
2022-05-07,1463151,1835422,1224655,ECU
2022-05-08,1470707,1837611,1228139,ECU
2022-05-09,1470707,1837611,1228139,ECU
2022-05-10,1470707,1837611,1228139,ECU
2022-05-11,1478067,1864199,1231657,ECU
2022-05-12,1477909,1863842,1231657,ECU
2022-05-13,1477656,1863842,1231654,ECU
2022-05-14,1477656,1863842,1231654,ECU
2022-05-15,1477656,1863842,1231654,ECU
2022-05-16,1477656,1863842,1231654,ECU
2022-05-17,1480288,1855029,1235918,ECU
2022-05-18,1508281,1892747,1239664,ECU
2022-05-19,1508281,1892747,1239664,ECU
2022-05-20,1508281,1892747,1239664,ECU
2022-05-21,1507231,1904316,1237604,ECU
2022-05-22,1507231,1904316,1237604,ECU
2022-05-23,1541814,1972052,1241221,ECU
2022-05-24,1534585,1969468,1234315,ECU
2022-05-25,1534585,1969468,1234315,ECU
2022-05-26,1534585,1969468,1234315,ECU
2022-05-27,1534585,1969468,1234315,ECU
2022-05-28,1534585,1969468,1234315,ECU
2022-05-29,1534585,1969468,1234315,ECU
2022-05-30,1520095,1912294,1242208,ECU
2022-05-31,1626692,2067627,1333466,ECU
2022-06-01,1479787,1845691,1263940,ECU
2022-06-02,1479787,1845691,1263940,ECU
2022-06-03,1479787,1845691,1263940,ECU
2022-06-04,1479787,1845691,1263940,ECU
2022-06-05,1479787,1845691,1263940,ECU
2022-06-06,1479787,1845691,1263940,ECU
2022-06-07,1479787,1845691,1263940,ECU
2022-06-08,1479787,1845691,1263940,ECU
2022-06-09,1479787,1845691,1263940,ECU
2022-06-10,1479787,1845691,1263940,ECU
2022-06-11,1476504,1840341,1258780,ECU
2022-06-12,1476504,1840341,1258780,ECU
2022-06-13,1476504,1840341,1258780,ECU
2022-06-14,1476504,1840341,1258780,ECU
2022-06-15,1473505,1835910,1256454,ECU
2022-06-16,1473505,1835910,1256454,ECU
2022-06-17,1473505,1835910,1256454,ECU
2022-06-18,1473505,1835910,1256454,ECU
2022-06-19,1473505,1835910,1256454,ECU
2022-06-20,1473505,1835910,1256454,ECU
2022-06-21,1469410,1831751,1248466,ECU
2022-06-22,1469410,1831751,1248466,ECU
2022-06-23,1469410,1831751,1248466,ECU
2022-06-24,1469410,1831751,1248466,ECU
2022-06-25,1466492,1839612,1252621,ECU
2022-06-26,1466492,1839612,1252621,ECU
2022-06-27,1466492,1839612,1252621,ECU
2022-06-28,2497844,2860288,2239429,ECU
2022-06-29,2497844,2860288,2239429,ECU
2022-06-30,2596015,2947072,2320321,ECU
2022-07-01,2616235,2956512,2325967,ECU
2022-07-02,2616235,2956512,2325967,ECU
2022-07-03,2616235,2956512,2325967,ECU
2022-07-04,2616235,2956512,2325967,ECU
2022-07-05,2616235,2956512,2325967,ECU
2022-07-06,2616235,2956512,2325967,ECU
2022-07-07,2616235,2956512,2325967,ECU
2022-07-08,2616235,2956512,2325967,ECU
2022-07-09,2616235,2956512,2325967,ECU
2022-07-10,2616235,2956512,2325967,ECU
2022-07-11,2614610,2958545,2331063,ECU
2022-07-12,2614508,2958545,2331063,ECU
2022-07-13,2614508,2958545,2331063,ECU
2022-07-14,2614508,2958545,2331063,ECU
2022-07-15,2614508,2958545,2331063,ECU
2022-07-16,2614508,2958545,2331063,ECU
2022-07-17,2614508,2958545,2331063,ECU
2022-07-18,2614508,2958545,2331063,ECU
2022-07-19,2614508,2958545,2331063,ECU
2022-07-20,2614508,2958545,2331063,ECU
2022-07-21,2611933,2956846,2320645,ECU
2022-07-22,2611933,2956846,2320645,ECU
2022-07-23,2611933,2956846,2320645,ECU
2022-07-24,2611933,2956846,2320645,ECU
2022-07-25,2611933,2956846,2320645,ECU
2022-07-26,2611933,2956846,2320645,ECU
2022-07-27,2618857,2956940,2333225,ECU
2022-07-28,2615871,2955651,2330919,ECU
2022-07-29,2615871,2955651,2330919,ECU
