indicator,date,value,iso_code
Food Inflation,2003-01-31,4.86,ESP
Food Inflation,2003-02-28,4.54,ESP
Food Inflation,2003-03-31,4.36,ESP
Food Inflation,2003-04-30,3.73,ESP
Food Inflation,2003-05-31,3.57,ESP
Food Inflation,2003-06-30,3.48,ESP
Food Inflation,2003-07-31,3.63,ESP
Food Inflation,2003-08-31,4.04,ESP
Food Inflation,2003-09-30,4.4,ESP
Food Inflation,2003-10-31,4.27,ESP
Food Inflation,2003-11-30,4.26,ESP
Food Inflation,2003-12-31,4.06,ESP
Food Inflation,2004-01-31,4.01,ESP
Food Inflation,2004-02-29,3.95,ESP
Food Inflation,2004-03-31,4.1,ESP
Food Inflation,2004-04-30,4.57,ESP
Food Inflation,2004-05-31,4.75,ESP
Food Inflation,2004-06-30,4.58,ESP
Food Inflation,2004-07-31,4.46,ESP
Food Inflation,2004-08-31,3.86,ESP
Food Inflation,2004-09-30,2.99,ESP
Food Inflation,2004-10-31,2.96,ESP
Food Inflation,2004-11-30,3.2,ESP
Food Inflation,2004-12-31,3.04,ESP
Food Inflation,2005-01-31,3.24,ESP
Food Inflation,2005-02-28,3.45,ESP
Food Inflation,2005-03-31,3.35,ESP
Food Inflation,2005-04-30,3.52,ESP
Food Inflation,2005-05-31,3.16,ESP
Food Inflation,2005-06-30,3.16,ESP
Food Inflation,2005-07-31,2.48,ESP
Food Inflation,2005-08-31,2.57,ESP
Food Inflation,2005-09-30,2.75,ESP
Food Inflation,2005-10-31,2.91,ESP
Food Inflation,2005-11-30,3.14,ESP
Food Inflation,2005-12-31,4.17,ESP
Food Inflation,2006-01-31,4.42,ESP
Food Inflation,2006-02-28,4.33,ESP
Food Inflation,2006-03-31,3.95,ESP
Food Inflation,2006-04-30,3.47,ESP
Food Inflation,2006-05-31,3.59,ESP
Food Inflation,2006-06-30,4.14,ESP
Food Inflation,2006-07-31,4.78,ESP
Food Inflation,2006-08-31,4.57,ESP
Food Inflation,2006-09-30,4.63,ESP
Food Inflation,2006-10-31,4.38,ESP
Food Inflation,2006-11-30,3.94,ESP
Food Inflation,2006-12-31,3.18,ESP
Food Inflation,2007-01-31,2.38,ESP
Food Inflation,2007-02-28,2.5,ESP
Food Inflation,2007-03-31,2.86,ESP
Food Inflation,2007-04-30,3.25,ESP
Food Inflation,2007-05-31,3.15,ESP
Food Inflation,2007-06-30,2.79,ESP
Food Inflation,2007-07-31,2.64,ESP
Food Inflation,2007-08-31,2.8,ESP
Food Inflation,2007-09-30,3.44,ESP
Food Inflation,2007-10-31,5.51,ESP
Food Inflation,2007-11-30,6.28,ESP
Food Inflation,2007-12-31,6.62,ESP
Food Inflation,2008-01-31,7.01,ESP
Food Inflation,2008-02-29,7.03,ESP
Food Inflation,2008-03-31,6.89,ESP
Food Inflation,2008-04-30,6.63,ESP
Food Inflation,2008-05-31,6.7,ESP
Food Inflation,2008-06-30,7.2,ESP
Food Inflation,2008-07-31,7.03,ESP
Food Inflation,2008-08-31,6.84,ESP
Food Inflation,2008-09-30,6.14,ESP
Food Inflation,2008-10-31,3.99,ESP
Food Inflation,2008-11-30,3.1,ESP
Food Inflation,2008-12-31,2.39,ESP
Food Inflation,2009-01-31,1.87,ESP
Food Inflation,2009-02-28,1.54,ESP
Food Inflation,2009-03-31,0.6,ESP
Food Inflation,2009-04-30,-0.05,ESP
Food Inflation,2009-05-31,-0.78,ESP
Food Inflation,2009-06-30,-1.82,ESP
Food Inflation,2009-07-31,-2.13,ESP
Food Inflation,2009-08-31,-2.11,ESP
Food Inflation,2009-09-30,-2.39,ESP
Food Inflation,2009-10-31,-2.42,ESP
Food Inflation,2009-11-30,-2.41,ESP
Food Inflation,2009-12-31,-2.38,ESP
Food Inflation,2010-01-31,-2.44,ESP
Food Inflation,2010-02-28,-2.75,ESP
Food Inflation,2010-03-31,-2.07,ESP
Food Inflation,2010-04-30,-1.86,ESP
Food Inflation,2010-05-31,-1.36,ESP
Food Inflation,2010-06-30,-0.75,ESP
Food Inflation,2010-07-31,-0.34,ESP
Food Inflation,2010-08-31,-0.07,ESP
Food Inflation,2010-09-30,0.08,ESP
Food Inflation,2010-10-31,0.38,ESP
Food Inflation,2010-11-30,0.54,ESP
Food Inflation,2010-12-31,0.71,ESP
Food Inflation,2011-01-31,0.89,ESP
Food Inflation,2011-02-28,1.5,ESP
Food Inflation,2011-03-31,1.81,ESP
Food Inflation,2011-04-30,2.22,ESP
Food Inflation,2011-05-31,2.52,ESP
Food Inflation,2011-06-30,2.38,ESP
Food Inflation,2011-07-31,2.37,ESP
Food Inflation,2011-08-31,2.15,ESP
Food Inflation,2011-09-30,2.27,ESP
Food Inflation,2011-10-31,2.2,ESP
Food Inflation,2011-11-30,2.18,ESP
Food Inflation,2011-12-31,2.13,ESP
Food Inflation,2012-01-31,2.26,ESP
Food Inflation,2012-02-29,2.55,ESP
Food Inflation,2012-03-31,2.31,ESP
Food Inflation,2012-04-30,2.28,ESP
Food Inflation,2012-05-31,1.83,ESP
Food Inflation,2012-06-30,2.16,ESP
Food Inflation,2012-07-31,1.81,ESP
Food Inflation,2012-08-31,2.02,ESP
Food Inflation,2012-09-30,2.3,ESP
Food Inflation,2012-10-31,2.54,ESP
Food Inflation,2012-11-30,2.85,ESP
Food Inflation,2012-12-31,3.03,ESP
Food Inflation,2013-01-31,3.16,ESP
Food Inflation,2013-02-28,2.78,ESP
Food Inflation,2013-03-31,2.55,ESP
Food Inflation,2013-04-30,2.61,ESP
Food Inflation,2013-05-31,3.42,ESP
Food Inflation,2013-06-30,3.65,ESP
Food Inflation,2013-07-31,4.39,ESP
Food Inflation,2013-08-31,4.42,ESP
Food Inflation,2013-09-30,2.52,ESP
Food Inflation,2013-10-31,1.59,ESP
Food Inflation,2013-11-30,1.23,ESP
Food Inflation,2013-12-31,1.2,ESP
Food Inflation,2014-01-31,1.19,ESP
Food Inflation,2014-02-28,1.09,ESP
Food Inflation,2014-03-31,0.53,ESP
Food Inflation,2014-04-30,0.13,ESP
Food Inflation,2014-05-31,-0.81,ESP
Food Inflation,2014-06-30,-1.5,ESP
Food Inflation,2014-07-31,-2.0,ESP
Food Inflation,2014-08-31,-2.19,ESP
Food Inflation,2014-09-30,-0.8,ESP
Food Inflation,2014-10-31,0.36,ESP
Food Inflation,2014-11-30,0.18,ESP
Food Inflation,2014-12-31,-0.33,ESP
Food Inflation,2015-01-31,-0.4,ESP
Food Inflation,2015-02-28,0.2,ESP
Food Inflation,2015-03-31,0.4,ESP
Food Inflation,2015-04-30,0.4,ESP
Food Inflation,2015-05-31,1.3,ESP
Food Inflation,2015-06-30,1.8,ESP
Food Inflation,2015-07-31,1.4,ESP
Food Inflation,2015-08-31,1.9,ESP
Food Inflation,2015-09-30,1.8,ESP
Food Inflation,2015-10-31,1.9,ESP
Food Inflation,2015-11-30,1.7,ESP
Food Inflation,2015-12-31,1.8,ESP
Food Inflation,2016-01-31,2.1,ESP
Food Inflation,2016-02-29,1.3,ESP
Food Inflation,2016-03-31,1.7,ESP
Food Inflation,2016-04-30,2.0,ESP
Food Inflation,2016-05-31,1.7,ESP
Food Inflation,2016-06-30,1.5,ESP
Food Inflation,2016-07-31,2.5,ESP
Food Inflation,2016-08-31,1.8,ESP
Food Inflation,2016-09-30,0.8,ESP
Food Inflation,2016-10-31,0.3,ESP
Food Inflation,2016-11-30,0.4,ESP
Food Inflation,2016-12-31,0.8,ESP
Food Inflation,2017-01-31,1.0,ESP
Food Inflation,2017-02-28,1.7,ESP
Food Inflation,2017-03-31,1.4,ESP
Food Inflation,2017-04-30,1.1,ESP
Food Inflation,2017-05-31,1.1,ESP
Food Inflation,2017-06-30,0.8,ESP
Food Inflation,2017-07-31,0.1,ESP
Food Inflation,2017-08-31,0.0,ESP
Food Inflation,2017-09-30,1.2,ESP
Food Inflation,2017-10-31,2.3,ESP
Food Inflation,2017-11-30,2.2,ESP
Food Inflation,2017-12-31,1.7,ESP
Food Inflation,2018-01-31,1.3,ESP
Food Inflation,2018-02-28,0.9,ESP
Food Inflation,2018-03-31,1.4,ESP
Food Inflation,2018-04-30,1.6,ESP
Food Inflation,2018-05-31,2.0,ESP
Food Inflation,2018-06-30,2.5,ESP
Food Inflation,2018-07-31,1.8,ESP
Food Inflation,2018-08-31,2.0,ESP
Food Inflation,2018-09-30,1.7,ESP
Food Inflation,2018-10-31,1.7,ESP
Food Inflation,2018-11-30,1.4,ESP
Food Inflation,2018-12-31,1.3,ESP
Food Inflation,2019-01-31,0.9,ESP
Food Inflation,2019-02-28,1.4,ESP
Food Inflation,2019-03-31,0.9,ESP
Food Inflation,2019-04-30,0.8,ESP
Food Inflation,2019-05-31,0.5,ESP
Food Inflation,2019-06-30,0.5,ESP
Food Inflation,2019-07-31,0.9,ESP
Food Inflation,2019-08-31,1.0,ESP
Food Inflation,2019-09-30,0.9,ESP
Food Inflation,2019-10-31,1.2,ESP
Food Inflation,2019-11-30,1.7,ESP
Food Inflation,2019-12-31,1.7,ESP
Food Inflation,2020-01-31,2.0,ESP
Food Inflation,2020-02-28,2.0,ESP
Food Inflation,2020-03-31,2.5,ESP
Food Inflation,2020-04-30,4.0,ESP
Food Inflation,2020-05-31,3.5,ESP
Food Inflation,2020-06-30,2.8,ESP
Food Inflation,2020-07-31,2.2,ESP
Food Inflation,2020-08-31,2.2,ESP
Food Inflation,2020-09-30,2.4,ESP
Food Inflation,2020-10-31,2.3,ESP
Food Inflation,2020-11-30,1.3,ESP
Food Inflation,2020-12-31,1.1,ESP
Food Inflation,2021-01-31,1.7,ESP
Food Inflation,2021-02-28,1.6,ESP
Food Inflation,2021-03-31,1.4,ESP
Food Inflation,2021-04-30,0.3,ESP
Food Inflation,2021-05-31,0.8,ESP
Food Inflation,2021-06-30,1.1,ESP
Food Inflation,2021-07-31,1.7,ESP
Food Inflation,2021-08-31,1.9,ESP
Food Inflation,2021-09-30,1.8,ESP
