indicator,date,value,iso_code
Food Inflation,2005-01-31,12.27,GEO
Food Inflation,2005-02-28,11.34,GEO
Food Inflation,2005-03-31,12.03,GEO
Food Inflation,2005-04-30,12.37,GEO
Food Inflation,2005-05-31,9.72,GEO
Food Inflation,2005-06-30,9.6,GEO
Food Inflation,2005-07-31,5.21,GEO
Food Inflation,2005-08-31,8.28,GEO
Food Inflation,2005-09-30,7.57,GEO
Food Inflation,2005-10-31,6.63,GEO
Food Inflation,2005-11-30,8.02,GEO
Food Inflation,2005-12-31,4.14,GEO
Food Inflation,2006-01-31,5.19,GEO
Food Inflation,2006-02-28,5.1,GEO
Food Inflation,2006-03-31,4.31,GEO
Food Inflation,2006-04-30,6.19,GEO
Food Inflation,2006-05-31,14.3,GEO
Food Inflation,2006-06-30,17.78,GEO
Food Inflation,2006-07-31,22.79,GEO
Food Inflation,2006-08-31,20.05,GEO
Food Inflation,2006-09-30,17.9,GEO
Food Inflation,2006-10-31,16.53,GEO
Food Inflation,2006-11-30,15.03,GEO
Food Inflation,2006-12-31,13.37,GEO
Food Inflation,2007-01-31,16.41,GEO
Food Inflation,2007-02-28,17.41,GEO
Food Inflation,2007-03-31,14.29,GEO
Food Inflation,2007-04-30,11.74,GEO
Food Inflation,2007-05-31,8.33,GEO
Food Inflation,2007-06-30,8.43,GEO
Food Inflation,2007-07-31,7.47,GEO
Food Inflation,2007-08-31,9.89,GEO
Food Inflation,2007-09-30,12.08,GEO
Food Inflation,2007-10-31,15.51,GEO
Food Inflation,2007-11-30,14.89,GEO
Food Inflation,2007-12-31,12.93,GEO
Food Inflation,2008-01-31,13.32,GEO
Food Inflation,2008-02-29,13.48,GEO
Food Inflation,2008-03-31,15.2,GEO
Food Inflation,2008-04-30,14.94,GEO
Food Inflation,2008-05-31,14.84,GEO
Food Inflation,2008-06-30,13.3,GEO
Food Inflation,2008-07-31,11.21,GEO
Food Inflation,2008-08-31,18.03,GEO
Food Inflation,2008-09-30,13.56,GEO
Food Inflation,2008-10-31,7.89,GEO
Food Inflation,2008-11-30,6.43,GEO
Food Inflation,2008-12-31,5.54,GEO
Food Inflation,2009-01-31,3.43,GEO
Food Inflation,2009-02-28,0.09,GEO
Food Inflation,2009-03-31,0.25,GEO
Food Inflation,2009-04-30,1.79,GEO
Food Inflation,2009-05-31,3.86,GEO
Food Inflation,2009-06-30,5.91,GEO
Food Inflation,2009-07-31,0.61,GEO
Food Inflation,2009-08-31,-6.34,GEO
Food Inflation,2009-09-30,-1.54,GEO
Food Inflation,2009-10-31,3.82,GEO
Food Inflation,2009-11-30,3.08,GEO
Food Inflation,2009-12-31,3.75,GEO
Food Inflation,2010-01-31,3.09,GEO
Food Inflation,2010-02-28,8.66,GEO
Food Inflation,2010-03-31,9.36,GEO
Food Inflation,2010-04-30,7.77,GEO
Food Inflation,2010-05-31,3.72,GEO
Food Inflation,2010-06-30,0.98,GEO
Food Inflation,2010-07-31,8.69,GEO
Food Inflation,2010-08-31,14.86,GEO
Food Inflation,2010-09-30,19.75,GEO
Food Inflation,2010-10-31,19.06,GEO
Food Inflation,2010-11-30,21.89,GEO
Food Inflation,2010-12-31,22.78,GEO
Food Inflation,2011-01-31,25.23,GEO
Food Inflation,2011-02-28,28.43,GEO
Food Inflation,2011-03-31,28.76,GEO
Food Inflation,2011-04-30,28.62,GEO
Food Inflation,2011-05-31,30.7,GEO
Food Inflation,2011-06-30,22.19,GEO
Food Inflation,2011-07-31,16.61,GEO
Food Inflation,2011-08-31,12.53,GEO
Food Inflation,2011-09-30,5.83,GEO
Food Inflation,2011-10-31,1.47,GEO
Food Inflation,2011-11-30,-0.15,GEO
Food Inflation,2011-12-31,0.86,GEO
Food Inflation,2012-01-31,-1.57,GEO
Food Inflation,2012-02-29,-7.06,GEO
Food Inflation,2012-03-31,-7.46,GEO
Food Inflation,2012-04-30,-8.08,GEO
Food Inflation,2012-05-31,-10.93,GEO
Food Inflation,2012-06-30,-4.33,GEO
Food Inflation,2012-07-31,-1.01,GEO
Food Inflation,2012-08-31,-2.76,GEO
Food Inflation,2012-09-30,-2.03,GEO
Food Inflation,2012-10-31,-1.44,GEO
Food Inflation,2012-11-30,-1.75,GEO
Food Inflation,2012-12-31,-3.6,GEO
Food Inflation,2013-01-31,-2.71,GEO
Food Inflation,2013-02-28,-3.29,GEO
Food Inflation,2013-03-31,-3.07,GEO
Food Inflation,2013-04-30,-3.74,GEO
Food Inflation,2013-05-31,1.44,GEO
Food Inflation,2013-06-30,1.8,GEO
Food Inflation,2013-07-31,-1.13,GEO
Food Inflation,2013-08-31,-1.17,GEO
Food Inflation,2013-09-30,-1.64,GEO
Food Inflation,2013-10-31,-0.65,GEO
Food Inflation,2013-11-30,0.45,GEO
Food Inflation,2013-12-31,5.69,GEO
Food Inflation,2014-01-31,5.17,GEO
Food Inflation,2014-02-28,5.66,GEO
Food Inflation,2014-03-31,5.38,GEO
Food Inflation,2014-04-30,7.59,GEO
Food Inflation,2014-05-31,2.59,GEO
Food Inflation,2014-06-30,0.7,GEO
Food Inflation,2014-07-31,3.37,GEO
Food Inflation,2014-08-31,6.39,GEO
Food Inflation,2014-09-30,8.36,GEO
Food Inflation,2014-10-31,7.8,GEO
Food Inflation,2014-11-30,6.22,GEO
Food Inflation,2014-12-31,2.55,GEO
Food Inflation,2015-01-31,1.7,GEO
Food Inflation,2015-02-28,1.9,GEO
Food Inflation,2015-03-31,3.7,GEO
Food Inflation,2015-04-30,2.7,GEO
