indicator,date,value,iso_code
Inflation Rate,1993-01-31,63.28,GNB
Inflation Rate,1993-02-28,56.43,GNB
Inflation Rate,1993-03-31,60.2,GNB
Inflation Rate,1993-04-30,65.13,GNB
Inflation Rate,1993-05-31,70.32,GNB
Inflation Rate,1993-06-30,70.44,GNB
Inflation Rate,1993-07-31,51.79,GNB
Inflation Rate,1993-08-31,39.3,GNB
Inflation Rate,1993-09-30,25.6,GNB
Inflation Rate,1993-10-31,31.39,GNB
Inflation Rate,1993-11-30,40.12,GNB
Inflation Rate,1993-12-31,30.7,GNB
Inflation Rate,1994-01-31,22.38,GNB
Inflation Rate,1994-02-28,26.15,GNB
Inflation Rate,1994-03-31,17.64,GNB
Inflation Rate,1994-04-30,16.76,GNB
Inflation Rate,1994-05-31,14.9,GNB
Inflation Rate,1994-06-30,10.89,GNB
Inflation Rate,1994-07-31,12.21,GNB
Inflation Rate,1994-08-31,6.51,GNB
Inflation Rate,1994-09-30,12.66,GNB
Inflation Rate,1994-10-31,9.67,GNB
Inflation Rate,1994-11-30,16.93,GNB
Inflation Rate,1994-12-31,19.28,GNB
Inflation Rate,1995-01-31,24.74,GNB
Inflation Rate,1995-02-28,25.83,GNB
Inflation Rate,1995-03-31,36.45,GNB
Inflation Rate,1995-04-30,34.95,GNB
Inflation Rate,1995-05-31,34.48,GNB
Inflation Rate,1995-06-30,48.77,GNB
Inflation Rate,1995-07-31,56.65,GNB
Inflation Rate,1995-08-31,51.46,GNB
Inflation Rate,1995-09-30,54.46,GNB
Inflation Rate,1995-10-31,61.88,GNB
Inflation Rate,1995-11-30,58.0,GNB
Inflation Rate,1995-12-31,49.7,GNB
Inflation Rate,1996-01-31,52.91,GNB
Inflation Rate,1996-02-29,50.26,GNB
Inflation Rate,1996-03-31,41.52,GNB
Inflation Rate,1996-04-30,49.11,GNB
Inflation Rate,1996-05-31,50.01,GNB
Inflation Rate,1996-06-30,42.03,GNB
Inflation Rate,1996-07-31,47.42,GNB
Inflation Rate,1996-08-31,48.22,GNB
Inflation Rate,1996-09-30,56.5,GNB
Inflation Rate,1996-10-31,46.94,GNB
Inflation Rate,1996-11-30,54.45,GNB
Inflation Rate,1996-12-31,65.62,GNB
Inflation Rate,1997-01-31,65.58,GNB
Inflation Rate,1997-02-28,65.03,GNB
Inflation Rate,1997-03-31,59.03,GNB
Inflation Rate,1997-04-30,59.15,GNB
Inflation Rate,1997-05-31,60.92,GNB
Inflation Rate,1997-06-30,63.83,GNB
Inflation Rate,1997-07-31,58.32,GNB
Inflation Rate,1997-08-31,53.84,GNB
Inflation Rate,1997-09-30,41.69,GNB
Inflation Rate,1997-10-31,41.09,GNB
Inflation Rate,1997-11-30,30.85,GNB
Inflation Rate,1997-12-31,16.77,GNB
Inflation Rate,1998-01-31,16.42,GNB
Inflation Rate,1998-02-28,11.95,GNB
Inflation Rate,1998-03-31,13.37,GNB
Inflation Rate,1998-04-30,8.9,GNB
Inflation Rate,1998-05-31,7.39,GNB
Inflation Rate,1998-06-30,2.75,GNB
Inflation Rate,1998-07-31,1.77,GNB
Inflation Rate,1998-08-31,1.42,GNB
Inflation Rate,1998-09-30,3.18,GNB
Inflation Rate,1998-10-31,13.32,GNB
Inflation Rate,1998-11-30,10.71,GNB
Inflation Rate,1998-12-31,7.87,GNB
Inflation Rate,1999-01-31,9.63,GNB
Inflation Rate,1999-02-28,11.59,GNB
Inflation Rate,1999-03-31,11.83,GNB
Inflation Rate,1999-04-30,14.87,GNB
