indicator,date,value,iso_code
Food Inflation,2011-01-31,6.5,IRQ
Food Inflation,2011-02-28,6.44,IRQ
Food Inflation,2011-03-31,2.71,IRQ
Food Inflation,2011-04-30,3.92,IRQ
Food Inflation,2011-05-31,6.24,IRQ
Food Inflation,2011-06-30,4.75,IRQ
Food Inflation,2011-07-31,3.74,IRQ
Food Inflation,2011-08-31,-0.29,IRQ
Food Inflation,2011-09-30,0.35,IRQ
Food Inflation,2011-10-31,0.36,IRQ
Food Inflation,2012-01-31,3.95,IRQ
Food Inflation,2012-02-29,4.34,IRQ
Food Inflation,2012-03-31,13.18,IRQ
Food Inflation,2012-04-30,13.27,IRQ
Food Inflation,2012-05-31,9.13,IRQ
Food Inflation,2012-06-30,4.61,IRQ
Food Inflation,2012-07-31,4.88,IRQ
Food Inflation,2012-08-31,9.83,IRQ
Food Inflation,2012-09-30,7.84,IRQ
Food Inflation,2012-10-31,3.87,IRQ
Food Inflation,2012-11-30,3.3,IRQ
Food Inflation,2012-12-31,0.49,IRQ
Food Inflation,2013-01-31,-0.41,IRQ
Food Inflation,2013-02-28,-1.16,IRQ
Food Inflation,2013-03-31,-3.43,IRQ
Food Inflation,2013-04-30,-1.92,IRQ
Food Inflation,2013-05-31,-2.99,IRQ
Food Inflation,2013-06-30,0.71,IRQ
Food Inflation,2013-07-31,2.43,IRQ
Food Inflation,2013-08-31,-3.78,IRQ
Food Inflation,2013-09-30,-3.14,IRQ
Food Inflation,2013-10-31,6.28,IRQ
Food Inflation,2013-11-30,6.11,IRQ
Food Inflation,2013-12-31,7.12,IRQ
Food Inflation,2014-01-31,10.82,IRQ
Food Inflation,2014-02-28,6.9,IRQ
Food Inflation,2014-03-31,2.88,IRQ
Food Inflation,2014-04-30,1.04,IRQ
Food Inflation,2014-05-31,1.37,IRQ
Food Inflation,2014-06-30,4.5,IRQ
Food Inflation,2014-07-31,2.02,IRQ
Food Inflation,2014-08-31,3.2,IRQ
Food Inflation,2014-09-30,1.0,IRQ
Food Inflation,2014-10-31,-2.5,IRQ
Food Inflation,2014-11-30,2.7,IRQ
Food Inflation,2014-12-31,-0.9,IRQ
Food Inflation,2015-01-31,-7.19,IRQ
Food Inflation,2015-02-28,-4.59,IRQ
Food Inflation,2015-03-31,-4.49,IRQ
Food Inflation,2015-04-30,-3.42,IRQ
Food Inflation,2015-05-31,-0.3,IRQ
Food Inflation,2015-06-30,0.9,IRQ
Food Inflation,2015-07-31,4.8,IRQ
Food Inflation,2015-08-31,4.1,IRQ
Food Inflation,2015-09-30,2.5,IRQ
Food Inflation,2015-10-31,0.9,IRQ
Food Inflation,2015-11-30,-0.1,IRQ
Food Inflation,2015-12-31,3.7,IRQ
Food Inflation,2016-01-31,-1.6,IRQ
Food Inflation,2016-02-29,0.1,IRQ
Food Inflation,2016-03-31,-0.8,IRQ
Food Inflation,2016-04-30,0.4,IRQ
Food Inflation,2016-05-31,-1.1,IRQ
Food Inflation,2016-06-30,-3.6,IRQ
Food Inflation,2016-07-31,-6.5,IRQ
Food Inflation,2016-08-31,-5.6,IRQ
Food Inflation,2016-09-30,-4.1,IRQ
Food Inflation,2016-10-31,-2.8,IRQ
Food Inflation,2016-11-30,-4.8,IRQ
Food Inflation,2016-12-31,-6.5,IRQ
Food Inflation,2017-01-31,-4.1,IRQ
Food Inflation,2017-02-28,-3.3,IRQ
Food Inflation,2017-03-31,-0.6,IRQ
Food Inflation,2017-04-30,0.6,IRQ
Food Inflation,2017-05-31,-1.3,IRQ
Food Inflation,2017-06-30,-2.8,IRQ
Food Inflation,2017-07-31,0.3,IRQ
Food Inflation,2017-08-31,-2.7,IRQ
Food Inflation,2017-09-30,-3.1,IRQ
Food Inflation,2017-10-31,-3.7,IRQ
Food Inflation,2017-11-30,-1.7,IRQ
Food Inflation,2017-12-31,0.4,IRQ
Food Inflation,2018-01-31,-0.2,IRQ
Food Inflation,2018-02-28,-0.9,IRQ
Food Inflation,2018-03-31,-2.5,IRQ
Food Inflation,2018-04-30,-4.1,IRQ
Food Inflation,2018-05-31,-1.0,IRQ
Food Inflation,2018-06-30,1.9,IRQ
Food Inflation,2018-07-31,-0.1,IRQ
Food Inflation,2018-08-31,1.2,IRQ
Food Inflation,2018-09-30,1.5,IRQ
Food Inflation,2018-10-31,5.1,IRQ
Food Inflation,2018-11-30,2.0,IRQ
Food Inflation,2018-12-31,-1.0,IRQ
Food Inflation,2019-01-31,2.0,IRQ
Food Inflation,2019-02-28,0.7,IRQ
Food Inflation,2019-03-31,3.1,IRQ
Food Inflation,2019-04-30,1.1,IRQ
Food Inflation,2019-05-31,0.4,IRQ
Food Inflation,2019-06-30,0.2,IRQ
Food Inflation,2019-07-31,-0.7,IRQ
Food Inflation,2019-08-31,0.1,IRQ
Food Inflation,2019-09-30,-1.4,IRQ
Food Inflation,2019-10-31,-2.4,IRQ
Food Inflation,2019-11-30,-1.6,IRQ
Food Inflation,2019-12-31,-1.3,IRQ
Food Inflation,2020-01-31,-1.2,IRQ
Food Inflation,2020-02-29,-0.1,IRQ
Food Inflation,2020-03-31,0.3,IRQ
Food Inflation,2020-04-30,1.9,IRQ
Food Inflation,2020-05-31,-0.2,IRQ
Food Inflation,2020-06-30,-2.1,IRQ
Food Inflation,2020-07-31,-2.5,IRQ
Food Inflation,2020-08-31,-1.4,IRQ
Food Inflation,2020-09-30,0.3,IRQ
Food Inflation,2020-10-31,0.2,IRQ
Food Inflation,2020-11-30,-1.2,IRQ
Food Inflation,2020-12-31,0.1,IRQ
Food Inflation,2021-01-31,-0.4,IRQ
Food Inflation,2021-02-28,1.2,IRQ
Food Inflation,2021-03-31,0.6,IRQ
Food Inflation,2021-04-30,0.8,IRQ
Food Inflation,2021-05-31,4.1,IRQ
Food Inflation,2021-06-30,6.2,IRQ
Food Inflation,2021-07-31,7.4,IRQ
Food Inflation,2021-08-31,10.3,IRQ
Food Inflation,2021-09-30,7.7,IRQ
Food Inflation,2021-10-31,5.36,IRQ
Food Inflation,2021-11-30,8.29,IRQ
Food Inflation,2021-12-31,7.32,IRQ
Food Inflation,2022-01-31,8.36,IRQ
Food Inflation,2022-02-28,7.83,IRQ
Food Inflation,2022-03-31,7.16,IRQ
Food Inflation,2022-04-30,8.61,IRQ
Inflation Rate,2005-01-31,40.88,IRQ
Inflation Rate,2005-02-28,55.14,IRQ
Inflation Rate,2005-03-31,33.59,IRQ
Inflation Rate,2005-04-30,38.11,IRQ
Inflation Rate,2005-05-31,33.86,IRQ
Inflation Rate,2005-06-30,37.21,IRQ
Inflation Rate,2005-07-31,32.84,IRQ
Inflation Rate,2005-08-31,41.65,IRQ
Inflation Rate,2005-09-30,36.42,IRQ
Inflation Rate,2005-10-31,33.78,IRQ
Inflation Rate,2005-11-30,32.76,IRQ
Inflation Rate,2005-12-31,31.61,IRQ
Inflation Rate,2006-01-31,22.29,IRQ
Inflation Rate,2006-02-28,41.86,IRQ
Inflation Rate,2006-03-31,53.36,IRQ
Inflation Rate,2006-04-30,48.06,IRQ
Inflation Rate,2006-05-31,53.01,IRQ
