indicator,date,value,iso_code
Food Inflation,1971-01-31,6.8,JPN
Food Inflation,1971-02-28,6.2,JPN
Food Inflation,1971-03-31,4.3,JPN
Food Inflation,1971-04-30,4.3,JPN
Food Inflation,1971-05-31,5.2,JPN
Food Inflation,1971-06-30,6.0,JPN
Food Inflation,1971-07-31,6.0,JPN
Food Inflation,1971-08-31,7.3,JPN
Food Inflation,1971-09-30,10.4,JPN
Food Inflation,1971-10-31,7.1,JPN
Food Inflation,1971-11-30,4.6,JPN
Food Inflation,1971-12-31,3.5,JPN
Food Inflation,1972-01-31,2.1,JPN
Food Inflation,1972-02-29,2.3,JPN
Food Inflation,1972-03-31,4.3,JPN
Food Inflation,1972-04-30,4.8,JPN
Food Inflation,1972-05-31,5.5,JPN
Food Inflation,1972-06-30,4.6,JPN
Food Inflation,1972-07-31,4.6,JPN
Food Inflation,1972-08-31,6.3,JPN
Food Inflation,1972-09-30,1.3,JPN
Food Inflation,1972-10-31,2.2,JPN
Food Inflation,1972-11-30,3.6,JPN
Food Inflation,1972-12-31,5.1,JPN
Food Inflation,1973-01-31,6.6,JPN
Food Inflation,1973-02-28,7.6,JPN
Food Inflation,1973-03-31,10.0,JPN
Food Inflation,1973-04-30,10.5,JPN
Food Inflation,1973-05-31,12.4,JPN
Food Inflation,1973-06-30,11.8,JPN
Food Inflation,1973-07-31,13.0,JPN
Food Inflation,1973-08-31,12.9,JPN
Food Inflation,1973-09-30,16.9,JPN
Food Inflation,1973-10-31,15.5,JPN
Food Inflation,1973-11-30,17.4,JPN
Food Inflation,1973-12-31,20.9,JPN
Food Inflation,1974-01-31,27.4,JPN
Food Inflation,1974-02-28,31.6,JPN
Food Inflation,1974-03-31,27.0,JPN
Food Inflation,1974-04-30,28.9,JPN
Food Inflation,1974-05-31,24.9,JPN
Food Inflation,1974-06-30,25.3,JPN
Food Inflation,1974-07-31,28.0,JPN
Food Inflation,1974-08-31,29.0,JPN
Food Inflation,1974-09-30,26.2,JPN
Food Inflation,1974-10-31,29.2,JPN
Food Inflation,1974-11-30,29.6,JPN
Food Inflation,1974-12-31,25.3,JPN
Food Inflation,1975-01-31,18.0,JPN
Food Inflation,1975-02-28,13.8,JPN
Food Inflation,1975-03-31,15.6,JPN
Food Inflation,1975-04-30,13.4,JPN
Food Inflation,1975-05-31,15.6,JPN
Food Inflation,1975-06-30,15.8,JPN
Food Inflation,1975-07-31,12.8,JPN
Food Inflation,1975-08-31,10.3,JPN
Food Inflation,1975-09-30,11.8,JPN
Food Inflation,1975-10-31,12.6,JPN
Food Inflation,1975-11-30,9.9,JPN
Food Inflation,1975-12-31,8.2,JPN
Food Inflation,1976-01-31,9.8,JPN
Food Inflation,1976-02-29,10.8,JPN
Food Inflation,1976-03-31,8.9,JPN
Food Inflation,1976-04-30,10.9,JPN
Food Inflation,1976-05-31,10.3,JPN
Food Inflation,1976-06-30,10.3,JPN
Food Inflation,1976-07-31,10.5,JPN
Food Inflation,1976-08-31,8.9,JPN
Food Inflation,1976-09-30,9.1,JPN
Food Inflation,1976-10-31,6.1,JPN
Food Inflation,1976-11-30,6.5,JPN
Food Inflation,1976-12-31,7.3,JPN
Food Inflation,1977-01-31,7.3,JPN
Food Inflation,1977-02-28,7.4,JPN
Food Inflation,1977-03-31,8.3,JPN
Food Inflation,1977-04-30,6.5,JPN
Food Inflation,1977-05-31,7.5,JPN
Food Inflation,1977-06-30,6.8,JPN
Food Inflation,1977-07-31,5.4,JPN
Food Inflation,1977-08-31,8.1,JPN
Food Inflation,1977-09-30,6.9,JPN
Food Inflation,1977-10-31,7.0,JPN
Food Inflation,1977-11-30,5.4,JPN
Food Inflation,1977-12-31,4.4,JPN
Food Inflation,1978-01-31,3.4,JPN
Food Inflation,1978-02-28,2.8,JPN
Food Inflation,1978-03-31,3.2,JPN
Food Inflation,1978-04-30,3.4,JPN
Food Inflation,1978-05-31,3.2,JPN
Food Inflation,1978-06-30,3.2,JPN
Food Inflation,1978-07-31,4.8,JPN
Food Inflation,1978-08-31,5.1,JPN
Food Inflation,1978-09-30,3.6,JPN
Food Inflation,1978-10-31,3.2,JPN
Food Inflation,1978-11-30,3.3,JPN
Food Inflation,1978-12-31,3.4,JPN
Food Inflation,1979-01-31,2.7,JPN
Food Inflation,1979-02-28,1.6,JPN
Food Inflation,1979-03-31,1.3,JPN
Food Inflation,1979-04-30,1.7,JPN
Food Inflation,1979-05-31,1.9,JPN
Food Inflation,1979-06-30,2.3,JPN
Food Inflation,1979-07-31,3.5,JPN
Food Inflation,1979-08-31,0.3,JPN
Food Inflation,1979-09-30,-0.1,JPN
Food Inflation,1979-10-31,1.8,JPN
Food Inflation,1979-11-30,3.4,JPN
Food Inflation,1979-12-31,4.8,JPN
Food Inflation,1980-01-31,6.1,JPN
Food Inflation,1980-02-29,8.5,JPN
Food Inflation,1980-03-31,8.4,JPN
Food Inflation,1980-04-30,6.3,JPN
Food Inflation,1980-05-31,4.6,JPN
Food Inflation,1980-06-30,5.2,JPN
Food Inflation,1980-07-31,3.5,JPN
Food Inflation,1980-08-31,6.1,JPN
Food Inflation,1980-09-30,7.8,JPN
Food Inflation,1980-10-31,5.1,JPN
Food Inflation,1980-11-30,6.7,JPN
Food Inflation,1980-12-31,4.6,JPN
Food Inflation,1981-01-31,6.7,JPN
Food Inflation,1981-02-28,5.3,JPN
Food Inflation,1981-03-31,5.3,JPN
Food Inflation,1981-04-30,6.0,JPN
Food Inflation,1981-05-31,6.5,JPN
Food Inflation,1981-06-30,6.4,JPN
Food Inflation,1981-07-31,6.1,JPN
Food Inflation,1981-08-31,4.8,JPN
Food Inflation,1981-09-30,3.9,JPN
Food Inflation,1981-10-31,4.4,JPN
Food Inflation,1981-11-30,3.5,JPN
Food Inflation,1981-12-31,4.8,JPN
Food Inflation,1982-01-31,2.5,JPN
Food Inflation,1982-02-28,2.2,JPN
Food Inflation,1982-03-31,1.8,JPN
Food Inflation,1982-04-30,1.9,JPN
Food Inflation,1982-05-31,1.1,JPN
Food Inflation,1982-06-30,0.8,JPN
Food Inflation,1982-07-31,-0.2,JPN
Food Inflation,1982-08-31,3.2,JPN
Food Inflation,1982-09-30,3.4,JPN
Food Inflation,1982-10-31,3.2,JPN
Food Inflation,1982-11-30,1.1,JPN
Food Inflation,1982-12-31,0.4,JPN
Food Inflation,1983-01-31,1.0,JPN
Food Inflation,1983-02-28,1.2,JPN
Food Inflation,1983-03-31,2.3,JPN
Food Inflation,1983-04-30,1.9,JPN
Food Inflation,1983-05-31,3.8,JPN
Food Inflation,1983-06-30,2.5,JPN
Food Inflation,1983-07-31,3.3,JPN
Food Inflation,1983-08-31,1.7,JPN
Food Inflation,1983-09-30,0.1,JPN
Food Inflation,1983-10-31,1.6,JPN
Food Inflation,1983-11-30,2.5,JPN
Food Inflation,1983-12-31,2.5,JPN
Food Inflation,1984-01-31,2.9,JPN
Food Inflation,1984-02-29,5.0,JPN
Food Inflation,1984-03-31,3.9,JPN
Food Inflation,1984-04-30,3.4,JPN
Food Inflation,1984-05-31,2.0,JPN
Food Inflation,1984-06-30,2.1,JPN
Food Inflation,1984-07-31,3.5,JPN
Food Inflation,1984-08-31,1.5,JPN
Food Inflation,1984-09-30,3.0,JPN
Food Inflation,1984-10-31,1.9,JPN
Food Inflation,1984-11-30,2.1,JPN
Food Inflation,1984-12-31,3.2,JPN
Food Inflation,1985-01-31,3.3,JPN
Food Inflation,1985-02-28,0.4,JPN
Food Inflation,1985-03-31,0.7,JPN
Food Inflation,1985-04-30,1.3,JPN
Food Inflation,1985-05-31,0.9,JPN
Food Inflation,1985-06-30,2.4,JPN
Food Inflation,1985-07-31,2.6,JPN
Food Inflation,1985-08-31,2.9,JPN
Food Inflation,1985-09-30,0.5,JPN
Food Inflation,1985-10-31,2.6,JPN
Food Inflation,1985-11-30,1.4,JPN
Food Inflation,1985-12-31,1.1,JPN
Food Inflation,1986-01-31,1.7,JPN
Food Inflation,1986-02-28,1.9,JPN
Food Inflation,1986-03-31,0.9,JPN
Food Inflation,1986-04-30,0.3,JPN
Food Inflation,1986-05-31,0.7,JPN
Food Inflation,1986-06-30,0.2,JPN
Food Inflation,1986-07-31,-0.8,JPN
Food Inflation,1986-08-31,-0.5,JPN
Food Inflation,1986-09-30,0.5,JPN
Food Inflation,1986-10-31,-1.6,JPN
Food Inflation,1986-11-30,-0.3,JPN
Food Inflation,1986-12-31,-0.9,JPN
Food Inflation,1987-01-31,-2.8,JPN
Food Inflation,1987-02-28,-2.9,JPN
Food Inflation,1987-03-31,-1.7,JPN
Food Inflation,1987-04-30,-0.5,JPN
Food Inflation,1987-05-31,-0.4,JPN
Food Inflation,1987-06-30,-0.5,JPN
Food Inflation,1987-07-31,-1.7,JPN
Food Inflation,1987-08-31,-1.2,JPN
Food Inflation,1987-09-30,0.5,JPN
Food Inflation,1987-10-31,0.2,JPN
Food Inflation,1987-11-30,-0.2,JPN
Food Inflation,1987-12-31,0.1,JPN
Food Inflation,1988-01-31,0.3,JPN
Food Inflation,1988-02-29,0.5,JPN
Food Inflation,1988-03-31,0.6,JPN
Food Inflation,1988-04-30,-0.2,JPN
Food Inflation,1988-05-31,-0.6,JPN
Food Inflation,1988-06-30,-0.3,JPN
Food Inflation,1988-07-31,0.9,JPN
Food Inflation,1988-08-31,1.4,JPN
Food Inflation,1988-09-30,0.7,JPN
Food Inflation,1988-10-31,2.0,JPN
Food Inflation,1988-11-30,2.2,JPN
Food Inflation,1988-12-31,1.3,JPN
Food Inflation,1989-01-31,1.2,JPN
Food Inflation,1989-02-28,0.6,JPN
Food Inflation,1989-03-31,0.6,JPN
Food Inflation,1989-04-30,2.6,JPN
Food Inflation,1989-05-31,3.4,JPN
Food Inflation,1989-06-30,3.6,JPN
Food Inflation,1989-07-31,3.5,JPN
Food Inflation,1989-08-31,2.2,JPN
Food Inflation,1989-09-30,2.3,JPN
Food Inflation,1989-10-31,3.0,JPN
Food Inflation,1989-11-30,1.2,JPN
Food Inflation,1989-12-31,2.2,JPN
Food Inflation,1990-01-31,3.4,JPN
Food Inflation,1990-02-28,5.3,JPN
Food Inflation,1990-03-31,4.9,JPN
Food Inflation,1990-04-30,2.9,JPN
Food Inflation,1990-05-31,3.2,JPN
Food Inflation,1990-06-30,1.9,JPN
Food Inflation,1990-07-31,2.3,JPN
Food Inflation,1990-08-31,3.9,JPN
Food Inflation,1990-09-30,4.0,JPN
Food Inflation,1990-10-31,4.9,JPN
Food Inflation,1990-11-30,6.3,JPN
Food Inflation,1990-12-31,5.1,JPN
Food Inflation,1991-01-31,6.2,JPN
