indicator,date,value,iso_code
Food Inflation,2002-01-31,9.8,KAZ
Food Inflation,2002-02-28,8.7,KAZ
Food Inflation,2002-03-31,7.5,KAZ
Food Inflation,2002-04-30,6.5,KAZ
Food Inflation,2002-05-31,6.6,KAZ
Food Inflation,2002-06-30,6.9,KAZ
Food Inflation,2002-07-31,8.0,KAZ
Food Inflation,2002-08-31,7.9,KAZ
Food Inflation,2002-09-30,7.6,KAZ
Food Inflation,2002-10-31,7.2,KAZ
Food Inflation,2002-11-30,7.1,KAZ
Food Inflation,2002-12-31,7.8,KAZ
Food Inflation,2003-01-31,8.2,KAZ
Food Inflation,2003-02-28,8.5,KAZ
Food Inflation,2003-03-31,8.5,KAZ
Food Inflation,2003-04-30,8.4,KAZ
Food Inflation,2003-05-31,7.7,KAZ
Food Inflation,2003-06-30,7.4,KAZ
Food Inflation,2003-07-31,6.1,KAZ
Food Inflation,2003-08-31,6.3,KAZ
Food Inflation,2003-09-30,6.4,KAZ
Food Inflation,2003-10-31,8.0,KAZ
Food Inflation,2003-11-30,8.9,KAZ
Food Inflation,2003-12-31,8.0,KAZ
Food Inflation,2004-01-31,7.6,KAZ
Food Inflation,2004-02-29,7.6,KAZ
Food Inflation,2004-03-31,8.0,KAZ
Food Inflation,2004-04-30,8.1,KAZ
Food Inflation,2004-05-31,8.0,KAZ
Food Inflation,2004-06-30,8.0,KAZ
Food Inflation,2004-07-31,8.7,KAZ
Food Inflation,2004-08-31,9.4,KAZ
Food Inflation,2004-09-30,10.4,KAZ
Food Inflation,2004-10-31,9.7,KAZ
Food Inflation,2004-11-30,8.5,KAZ
Food Inflation,2004-12-31,8.1,KAZ
Food Inflation,2005-01-31,7.9,KAZ
Food Inflation,2005-02-28,8.1,KAZ
Food Inflation,2005-03-31,8.3,KAZ
Food Inflation,2005-04-30,8.4,KAZ
Food Inflation,2005-05-31,9.3,KAZ
Food Inflation,2005-06-30,9.8,KAZ
Food Inflation,2005-07-31,10.0,KAZ
Food Inflation,2005-08-31,9.4,KAZ
Food Inflation,2005-09-30,8.9,KAZ
Food Inflation,2005-10-31,8.4,KAZ
Food Inflation,2005-11-30,8.7,KAZ
Food Inflation,2005-12-31,8.7,KAZ
Food Inflation,2006-01-31,8.9,KAZ
Food Inflation,2006-02-28,10.6,KAZ
Food Inflation,2006-03-31,10.7,KAZ
Food Inflation,2006-04-30,10.6,KAZ
Food Inflation,2006-05-31,9.9,KAZ
Food Inflation,2006-06-30,9.3,KAZ
Food Inflation,2006-07-31,8.6,KAZ
Food Inflation,2006-08-31,8.6,KAZ
Food Inflation,2006-09-30,7.9,KAZ
Food Inflation,2006-10-31,7.7,KAZ
Food Inflation,2006-11-30,7.4,KAZ
Food Inflation,2006-12-31,7.4,KAZ
Food Inflation,2007-01-31,7.9,KAZ
Food Inflation,2007-02-28,6.2,KAZ
Food Inflation,2007-03-31,5.9,KAZ
Food Inflation,2007-04-30,6.0,KAZ
Food Inflation,2007-05-31,6.7,KAZ
Food Inflation,2007-06-30,7.8,KAZ
Food Inflation,2007-07-31,9.1,KAZ
Food Inflation,2007-08-31,10.6,KAZ
Food Inflation,2007-09-30,15.2,KAZ
Food Inflation,2007-10-31,22.8,KAZ
Food Inflation,2007-11-30,26.5,KAZ
Food Inflation,2007-12-31,28.3,KAZ
Food Inflation,2008-01-31,28.4,KAZ
Food Inflation,2008-02-29,28.7,KAZ
Food Inflation,2008-03-31,29.0,KAZ
Food Inflation,2008-04-30,29.5,KAZ
Food Inflation,2008-05-31,30.4,KAZ
Food Inflation,2008-06-30,31.5,KAZ
Food Inflation,2008-07-31,31.3,KAZ
Food Inflation,2008-08-31,30.1,KAZ
Food Inflation,2008-09-30,25.3,KAZ
Food Inflation,2008-10-31,17.6,KAZ
Food Inflation,2008-11-30,13.8,KAZ
Food Inflation,2008-12-31,11.0,KAZ
Food Inflation,2009-01-31,9.0,KAZ
Food Inflation,2009-02-28,8.1,KAZ
Food Inflation,2009-03-31,7.7,KAZ
Food Inflation,2009-04-30,7.7,KAZ
Food Inflation,2009-05-31,7.1,KAZ
Food Inflation,2009-06-30,5.2,KAZ
Food Inflation,2009-07-31,4.3,KAZ
Food Inflation,2009-08-31,3.7,KAZ
Food Inflation,2009-09-30,3.2,KAZ
Food Inflation,2009-10-31,2.5,KAZ
Food Inflation,2009-11-30,1.9,KAZ
Food Inflation,2009-12-31,1.9,KAZ
Food Inflation,2010-01-31,3.1,KAZ
Food Inflation,2010-02-28,4.2,KAZ
Food Inflation,2010-03-31,5.0,KAZ
Food Inflation,2010-04-30,5.0,KAZ
Food Inflation,2010-05-31,4.8,KAZ
Food Inflation,2010-06-30,4.7,KAZ
Food Inflation,2010-07-31,4.9,KAZ
Food Inflation,2010-08-31,5.4,KAZ
Food Inflation,2010-09-30,6.2,KAZ
Food Inflation,2010-10-31,7.8,KAZ
Food Inflation,2010-11-30,9.1,KAZ
Food Inflation,2010-12-31,10.2,KAZ
Food Inflation,2011-01-31,12.7,KAZ
Food Inflation,2011-02-28,13.6,KAZ
Food Inflation,2011-03-31,13.1,KAZ
Food Inflation,2011-04-30,13.1,KAZ
Food Inflation,2011-05-31,13.1,KAZ
Food Inflation,2011-06-30,13.3,KAZ
Food Inflation,2011-07-31,13.6,KAZ
Food Inflation,2011-08-31,13.6,KAZ
Food Inflation,2011-09-30,12.8,KAZ
Food Inflation,2011-10-31,11.2,KAZ
Food Inflation,2012-02-29,4.9,KAZ
Food Inflation,2012-03-31,4.5,KAZ
Food Inflation,2012-04-30,3.7,KAZ
Food Inflation,2012-05-31,3.2,KAZ
Food Inflation,2012-06-30,3.2,KAZ
Food Inflation,2012-07-31,3.0,KAZ
Food Inflation,2012-08-31,3.4,KAZ
Food Inflation,2012-09-30,4.2,KAZ
Food Inflation,2012-10-31,4.7,KAZ
Food Inflation,2012-11-30,4.5,KAZ
Food Inflation,2012-12-31,5.1,KAZ
Food Inflation,2013-01-31,5.1,KAZ
Food Inflation,2013-02-28,4.9,KAZ
Food Inflation,2013-03-31,4.6,KAZ
Food Inflation,2013-04-30,4.5,KAZ
Food Inflation,2013-05-31,4.5,KAZ
Food Inflation,2013-06-30,4.4,KAZ
Food Inflation,2013-07-31,4.3,KAZ
Food Inflation,2013-08-31,3.9,KAZ
Food Inflation,2013-09-30,3.3,KAZ
Food Inflation,2013-10-31,2.8,KAZ
Food Inflation,2013-11-30,2.9,KAZ
Food Inflation,2013-12-31,2.8,KAZ
Food Inflation,2014-01-31,2.6,KAZ
Food Inflation,2014-02-28,3.6,KAZ
Food Inflation,2014-03-31,4.7,KAZ
Food Inflation,2014-04-30,5.5,KAZ
Food Inflation,2014-05-31,6.2,KAZ
Food Inflation,2014-06-30,6.5,KAZ
Food Inflation,2014-07-31,6.3,KAZ
Food Inflation,2014-08-31,6.2,KAZ
Food Inflation,2014-09-30,6.7,KAZ
Food Inflation,2014-10-31,7.1,KAZ
Food Inflation,2014-11-30,7.0,KAZ
Food Inflation,2014-12-31,7.4,KAZ
Food Inflation,2015-01-31,8.2,KAZ
Food Inflation,2015-02-28,7.4,KAZ
Food Inflation,2015-03-31,5.6,KAZ
Food Inflation,2015-04-30,4.8,KAZ
Food Inflation,2015-05-31,4.7,KAZ
Food Inflation,2015-06-30,3.7,KAZ
Food Inflation,2015-07-31,3.6,KAZ
Food Inflation,2015-08-31,3.5,KAZ
Food Inflation,2015-09-30,2.8,KAZ
Food Inflation,2015-10-31,7.3,KAZ
Food Inflation,2015-11-30,10.3,KAZ
Food Inflation,2015-12-31,10.4,KAZ
Food Inflation,2016-01-31,11.3,KAZ
Food Inflation,2016-02-29,12.2,KAZ
Food Inflation,2016-03-31,12.6,KAZ
