date,value,value_high,value_low,iso_code
2022-04-29,2885041,3765260,2251744,KHM
2022-04-30,2885041,3765260,2251744,KHM
2022-05-01,2840874,3674082,2209307,KHM
2022-05-02,2840874,3674082,2209307,KHM
2022-05-03,2840874,3674082,2209307,KHM
2022-05-04,2840874,3674082,2209307,KHM
2022-05-05,2840874,3674082,2209307,KHM
2022-05-06,2840874,3674082,2209307,KHM
2022-05-07,2840874,3674082,2209307,KHM
2022-05-08,2840874,3674082,2209307,KHM
2022-05-09,2840874,3674082,2209307,KHM
2022-05-10,2840874,3674082,2209307,KHM
2022-05-11,2836025,3662857,2198990,KHM
2022-05-12,2836025,3662857,2198990,KHM
2022-05-13,2835998,3662857,2198990,KHM
2022-05-14,2836025,3662857,2198990,KHM
2022-05-15,2836025,3662857,2198990,KHM
2022-05-16,2836025,3662857,2198990,KHM
2022-05-17,2836025,3662857,2198990,KHM
2022-05-18,2836025,3662857,2198990,KHM
2022-05-19,2836025,3662857,2198990,KHM
2022-05-20,2836025,3662857,2198990,KHM
2022-05-21,2835736,3662857,2197689,KHM
2022-05-22,2835736,3662857,2197689,KHM
2022-05-23,2835736,3662857,2197689,KHM
2022-05-24,2835736,3662857,2197689,KHM
2022-05-25,2835736,3662857,2197689,KHM
2022-05-26,2835736,3662857,2197689,KHM
2022-05-27,2835736,3662857,2197689,KHM
2022-05-28,2835736,3662857,2197689,KHM
2022-05-29,2835736,3662857,2197689,KHM
2022-05-30,2835736,3662857,2197689,KHM
2022-05-31,2835736,3662857,2197689,KHM
2022-06-01,2793820,3609188,2181552,KHM
2022-06-02,2793820,3609188,2181552,KHM
2022-06-03,2793820,3609188,2181552,KHM
2022-06-04,2793820,3609188,2181552,KHM
2022-06-05,2793820,3609188,2181552,KHM
2022-06-06,2793820,3609188,2181552,KHM
2022-06-07,2793820,3609188,2181552,KHM
2022-06-08,2793723,3609188,2181552,KHM
2022-06-09,2793723,3609188,2181552,KHM
2022-06-10,2793723,3609188,2181552,KHM
2022-06-11,2792319,3609188,2179765,KHM
2022-06-12,2792319,3609188,2179765,KHM
2022-06-13,2791880,3609188,2179765,KHM
2022-06-14,2791711,3609188,2178737,KHM
2022-06-15,2791711,3609188,2178737,KHM
2022-06-16,2791508,3608647,2178737,KHM
2022-06-17,2791508,3608647,2178737,KHM
2022-06-18,2791508,3608647,2178737,KHM
2022-06-19,2793415,3608647,2178737,KHM
2022-06-20,2793415,3608647,2178737,KHM
2022-06-21,2791953,3604552,2179716,KHM
2022-06-22,2791953,3604552,2179716,KHM
2022-06-23,2792339,3604552,2179716,KHM
2022-06-24,2792339,3604552,2177618,KHM
2022-06-25,2792339,3604552,2177618,KHM
2022-06-26,2792339,3604552,2177618,KHM
2022-06-27,2782353,3593701,2177618,KHM
2022-06-28,2842172,3643857,2231412,KHM
2022-06-29,2842172,3642432,2231412,KHM
2022-06-30,2839996,3642432,2231412,KHM
2022-07-01,2888823,3696899,2253456,KHM
2022-07-02,2888823,3696899,2253456,KHM
2022-07-03,2888823,3696899,2253456,KHM
2022-07-04,2886428,3695778,2252288,KHM
2022-07-05,2882948,3695714,2232284,KHM
2022-07-06,2871457,3683531,2231742,KHM
2022-07-07,2836453,3665835,2225007,KHM
2022-07-08,2834028,3662271,2224698,KHM
2022-07-09,2834028,3662271,2224698,KHM
2022-07-10,2833768,3660972,2220607,KHM
2022-07-11,2820941,3635136,2202739,KHM
2022-07-12,2813784,3632359,2194732,KHM
2022-07-13,2813760,3629866,2194694,KHM
2022-07-14,2813760,3629866,2194694,KHM
2022-07-15,2813722,3629866,2194694,KHM
2022-07-16,2813722,3629866,2194694,KHM
2022-07-17,2813722,3624879,2194694,KHM
2022-07-18,2813722,3624879,2194694,KHM
2022-07-19,2813722,3624879,2194694,KHM
2022-07-20,2813722,3624879,2194694,KHM
2022-07-21,2811893,3632543,2191877,KHM
2022-07-22,2811844,3632666,2191877,KHM
2022-07-23,2810681,3632666,2191877,KHM
2022-07-24,2810447,3633560,2191877,KHM
2022-07-25,2810566,3633560,2192766,KHM
2022-07-26,2811702,3633560,2192766,KHM
2022-07-27,2832290,3665324,2210324,KHM
2022-07-28,2814919,3624088,2210661,KHM
2022-07-29,2814919,3628225,2210661,KHM
