indicator,date,value,iso_code
Food Inflation,1996-01-31,0.72,LUX
Food Inflation,1996-02-29,0.23,LUX
Food Inflation,1996-03-31,0.48,LUX
Food Inflation,1996-04-30,0.57,LUX
Food Inflation,1996-05-31,0.62,LUX
Food Inflation,1996-06-30,1.04,LUX
Food Inflation,1996-07-31,1.34,LUX
Food Inflation,1996-08-31,1.59,LUX
Food Inflation,1996-09-30,1.04,LUX
Food Inflation,1996-10-31,0.87,LUX
Food Inflation,1996-11-30,0.92,LUX
Food Inflation,1996-12-31,0.74,LUX
Food Inflation,1997-01-31,0.32,LUX
Food Inflation,1997-02-28,0.34,LUX
Food Inflation,1997-03-31,0.11,LUX
Food Inflation,1997-04-30,0.02,LUX
Food Inflation,1997-05-31,0.32,LUX
Food Inflation,1997-06-30,0.45,LUX
Food Inflation,1997-07-31,0.86,LUX
Food Inflation,1997-08-31,1.09,LUX
Food Inflation,1997-09-30,1.84,LUX
Food Inflation,1997-10-31,2.18,LUX
Food Inflation,1997-11-30,2.54,LUX
Food Inflation,1997-12-31,2.53,LUX
Food Inflation,1998-01-31,2.84,LUX
Food Inflation,1998-02-28,2.98,LUX
Food Inflation,1998-03-31,3.43,LUX
Food Inflation,1998-04-30,3.24,LUX
Food Inflation,1998-05-31,3.24,LUX
Food Inflation,1998-06-30,2.87,LUX
Food Inflation,1998-07-31,2.64,LUX
Food Inflation,1998-08-31,2.77,LUX
Food Inflation,1998-09-30,2.34,LUX
Food Inflation,1998-10-31,1.95,LUX
Food Inflation,1998-11-30,1.93,LUX
Food Inflation,1998-12-31,1.9,LUX
Food Inflation,1999-01-31,2.04,LUX
Food Inflation,1999-02-28,1.66,LUX
Food Inflation,1999-03-31,1.65,LUX
Food Inflation,1999-04-30,1.97,LUX
Food Inflation,1999-05-31,1.56,LUX
Food Inflation,1999-06-30,1.31,LUX
Food Inflation,1999-07-31,1.08,LUX
Food Inflation,1999-08-31,0.47,LUX
Food Inflation,1999-09-30,0.58,LUX
Food Inflation,1999-10-31,0.71,LUX
Food Inflation,1999-11-30,0.61,LUX
Food Inflation,1999-12-31,0.9,LUX
Food Inflation,2000-01-31,0.52,LUX
Food Inflation,2000-02-29,1.12,LUX
Food Inflation,2000-03-31,0.94,LUX
Food Inflation,2000-04-30,0.82,LUX
Food Inflation,2000-05-31,1.17,LUX
Food Inflation,2000-06-30,2.19,LUX
Food Inflation,2000-07-31,2.04,LUX
Food Inflation,2000-08-31,2.69,LUX
Food Inflation,2000-09-30,2.86,LUX
Food Inflation,2000-10-31,3.31,LUX
Food Inflation,2000-11-30,3.37,LUX
Food Inflation,2000-12-31,3.46,LUX
Food Inflation,2001-01-31,3.9,LUX
Food Inflation,2001-02-28,3.72,LUX
Food Inflation,2001-03-31,3.86,LUX
Food Inflation,2001-04-30,4.65,LUX
Food Inflation,2001-05-31,4.85,LUX
Food Inflation,2001-06-30,4.76,LUX
Food Inflation,2001-07-31,5.03,LUX
Food Inflation,2001-08-31,5.2,LUX
Food Inflation,2001-09-30,5.41,LUX
Food Inflation,2001-10-31,5.36,LUX
Food Inflation,2001-11-30,5.31,LUX
Food Inflation,2001-12-31,5.13,LUX
Food Inflation,2002-01-31,5.19,LUX
Food Inflation,2002-02-28,5.26,LUX
Food Inflation,2002-03-31,4.93,LUX
Food Inflation,2002-04-30,4.31,LUX
Food Inflation,2002-05-31,4.55,LUX
Food Inflation,2002-06-30,3.97,LUX
Food Inflation,2002-07-31,3.97,LUX
Food Inflation,2002-08-31,3.31,LUX
Food Inflation,2002-09-30,3.11,LUX
Food Inflation,2002-10-31,2.79,LUX
Food Inflation,2002-11-30,2.85,LUX
Food Inflation,2002-12-31,2.8,LUX
Food Inflation,2003-01-31,2.21,LUX
Food Inflation,2003-02-28,2.24,LUX
Food Inflation,2003-03-31,2.25,LUX
Food Inflation,2003-04-30,2.22,LUX
Food Inflation,2003-05-31,1.71,LUX
Food Inflation,2003-06-30,1.67,LUX
Food Inflation,2003-07-31,1.65,LUX
Food Inflation,2003-08-31,1.72,LUX
Food Inflation,2003-09-30,1.53,LUX
Food Inflation,2003-10-31,2.05,LUX
Food Inflation,2003-11-30,1.87,LUX
Food Inflation,2003-12-31,2.07,LUX
Food Inflation,2004-01-31,2.49,LUX
Food Inflation,2004-02-29,2.37,LUX
Food Inflation,2004-03-31,2.32,LUX
Food Inflation,2004-04-30,2.45,LUX
Food Inflation,2004-05-31,2.12,LUX
Food Inflation,2004-06-30,1.99,LUX
Food Inflation,2004-07-31,2.08,LUX
Food Inflation,2004-08-31,1.78,LUX
Food Inflation,2004-09-30,1.78,LUX
Food Inflation,2004-10-31,1.03,LUX
Food Inflation,2004-11-30,0.82,LUX
Food Inflation,2004-12-31,0.78,LUX
Food Inflation,2005-01-31,0.7,LUX
Food Inflation,2005-02-28,1.22,LUX
Food Inflation,2005-03-31,1.41,LUX
Food Inflation,2005-04-30,1.45,LUX
Food Inflation,2005-05-31,1.52,LUX
Food Inflation,2005-06-30,1.69,LUX
Food Inflation,2005-07-31,1.39,LUX
Food Inflation,2005-08-31,1.9,LUX
Food Inflation,2005-09-30,1.83,LUX
Food Inflation,2005-10-31,2.25,LUX
Food Inflation,2005-11-30,2.39,LUX
Food Inflation,2005-12-31,1.92,LUX
Food Inflation,2006-01-31,2.32,LUX
Food Inflation,2006-02-28,1.83,LUX
Food Inflation,2006-03-31,2.07,LUX
Food Inflation,2006-04-30,1.88,LUX
Food Inflation,2006-05-31,1.97,LUX
Food Inflation,2006-06-30,2.04,LUX
Food Inflation,2006-07-31,2.46,LUX
Food Inflation,2006-08-31,2.5,LUX
Food Inflation,2006-09-30,2.57,LUX
Food Inflation,2006-10-31,2.69,LUX
Food Inflation,2006-11-30,2.81,LUX
Food Inflation,2006-12-31,3.31,LUX
Food Inflation,2007-01-31,3.07,LUX
Food Inflation,2007-02-28,2.98,LUX
Food Inflation,2007-03-31,2.89,LUX
Food Inflation,2007-04-30,2.68,LUX
Food Inflation,2007-05-31,2.99,LUX
Food Inflation,2007-06-30,2.9,LUX
Food Inflation,2007-07-31,2.68,LUX
Food Inflation,2007-08-31,2.59,LUX
Food Inflation,2007-09-30,2.96,LUX
Food Inflation,2007-10-31,4.26,LUX
Food Inflation,2007-11-30,5.02,LUX
Food Inflation,2007-12-31,5.26,LUX
Food Inflation,2008-01-31,5.18,LUX
Food Inflation,2008-02-29,5.47,LUX
Food Inflation,2008-03-31,5.96,LUX
Food Inflation,2008-04-30,5.83,LUX
Food Inflation,2008-05-31,5.98,LUX
Food Inflation,2008-06-30,6.25,LUX
Food Inflation,2008-07-31,6.19,LUX
Food Inflation,2008-08-31,6.2,LUX
Food Inflation,2008-09-30,6.14,LUX
Food Inflation,2008-10-31,4.65,LUX
Food Inflation,2008-11-30,3.61,LUX
Food Inflation,2008-12-31,3.07,LUX
Food Inflation,2009-01-31,2.95,LUX
Food Inflation,2009-02-28,2.86,LUX
Food Inflation,2009-03-31,2.37,LUX
Food Inflation,2009-04-30,2.68,LUX
Food Inflation,2009-05-31,1.89,LUX
Food Inflation,2009-06-30,1.43,LUX
Food Inflation,2009-07-31,1.24,LUX
Food Inflation,2009-08-31,0.55,LUX
Food Inflation,2009-09-30,0.24,LUX
Food Inflation,2009-10-31,0.29,LUX
Food Inflation,2009-11-30,0.47,LUX
Food Inflation,2009-12-31,0.29,LUX
Food Inflation,2010-01-31,0.05,LUX
Food Inflation,2010-02-28,-0.12,LUX
Food Inflation,2010-03-31,-0.26,LUX
Food Inflation,2010-04-30,-0.01,LUX
Food Inflation,2010-05-31,0.37,LUX
Food Inflation,2010-06-30,0.76,LUX
Food Inflation,2010-07-31,0.97,LUX
Food Inflation,2010-08-31,1.77,LUX
Food Inflation,2010-09-30,1.91,LUX
Food Inflation,2010-10-31,1.62,LUX
Food Inflation,2010-11-30,1.47,LUX
Food Inflation,2010-12-31,1.91,LUX
Food Inflation,2011-01-31,2.47,LUX
Food Inflation,2011-02-28,2.79,LUX
Food Inflation,2011-03-31,3.05,LUX
Food Inflation,2011-04-30,2.41,LUX
Food Inflation,2011-05-31,3.21,LUX
Food Inflation,2011-06-30,2.1,LUX
Food Inflation,2011-07-31,2.59,LUX
Food Inflation,2011-08-31,2.45,LUX
Food Inflation,2011-09-30,2.31,LUX
Food Inflation,2011-10-31,1.98,LUX
Food Inflation,2011-11-30,3.02,LUX
Food Inflation,2011-12-31,2.34,LUX
Food Inflation,2012-01-31,1.67,LUX
Food Inflation,2012-02-29,2.27,LUX
Food Inflation,2012-03-31,2.23,LUX
Food Inflation,2012-04-30,2.46,LUX
Food Inflation,2012-05-31,1.64,LUX
Food Inflation,2012-06-30,3.39,LUX
Food Inflation,2012-07-31,2.47,LUX
Food Inflation,2012-08-31,2.36,LUX
Food Inflation,2012-09-30,2.46,LUX
Food Inflation,2012-10-31,3.41,LUX
Food Inflation,2012-11-30,2.95,LUX
Food Inflation,2012-12-31,3.46,LUX
Food Inflation,2013-02-28,3.52,LUX
Food Inflation,2013-03-31,3.54,LUX
Food Inflation,2013-04-30,4.05,LUX
Food Inflation,2013-05-31,4.13,LUX
Food Inflation,2013-06-30,4.14,LUX
Food Inflation,2013-07-31,3.89,LUX
Food Inflation,2013-08-31,4.01,LUX
Food Inflation,2013-09-30,3.95,LUX
Food Inflation,2013-10-31,2.8,LUX
Food Inflation,2013-11-30,2.65,LUX
Food Inflation,2013-12-31,2.98,LUX
Food Inflation,2014-02-28,2.49,LUX
Food Inflation,2014-03-31,1.53,LUX
Food Inflation,2014-04-30,1.37,LUX
Food Inflation,2014-05-31,0.8,LUX
Food Inflation,2014-06-30,-0.05,LUX
Food Inflation,2014-07-31,0.17,LUX
Food Inflation,2014-08-31,-0.5,LUX
Food Inflation,2014-09-30,-0.47,LUX
Food Inflation,2014-10-31,-0.15,LUX
Food Inflation,2014-11-30,-0.32,LUX
Food Inflation,2014-12-31,-1.14,LUX
Food Inflation,2015-01-31,-0.6,LUX
Food Inflation,2015-02-28,-0.41,LUX
Food Inflation,2015-03-31,0.1,LUX
Food Inflation,2015-04-30,-0.37,LUX
Food Inflation,2015-05-31,0.52,LUX
Food Inflation,2015-06-30,0.73,LUX
Food Inflation,2015-07-31,0.73,LUX
Food Inflation,2015-08-31,1.43,LUX
Food Inflation,2015-09-30,1.52,LUX
Food Inflation,2015-10-31,1.65,LUX
Food Inflation,2015-11-30,1.72,LUX
Food Inflation,2015-12-31,2.24,LUX
Food Inflation,2016-01-31,1.35,LUX
Food Inflation,2016-02-29,1.2,LUX
Food Inflation,2016-03-31,1.02,LUX
Food Inflation,2016-04-30,1.91,LUX
Food Inflation,2016-05-31,1.83,LUX
Food Inflation,2016-06-30,1.48,LUX
Food Inflation,2016-07-31,1.8,LUX
Food Inflation,2016-08-31,1.9,LUX
Food Inflation,2016-09-30,1.8,LUX
Food Inflation,2016-10-31,1.1,LUX
Food Inflation,2016-11-30,1.2,LUX
Food Inflation,2016-12-31,1.8,LUX
Food Inflation,2017-01-31,2.6,LUX
Food Inflation,2017-02-28,3.5,LUX
Food Inflation,2017-03-31,3.4,LUX
Food Inflation,2017-04-30,2.4,LUX
Food Inflation,2017-05-31,2.8,LUX
Food Inflation,2017-06-30,2.4,LUX
Food Inflation,2017-07-31,2.9,LUX
Food Inflation,2017-08-31,2.55,LUX
Food Inflation,2017-09-30,2.55,LUX
Food Inflation,2017-10-31,3.31,LUX
Food Inflation,2017-11-30,3.13,LUX
Food Inflation,2017-12-29,2.38,LUX
Food Inflation,2018-01-31,1.84,LUX
Food Inflation,2018-02-28,1.39,LUX
Food Inflation,2018-03-31,2.15,LUX
Food Inflation,2018-04-30,2.38,LUX
