date,value,value_high,value_low,iso_code
2022-04-29,4616883,5496501,3776977,MAR
2022-04-30,4616883,5496501,3776977,MAR
2022-05-01,5043785,6031434,3930924,MAR
2022-05-02,5043785,6031434,3930924,MAR
2022-05-03,4619990,5498964,3778607,MAR
2022-05-04,4625007,5498964,3778607,MAR
2022-05-05,4620478,5499743,3775806,MAR
2022-05-06,4615715,5500176,3780077,MAR
2022-05-07,4615715,5500176,3780077,MAR
2022-05-08,4615715,5500176,3780077,MAR
2022-05-09,4615715,5500176,3780077,MAR
2022-05-10,4615715,5500176,3780077,MAR
2022-05-11,4610198,5497348,3776444,MAR
2022-05-12,4610198,5499900,3776444,MAR
2022-05-13,4610198,5499900,3776444,MAR
2022-05-14,4610198,5499900,3776444,MAR
2022-05-15,4610198,5499900,3776444,MAR
2022-05-16,4610198,5499900,3776444,MAR
2022-05-17,4605651,5484597,3770390,MAR
2022-05-18,4605651,5484597,3770390,MAR
2022-05-19,4605651,5484597,3770390,MAR
2022-05-20,4605651,5484597,3770390,MAR
2022-05-21,4468712,5350195,3526021,MAR
2022-05-22,4468712,5350195,3526021,MAR
2022-05-23,4468712,5350195,3526021,MAR
2022-05-24,4467239,5357134,3523188,MAR
2022-05-25,4467239,5357134,3523188,MAR
2022-05-26,4468599,5357134,3523188,MAR
2022-05-27,4468599,5357134,3523188,MAR
2022-05-28,4468599,5357134,3523188,MAR
2022-05-29,4468599,5357134,3523188,MAR
2022-05-30,4469760,5357134,3523188,MAR
2022-05-31,4468964,5357134,3523188,MAR
2022-06-01,4451249,5318242,3503709,MAR
2022-06-02,4451249,5311740,3503709,MAR
2022-06-03,4451249,5311740,3503709,MAR
2022-06-04,4451249,5311740,3503709,MAR
2022-06-05,4451249,5311740,3503709,MAR
2022-06-06,4451249,5311740,3503709,MAR
2022-06-07,4450594,5311740,3503710,MAR
2022-06-08,4451811,5311740,3503710,MAR
2022-06-09,4451811,5311740,3503710,MAR
2022-06-10,4451811,5311740,3503710,MAR
2022-06-11,4435015,5298613,3488684,MAR
2022-06-12,4435015,5298613,3488684,MAR
2022-06-13,4435015,5296180,3488684,MAR
2022-06-14,4435015,5296180,3488684,MAR
2022-06-15,4425044,5284362,3485965,MAR
2022-06-16,4425044,5284362,3485965,MAR
2022-06-17,4425044,5284362,3485965,MAR
2022-06-18,4425044,5284362,3485965,MAR
2022-06-19,4425044,5284362,3485965,MAR
2022-06-20,4425044,5284362,3485965,MAR
2022-06-21,4407047,5278294,3492998,MAR
2022-06-22,4407047,5278294,3492998,MAR
2022-06-23,4407047,5278294,3492998,MAR
2022-06-24,4339364,5268944,3475767,MAR
2022-06-25,4339408,5247300,3468800,MAR
2022-06-26,4339408,5247300,3468800,MAR
2022-06-27,4339408,5247300,3468800,MAR
2022-06-28,4875829,5881184,3811901,MAR
2022-06-29,4875829,5881184,3811901,MAR
2022-06-30,4842971,5875062,3809093,MAR
2022-07-01,4832297,5868901,3798833,MAR
2022-07-02,4832297,5868901,3798833,MAR
2022-07-03,4832297,5868901,3798833,MAR
2022-07-04,4832297,5868901,3798833,MAR
2022-07-05,4832297,5868901,3798833,MAR
2022-07-06,4832297,5868901,3798833,MAR
2022-07-07,4832297,5868901,3798833,MAR
2022-07-08,4832297,5868901,3798833,MAR
2022-07-09,4832297,5868901,3798833,MAR
2022-07-10,4832297,5868901,3798833,MAR
2022-07-11,4842800,5864406,3801824,MAR
2022-07-12,4842800,5864406,3801824,MAR
2022-07-13,4842800,5864406,3801824,MAR
2022-07-14,4842800,5864406,3801824,MAR
2022-07-15,4841450,5864406,3801087,MAR
2022-07-16,4842741,5864406,3801824,MAR
2022-07-17,4842800,5864406,3801824,MAR
2022-07-18,4842800,5864406,3801824,MAR
2022-07-19,4842800,5864406,3801824,MAR
2022-07-20,4842800,5864406,3801824,MAR
2022-07-21,4833187,5864406,3799337,MAR
2022-07-22,4833187,5864406,3799337,MAR
2022-07-23,4830354,5864406,3797902,MAR
2022-07-24,4830356,5864406,3799527,MAR
2022-07-25,4830356,5864406,3799527,MAR
2022-07-26,4830356,5864406,3799527,MAR
2022-07-27,4873638,5912057,3855751,MAR
2022-07-28,4879510,5911578,3860266,MAR
2022-07-29,4879510,5911578,3860266,MAR
