date,value,value_high,value_low,iso_code
2022-04-29,7067765,7067765,7067765,MDG
2022-04-30,7134295,7134295,7134295,MDG
2022-05-01,7184706,7184706,7184706,MDG
2022-05-02,7230387,7230387,7230387,MDG
2022-05-03,7258309,7258309,7258309,MDG
2022-05-04,7256232,7256232,7256232,MDG
2022-05-05,7304438,7304438,7304438,MDG
2022-05-06,7338525,7338525,7338525,MDG
2022-05-07,7391150,7391150,7391150,MDG
2022-05-08,7389845,7389845,7389845,MDG
2022-05-09,7415039,7415039,7415039,MDG
2022-05-10,7430700,7430700,7430700,MDG
2022-05-11,7457795,7457795,7457795,MDG
2022-05-12,7456006,7456006,7456006,MDG
2022-05-13,7455836,7455836,7455836,MDG
2022-05-14,7474702,7474702,7474702,MDG
2022-05-15,7386713,7386713,7386713,MDG
2022-05-16,7413557,7413557,7413557,MDG
2022-05-17,7479552,7479552,7479552,MDG
2022-05-18,7471859,7471859,7471859,MDG
2022-05-19,7453672,7453672,7453672,MDG
2022-05-20,7456177,7456177,7456177,MDG
2022-05-21,7474917,7474917,7474917,MDG
2022-05-22,7545446,7545446,7545446,MDG
2022-05-23,7590369,7590369,7590369,MDG
2022-05-24,7636235,7636235,7636235,MDG
2022-05-25,7698217,7698217,7698217,MDG
2022-05-26,7719853,7719853,7719853,MDG
2022-05-27,7703102,7703102,7703102,MDG
2022-05-28,7738310,7738310,7738310,MDG
2022-05-29,7772231,7772231,7772231,MDG
2022-05-30,7783797,7783797,7783797,MDG
2022-05-31,7761770,7761770,7761770,MDG
2022-06-01,7782604,7782604,7782604,MDG
2022-06-02,7781511,7781511,7781511,MDG
2022-06-03,7823891,7823891,7823891,MDG
2022-06-04,7868299,7868299,7868299,MDG
2022-06-05,7850169,7850169,7850169,MDG
2022-06-06,7835022,7835022,7835022,MDG
2022-06-07,7784698,7784698,7784698,MDG
2022-06-08,7761450,7761450,7761450,MDG
2022-06-09,7770201,7770201,7770201,MDG
2022-06-10,7759825,7759825,7759825,MDG
2022-06-11,7776244,7776244,7776244,MDG
2022-06-12,7794920,7794920,7794920,MDG
2022-06-13,7757871,7757871,7757871,MDG
2022-06-14,7764449,7764449,7764449,MDG
2022-06-15,7769957,7769957,7769957,MDG
2022-06-16,7749836,7749836,7749836,MDG
2022-06-17,7790481,7790481,7790481,MDG
2022-06-18,7781381,7781381,7781381,MDG
2022-06-19,7765879,7765879,7765879,MDG
2022-06-20,7774047,7774047,7774047,MDG
2022-06-21,7775698,7775698,7775698,MDG
2022-06-22,7769083,7769083,7769083,MDG
2022-06-23,7700006,7700006,7700006,MDG
2022-06-24,7723951,7723951,7723951,MDG
2022-06-25,7731519,7731519,7731519,MDG
2022-06-26,7793519,7793519,7793519,MDG
2022-06-27,7727423,7727423,7727423,MDG
2022-06-28,7718037,7718037,7718037,MDG
2022-06-29,7719901,7719901,7719901,MDG
2022-06-30,7705025,7705025,7705025,MDG
2022-07-01,7686576,7686576,7686576,MDG
2022-07-02,7664250,7664250,7664250,MDG
2022-07-03,7696339,7696339,7696339,MDG
2022-07-04,7645959,7645959,7645959,MDG
2022-07-05,7572825,7572825,7572825,MDG
2022-07-06,7601341,7601341,7601341,MDG
2022-07-07,7617642,7617642,7617642,MDG
2022-07-08,7617361,7617361,7617361,MDG
2022-07-09,7622271,7622271,7622271,MDG
2022-07-10,7605735,7605735,7605735,MDG
2022-07-11,7596163,7596163,7596163,MDG
2022-07-12,7611986,7611986,7611986,MDG
2022-07-13,7579466,7579466,7579466,MDG
2022-07-14,7675677,7675677,7675677,MDG
2022-07-15,7654356,7654356,7654356,MDG
2022-07-16,7684169,7684169,7684169,MDG
2022-07-17,7712102,7712102,7712102,MDG
2022-07-18,7665911,7665911,7665911,MDG
2022-07-19,7699155,7699155,7699155,MDG
2022-07-20,7684007,7684007,7684007,MDG
2022-07-21,7689147,7689147,7689147,MDG
2022-07-22,7758378,7758378,7758378,MDG
2022-07-23,7783736,7783736,7783736,MDG
2022-07-24,7759116,7759116,7759116,MDG
2022-07-25,7769348,7769348,7769348,MDG
2022-07-26,7842618,7842618,7842618,MDG
2022-07-27,7829477,7829477,7829477,MDG
2022-07-28,7844702,7844702,7844702,MDG
2022-07-29,7894664,7894664,7894664,MDG
