indicator,date,value,iso_code
Food Inflation,2003-07-31,4.58,MEX
Food Inflation,2003-08-31,4.08,MEX
Food Inflation,2003-09-30,5.23,MEX
Food Inflation,2003-10-31,5.64,MEX
Food Inflation,2003-11-30,5.33,MEX
Food Inflation,2003-12-31,4.98,MEX
Food Inflation,2004-01-31,6.55,MEX
Food Inflation,2004-02-29,7.85,MEX
Food Inflation,2004-03-31,6.08,MEX
Food Inflation,2004-04-30,5.65,MEX
Food Inflation,2004-05-31,5.51,MEX
Food Inflation,2004-06-30,5.03,MEX
Food Inflation,2004-07-31,5.27,MEX
Food Inflation,2004-08-31,7.44,MEX
Food Inflation,2004-09-30,8.55,MEX
Food Inflation,2004-10-31,10.0,MEX
Food Inflation,2004-11-30,10.09,MEX
Food Inflation,2004-12-31,8.41,MEX
Food Inflation,2005-01-31,5.26,MEX
Food Inflation,2005-02-28,5.02,MEX
Food Inflation,2005-03-31,6.07,MEX
Food Inflation,2005-04-30,8.32,MEX
Food Inflation,2005-05-31,9.42,MEX
Food Inflation,2005-06-30,8.07,MEX
Food Inflation,2005-07-31,8.66,MEX
Food Inflation,2005-08-31,6.44,MEX
Food Inflation,2005-09-30,4.47,MEX
Food Inflation,2005-10-31,1.75,MEX
Food Inflation,2005-11-30,0.03,MEX
Food Inflation,2005-12-31,1.77,MEX
Food Inflation,2006-01-31,5.13,MEX
Food Inflation,2006-02-28,4.63,MEX
Food Inflation,2006-03-31,2.5,MEX
Food Inflation,2006-04-30,0.63,MEX
Food Inflation,2006-05-31,0.13,MEX
Food Inflation,2006-06-30,1.08,MEX
Food Inflation,2006-07-31,0.37,MEX
Food Inflation,2006-08-31,2.25,MEX
Food Inflation,2006-09-30,5.77,MEX
Food Inflation,2006-10-31,7.46,MEX
Food Inflation,2006-11-30,7.04,MEX
Food Inflation,2006-12-31,6.99,MEX
Food Inflation,2007-01-31,6.31,MEX
Food Inflation,2007-02-28,6.22,MEX
Food Inflation,2007-03-31,7.43,MEX
Food Inflation,2007-04-30,8.05,MEX
Food Inflation,2007-05-31,6.5,MEX
Food Inflation,2007-06-30,6.93,MEX
Food Inflation,2007-07-31,7.86,MEX
Food Inflation,2007-08-31,7.18,MEX
Food Inflation,2007-09-30,5.92,MEX
Food Inflation,2007-10-31,4.76,MEX
Food Inflation,2007-11-30,6.64,MEX
Food Inflation,2007-12-31,5.85,MEX
Food Inflation,2008-01-31,5.49,MEX
Food Inflation,2008-02-29,4.93,MEX
Food Inflation,2008-03-31,6.35,MEX
Food Inflation,2008-04-30,7.52,MEX
Food Inflation,2008-05-31,8.97,MEX
Food Inflation,2008-06-30,9.72,MEX
Food Inflation,2008-07-31,9.54,MEX
Food Inflation,2008-08-31,9.19,MEX
Food Inflation,2008-09-30,7.58,MEX
Food Inflation,2008-10-31,8.32,MEX
Food Inflation,2008-11-30,9.46,MEX
Food Inflation,2008-12-31,10.59,MEX
Food Inflation,2009-01-31,10.42,MEX
Food Inflation,2009-02-28,10.56,MEX
Food Inflation,2009-03-31,10.31,MEX
Food Inflation,2009-04-30,10.5,MEX
Food Inflation,2009-05-31,10.43,MEX
Food Inflation,2009-06-30,10.08,MEX
Food Inflation,2009-07-31,9.26,MEX
Food Inflation,2009-08-31,8.71,MEX
Food Inflation,2009-09-30,9.22,MEX
Food Inflation,2009-10-31,7.8,MEX
Food Inflation,2009-11-30,5.49,MEX
Food Inflation,2009-12-31,3.72,MEX
Food Inflation,2010-01-31,5.05,MEX
Food Inflation,2010-02-28,6.08,MEX
Food Inflation,2010-03-31,6.53,MEX
Food Inflation,2010-04-30,3.91,MEX
Food Inflation,2010-05-31,2.27,MEX
Food Inflation,2010-06-30,1.13,MEX
Food Inflation,2010-07-31,0.97,MEX
Food Inflation,2010-08-31,1.34,MEX
Food Inflation,2010-09-30,0.98,MEX
Food Inflation,2010-10-31,2.69,MEX
Food Inflation,2010-11-30,4.03,MEX
Food Inflation,2010-12-31,4.91,MEX
Food Inflation,2011-01-31,3.49,MEX
Food Inflation,2011-02-28,3.34,MEX
Food Inflation,2011-03-31,1.68,MEX
Food Inflation,2011-04-30,4.32,MEX
Food Inflation,2011-05-31,4.32,MEX
Food Inflation,2011-06-30,4.6,MEX
