date,value,value_high,value_low,iso_code
2022-05-01,11441874,11441874,11441874,MLI
2022-05-02,11357127,11357127,11357127,MLI
2022-05-03,11025736,11025736,11025736,MLI
2022-05-04,10752798,10752798,10752798,MLI
2022-05-05,10846340,10846340,10846340,MLI
2022-05-06,10753250,10753250,10753250,MLI
2022-05-07,10586033,10586033,10586033,MLI
2022-05-08,10399819,10399819,10399819,MLI
2022-05-09,10379200,10379200,10379200,MLI
2022-05-10,10290978,10290978,10290978,MLI
2022-05-11,10265763,10265763,10265763,MLI
2022-05-12,10198324,10198324,10198324,MLI
2022-05-13,10153341,10153341,10153341,MLI
2022-05-14,10149260,10149260,10149260,MLI
2022-05-15,10089687,10089687,10089687,MLI
2022-05-16,9843444,9843444,9843444,MLI
2022-05-17,9870972,9870972,9870972,MLI
2022-05-18,9921710,9921710,9921710,MLI
2022-05-19,9954673,9954673,9954673,MLI
2022-05-20,9949804,9949804,9949804,MLI
2022-05-21,9960912,9960912,9960912,MLI
2022-05-22,9963459,9963459,9963459,MLI
2022-05-23,10044055,10044055,10044055,MLI
2022-05-24,10077465,10077465,10077465,MLI
2022-05-25,10458996,10458996,10458996,MLI
2022-05-26,10579972,10579972,10579972,MLI
2022-05-27,10798354,10798354,10798354,MLI
2022-05-28,11022006,11022006,11022006,MLI
2022-05-29,11022323,11022323,11022323,MLI
2022-05-30,11031085,11031085,11031085,MLI
2022-05-31,11039449,11039449,11039449,MLI
2022-06-01,11024451,11024451,11024451,MLI
2022-06-02,11214656,11214656,11214656,MLI
2022-06-03,11137437,11137437,11137437,MLI
2022-06-04,11268604,11268604,11268604,MLI
2022-06-05,11358460,11358460,11358460,MLI
2022-06-06,11500186,11500186,11500186,MLI
2022-06-07,11491241,11491241,11491241,MLI
2022-06-08,11486027,11486027,11486027,MLI
2022-06-09,11622030,11622030,11622030,MLI
2022-06-10,11754711,11754711,11754711,MLI
2022-06-11,11859627,11859627,11859627,MLI
2022-06-12,11874246,11874246,11874246,MLI
2022-06-13,11989931,11989931,11989931,MLI
2022-06-14,11916158,11916158,11916158,MLI
2022-06-15,12096981,12096981,12096981,MLI
2022-06-16,12006484,12006484,12006484,MLI
2022-06-17,12108121,12108121,12108121,MLI
2022-06-18,12020973,12020973,12020973,MLI
2022-06-19,12158898,12158898,12158898,MLI
2022-06-20,12149826,12149826,12149826,MLI
2022-06-21,12262298,12262298,12262298,MLI
2022-06-22,12183389,12183389,12183389,MLI
2022-06-23,12178161,12178161,12178161,MLI
2022-06-24,12161620,12161620,12161620,MLI
2022-06-25,12022157,12022157,12022157,MLI
2022-06-26,11944682,11944682,11944682,MLI
2022-06-27,12012882,12012882,12012882,MLI
2022-06-28,12028786,12028786,12028786,MLI
2022-06-29,12079527,12079527,12079527,MLI
2022-06-30,12144035,12144035,12144035,MLI
2022-07-01,12106150,12106150,12106150,MLI
2022-07-02,12113301,12113301,12113301,MLI
2022-07-03,12344026,12344026,12344026,MLI
2022-07-04,12349057,12349057,12349057,MLI
2022-07-05,12340089,12340089,12340089,MLI
2022-07-06,12379054,12379054,12379054,MLI
2022-07-07,12543719,12543719,12543719,MLI
2022-07-08,12716191,12716191,12716191,MLI
2022-07-09,12676505,12676505,12676505,MLI
2022-07-10,12661001,12661001,12661001,MLI
2022-07-11,12720956,12720956,12720956,MLI
2022-07-12,12719307,12719307,12719307,MLI
2022-07-13,12754958,12754958,12754958,MLI
2022-07-14,12824090,12824090,12824090,MLI
2022-07-15,12820934,12820934,12820934,MLI
2022-07-16,12763551,12763551,12763551,MLI
2022-07-17,12531832,12531832,12531832,MLI
2022-07-18,12324670,12324670,12324670,MLI
2022-07-19,12028512,12028512,12028512,MLI
2022-07-20,11974966,11974966,11974966,MLI
2022-07-21,11907017,11907017,11907017,MLI
2022-07-22,11859944,11859944,11859944,MLI
2022-07-23,11759782,11759782,11759782,MLI
2022-07-24,11695567,11695567,11695567,MLI
2022-07-25,11726779,11726779,11726779,MLI
2022-07-26,11838536,11838536,11838536,MLI
2022-07-27,11833845,11833845,11833845,MLI
2022-07-28,11678563,11678563,11678563,MLI
2022-07-29,11595951,11595951,11595951,MLI
2022-07-30,11463217,11463217,11463217,MLI
2022-07-31,11624161,11624161,11624161,MLI
2022-08-01,11501356,11501356,11501356,MLI
