date,value,value_high,value_low,iso_code
2022-04-29,16026492,18577938,14025657,MMR
2022-04-30,16021155,18572584,13996358,MMR
2022-05-01,17701453,20788438,14923356,MMR
2022-05-02,17643441,20670914,14915598,MMR
2022-05-03,16066626,18580344,14001155,MMR
2022-05-04,16066183,18580344,14001155,MMR
2022-05-05,15908606,18361683,13925488,MMR
2022-05-06,15905117,18281319,13925532,MMR
2022-05-07,15907602,18282205,13925273,MMR
2022-05-08,15915514,18306709,13926631,MMR
2022-05-09,15859292,18254946,13885880,MMR
2022-05-10,15798900,18187050,13819603,MMR
2022-05-11,15745832,18104662,13815089,MMR
2022-05-12,15781902,18150476,13852357,MMR
2022-05-13,15959671,18392479,13946056,MMR
2022-05-14,15958847,18392479,13946056,MMR
2022-05-15,14945564,17062141,13067816,MMR
2022-05-16,14962092,17073867,13105279,MMR
2022-05-17,14876430,17007362,13015541,MMR
2022-05-18,14738229,16561981,12942319,MMR
2022-05-19,14740220,16565570,12956456,MMR
2022-05-20,14737206,16601689,12942837,MMR
2022-05-21,14732303,16587069,12936108,MMR
2022-05-22,14736163,16590374,12947516,MMR
2022-05-23,14794811,16693997,12999479,MMR
2022-05-24,14730321,16643721,12945350,MMR
2022-05-25,14711707,16636952,12921178,MMR
2022-05-26,14708477,16636952,12921178,MMR
2022-05-27,14682955,16541813,12912959,MMR
2022-05-28,14589609,16256392,12841260,MMR
2022-05-29,14585674,16261888,12864992,MMR
2022-05-30,14390549,16162691,12442660,MMR
2022-05-31,14393228,16169635,12442862,MMR
2022-06-01,14428005,16203893,12503783,MMR
2022-06-02,14478671,16211039,12542867,MMR
2022-06-03,14469921,16243310,12553748,MMR
2022-06-04,14463423,16240970,12579770,MMR
2022-06-05,14351012,16108568,12512939,MMR
2022-06-06,14367235,16124827,12515539,MMR
2022-06-07,14374637,16126569,12519285,MMR
2022-06-08,14377224,16120396,12510458,MMR
2022-06-09,14367054,16120182,12511070,MMR
2022-06-10,14380207,16127632,12511070,MMR
2022-06-11,14308554,16044928,12428950,MMR
2022-06-12,14347312,16097539,12483815,MMR
2022-06-13,14372818,16133574,12492882,MMR
2022-06-14,14392514,16136381,12472337,MMR
2022-06-15,14407819,16126711,12461856,MMR
2022-06-16,14380249,16115325,12466723,MMR
2022-06-17,14406687,16123536,12490253,MMR
2022-06-18,14387384,16131264,12465349,MMR
2022-06-19,14488931,16230038,12530358,MMR
2022-06-20,14487674,16227183,12529129,MMR
2022-06-21,14439180,16173720,12483695,MMR
2022-06-22,14457240,16180814,12492827,MMR
2022-06-23,14445879,16179596,12495412,MMR
2022-06-24,14458637,16187898,12495412,MMR
2022-06-25,14500544,16205442,12530012,MMR
2022-06-26,14563066,16314648,12603129,MMR
2022-06-27,14524519,16288927,12557457,MMR
2022-06-28,13625200,16767044,11339318,MMR
2022-06-29,13667747,16846434,11354344,MMR
2022-06-30,13705361,16828106,11377946,MMR
2022-07-01,13869084,16983640,11499572,MMR
2022-07-02,13861709,16954603,11502036,MMR
2022-07-03,13777205,16874684,11450172,MMR
2022-07-04,13786027,16874684,11455815,MMR
2022-07-05,13788037,16889609,11459370,MMR
2022-07-06,13792774,16890675,11456257,MMR
2022-07-07,13754236,16845073,11425845,MMR
2022-07-08,13852074,16952361,11483086,MMR
2022-07-09,13908061,16999382,11527618,MMR
2022-07-10,13912765,16999382,11532350,MMR
2022-07-11,13921254,17000134,11568558,MMR
2022-07-12,13914757,17000134,11568558,MMR
2022-07-13,13880188,16963485,11527684,MMR
2022-07-14,13878649,16961718,11538066,MMR
2022-07-15,13880403,16874025,11549755,MMR
2022-07-16,13880403,16874025,11541539,MMR
2022-07-17,13912725,16905777,11582413,MMR
2022-07-18,13803189,16772266,11502835,MMR
2022-07-19,13803189,16774872,11498718,MMR
2022-07-20,13806027,16779797,11498718,MMR
2022-07-21,13934277,17012370,11582969,MMR
2022-07-22,13934277,17009488,11579710,MMR
2022-07-23,13935693,17014630,11579763,MMR
2022-07-24,13934543,17009313,11577263,MMR
2022-07-25,13931747,16996355,11576938,MMR
2022-07-26,13979253,17094211,11618658,MMR
2022-07-27,13987978,17110224,11622189,MMR
2022-07-28,13972908,17116200,11587762,MMR
2022-07-29,13972908,17116200,11587762,MMR
