indicator,date,value,iso_code
Food Inflation,2004-04-30,8.9,MRT
Food Inflation,2004-08-31,17.57,MRT
Food Inflation,2005-01-31,21.76,MRT
Food Inflation,2005-02-28,21.47,MRT
Food Inflation,2005-03-31,19.53,MRT
Food Inflation,2005-04-30,18.12,MRT
Food Inflation,2005-05-31,18.45,MRT
Food Inflation,2005-06-30,17.24,MRT
Food Inflation,2005-07-31,16.57,MRT
Food Inflation,2005-08-31,13.96,MRT
Food Inflation,2005-09-30,7.76,MRT
Food Inflation,2005-12-31,4.51,MRT
Food Inflation,2006-01-31,1.22,MRT
Food Inflation,2006-02-28,1.51,MRT
Food Inflation,2006-03-31,2.1,MRT
Food Inflation,2006-04-30,4.29,MRT
Food Inflation,2006-05-31,3.78,MRT
Food Inflation,2006-06-30,3.6,MRT
Food Inflation,2006-07-31,4.3,MRT
Food Inflation,2006-08-31,4.25,MRT
Food Inflation,2006-09-30,11.67,MRT
Food Inflation,2006-10-31,11.6,MRT
Food Inflation,2006-11-30,12.57,MRT
Food Inflation,2006-12-31,11.91,MRT
Food Inflation,2007-01-31,13.3,MRT
Food Inflation,2007-02-28,12.43,MRT
Food Inflation,2007-03-31,11.16,MRT
Food Inflation,2007-04-30,10.38,MRT
Food Inflation,2007-05-31,10.01,MRT
Food Inflation,2007-06-30,9.94,MRT
Food Inflation,2007-07-31,9.01,MRT
Food Inflation,2007-08-31,7.81,MRT
Food Inflation,2007-09-30,6.72,MRT
Food Inflation,2007-10-31,8.43,MRT
Food Inflation,2007-11-30,8.96,MRT
Food Inflation,2007-12-31,9.25,MRT
Food Inflation,2008-01-31,9.28,MRT
Food Inflation,2008-02-29,9.93,MRT
Food Inflation,2008-03-31,9.97,MRT
Food Inflation,2008-04-30,11.23,MRT
Food Inflation,2008-05-31,10.66,MRT
Food Inflation,2008-06-30,10.85,MRT
Food Inflation,2008-07-31,11.67,MRT
Food Inflation,2008-08-31,12.76,MRT
Food Inflation,2008-09-30,12.27,MRT
Food Inflation,2008-10-31,8.9,MRT
Food Inflation,2008-11-30,6.44,MRT
Food Inflation,2008-12-31,5.12,MRT
Food Inflation,2009-01-31,4.61,MRT
Food Inflation,2009-02-28,3.91,MRT
Food Inflation,2009-03-31,3.18,MRT
Food Inflation,2009-04-30,0.53,MRT
Food Inflation,2009-05-31,0.88,MRT
Food Inflation,2009-06-30,0.82,MRT
Food Inflation,2009-07-31,0.4,MRT
Food Inflation,2009-08-31,0.45,MRT
Food Inflation,2009-09-30,0.96,MRT
Food Inflation,2009-10-31,2.97,MRT
Food Inflation,2009-11-30,4.96,MRT
Food Inflation,2009-12-31,6.6,MRT
Food Inflation,2010-01-31,6.32,MRT
Food Inflation,2010-02-28,6.89,MRT
Food Inflation,2010-03-31,14.32,MRT
Food Inflation,2010-04-30,8.53,MRT
Food Inflation,2010-05-31,9.08,MRT
Food Inflation,2010-06-30,8.55,MRT
Food Inflation,2010-07-31,7.95,MRT
Food Inflation,2010-08-31,8.6,MRT
Food Inflation,2010-09-30,7.91,MRT
Food Inflation,2010-10-31,6.88,MRT
Food Inflation,2010-12-31,6.74,MRT
Food Inflation,2011-01-31,7.31,MRT
Food Inflation,2011-02-28,6.83,MRT
Food Inflation,2011-03-31,1.02,MRT
Food Inflation,2011-04-30,6.94,MRT
Food Inflation,2011-05-31,6.35,MRT
Food Inflation,2011-06-30,6.33,MRT
Food Inflation,2011-07-31,6.41,MRT
Food Inflation,2011-08-31,5.21,MRT
Food Inflation,2011-09-30,6.08,MRT
Food Inflation,2011-10-31,6.59,MRT
Food Inflation,2011-12-31,5.24,MRT
Food Inflation,2012-01-31,5.19,MRT
Food Inflation,2012-02-29,5.18,MRT
Food Inflation,2012-03-31,4.84,MRT
Food Inflation,2012-04-30,5.23,MRT
Food Inflation,2012-05-31,4.97,MRT
Food Inflation,2012-06-30,4.8,MRT
Food Inflation,2012-07-31,4.28,MRT
Food Inflation,2012-08-31,4.21,MRT
Food Inflation,2012-09-30,3.53,MRT
Food Inflation,2012-10-31,3.6,MRT
Food Inflation,2012-11-30,6.72,MRT
Food Inflation,2012-12-31,2.85,MRT
Food Inflation,2013-01-31,2.95,MRT
Food Inflation,2013-02-28,2.89,MRT
Food Inflation,2013-03-31,0.0,MRT
Food Inflation,2013-04-30,2.92,MRT
Food Inflation,2013-05-31,3.44,MRT
Food Inflation,2013-06-30,4.25,MRT
Food Inflation,2013-07-31,4.2,MRT
Food Inflation,2013-08-31,6.04,MRT
Food Inflation,2013-09-30,6.2,MRT
Food Inflation,2013-10-31,5.55,MRT
Food Inflation,2013-11-30,5.64,MRT
Food Inflation,2013-12-31,5.56,MRT
Food Inflation,2014-01-31,5.32,MRT
Food Inflation,2014-02-28,5.11,MRT
Food Inflation,2014-03-31,5.1,MRT
Food Inflation,2014-04-30,4.37,MRT
Food Inflation,2014-05-31,4.4,MRT
Food Inflation,2014-06-30,3.89,MRT
Food Inflation,2014-07-31,4.4,MRT
Food Inflation,2014-08-31,4.2,MRT
Food Inflation,2014-09-30,5.4,MRT
Food Inflation,2014-10-31,5.6,MRT
Food Inflation,2014-11-30,6.2,MRT
