date,value,value_high,value_low,iso_code
2022-04-29,56714035,58841657,54974903,NGA
2022-04-30,56830158,58956520,55089604,NGA
2022-05-01,57028220,59140824,55429693,NGA
2022-05-02,56894292,59007422,55309271,NGA
2022-05-03,56258186,58311595,54688182,NGA
2022-05-04,56039035,57864756,54564606,NGA
2022-05-05,55799049,57626083,54321746,NGA
2022-05-06,55325118,57175559,53847525,NGA
2022-05-07,55292123,57142564,53814530,NGA
2022-05-08,55100125,56950566,53622532,NGA
2022-05-09,54884614,56733914,53407564,NGA
2022-05-10,54808170,56696058,53299916,NGA
2022-05-11,55092486,56991997,53582074,NGA
2022-05-12,55178607,57042320,53688165,NGA
2022-05-13,55034076,56902152,53550241,NGA
2022-05-14,55018588,56893261,53505676,NGA
2022-05-15,55474453,57400551,54008338,NGA
2022-05-16,54986832,56909474,53515549,NGA
2022-05-17,54742012,56748029,53252375,NGA
2022-05-18,54554097,56558276,53060371,NGA
2022-05-19,54360482,56348779,52858536,NGA
2022-05-20,54108904,56097201,52606958,NGA
2022-05-21,54064948,56032986,52597982,NGA
2022-05-22,54246475,56141293,52796908,NGA
2022-05-23,54104482,55999300,52654915,NGA
2022-05-24,53866818,55665949,52373887,NGA
2022-05-25,53755155,55631578,52253953,NGA
2022-05-26,53652088,55515622,52159446,NGA
2022-05-27,53392498,55308867,51890877,NGA
2022-05-28,53303837,55221828,51797226,NGA
2022-05-29,53687553,55578832,52159878,NGA
2022-05-30,53791841,55802511,52179541,NGA
2022-05-31,53865772,55875112,52252142,NGA
2022-06-01,52702465,54881176,50937665,NGA
2022-06-02,52794079,54967687,51031572,NGA
2022-06-03,52799833,54967059,51036244,NGA
2022-06-04,52625841,54803571,50862222,NGA
2022-06-05,52826610,55419818,50939070,NGA
2022-06-06,52842684,55435892,50955144,NGA
2022-06-07,53265394,56035491,51315332,NGA
2022-06-08,53297828,56067925,51347766,NGA
2022-06-09,53379200,56140025,51427527,NGA
2022-06-10,53451615,56212063,51494904,NGA
2022-06-11,53322582,56079437,51333959,NGA
2022-06-12,53268440,56100126,51282445,NGA
2022-06-13,52942452,55628585,50958186,NGA
2022-06-14,52926346,55605480,50937052,NGA
2022-06-15,52976634,55473433,51037953,NGA
2022-06-16,53340302,55822438,51450003,NGA
2022-06-17,53477182,55964193,51591908,NGA
2022-06-18,53604502,56038319,51716897,NGA
2022-06-19,53644489,56081349,51752063,NGA
2022-06-20,53706805,56148924,51811042,NGA
2022-06-21,53388483,55829360,51474484,NGA
2022-06-22,53309520,55769183,51396943,NGA
2022-06-23,53375033,55840249,51462176,NGA
2022-06-24,53363008,55754947,51458642,NGA
2022-06-25,53507451,55895204,51559626,NGA
2022-06-26,53100493,55296981,51245324,NGA
2022-06-27,53226125,55762117,51296350,NGA
2022-06-28,54265056,56740047,52398940,NGA
2022-06-29,54349511,56826684,52470104,NGA
2022-06-30,54389754,56900169,52449290,NGA
2022-07-01,53748531,56210347,51794501,NGA
2022-07-02,53756168,56186589,51799398,NGA
2022-07-03,53716046,56158193,51758263,NGA
2022-07-04,54048124,56490271,52090341,NGA
2022-07-05,54286546,56739993,52344863,NGA
2022-07-06,54305402,56757170,52360287,NGA
2022-07-07,54630389,57065407,52689928,NGA
2022-07-08,54544306,56980665,52604040,NGA
2022-07-09,54510777,56859319,52571544,NGA
2022-07-10,54646278,57409560,52614258,NGA
2022-07-11,54604174,57337853,52556183,NGA
2022-07-12,54673457,57282010,52623151,NGA
2022-07-13,55029172,57745943,52974989,NGA
2022-07-14,54982572,57633028,52931786,NGA
2022-07-15,54954425,57604881,52903639,NGA
2022-07-16,54972437,57622893,52929174,NGA
2022-07-17,54926005,57549894,52900872,NGA
2022-07-18,54787630,57418099,52762194,NGA
2022-07-19,54600433,56912754,52653339,NGA
2022-07-20,54735580,57203067,52769648,NGA
2022-07-21,54735092,57184724,52751023,NGA
2022-07-22,54887528,57359173,52917730,NGA
2022-07-23,54696650,57253488,52725196,NGA
2022-07-24,54862680,57441744,52878360,NGA
2022-07-25,54839893,57418480,52854457,NGA
2022-07-26,54953781,57771384,52879065,NGA
2022-07-27,54764090,57570768,52808986,NGA
2022-07-28,55101795,57961137,53030653,NGA
2022-07-29,55187466,58018731,53131802,NGA
