indicator,date,value,iso_code
Food Inflation,2014-01-31,3.83,OMN
Food Inflation,2014-02-28,2.17,OMN
Food Inflation,2014-03-31,2.37,OMN
Food Inflation,2014-04-30,2.59,OMN
Food Inflation,2014-05-31,2.68,OMN
Food Inflation,2014-06-30,2.2,OMN
Food Inflation,2014-07-31,-0.09,OMN
Food Inflation,2014-08-31,1.44,OMN
Food Inflation,2014-09-30,1.34,OMN
Food Inflation,2014-10-31,1.0,OMN
Food Inflation,2014-11-30,1.15,OMN
Food Inflation,2014-12-31,0.19,OMN
Food Inflation,2015-01-31,-1.51,OMN
Food Inflation,2015-02-28,-0.67,OMN
Food Inflation,2015-03-31,-0.87,OMN
Food Inflation,2015-04-30,-1.26,OMN
Food Inflation,2015-05-31,-1.45,OMN
Food Inflation,2015-06-30,-0.1,OMN
Food Inflation,2015-07-31,0.97,OMN
Food Inflation,2015-08-31,-0.9,OMN
Food Inflation,2015-09-30,-1.15,OMN
Food Inflation,2015-10-31,-1.28,OMN
Food Inflation,2015-11-30,-1.48,OMN
Food Inflation,2015-12-31,-0.14,OMN
Food Inflation,2016-01-31,-0.9,OMN
Food Inflation,2016-02-29,-1.36,OMN
Food Inflation,2016-03-31,-1.36,OMN
Food Inflation,2016-04-30,0.0,OMN
Food Inflation,2016-05-31,-0.67,OMN
Food Inflation,2016-06-30,-1.66,OMN
Food Inflation,2016-07-31,-2.11,OMN
Food Inflation,2016-08-31,-1.1,OMN
Food Inflation,2016-09-30,-0.77,OMN
Food Inflation,2016-10-31,-0.36,OMN
Food Inflation,2016-11-30,-1.3,OMN
Food Inflation,2016-12-31,-3.0,OMN
Food Inflation,2017-01-31,-2.05,OMN
Food Inflation,2017-02-28,0.1,OMN
Food Inflation,2017-03-31,0.4,OMN
Food Inflation,2017-04-30,-0.2,OMN
Food Inflation,2017-06-30,0.89,OMN
Food Inflation,2017-07-31,0.66,OMN
Food Inflation,2017-08-31,1.09,OMN
Food Inflation,2017-09-30,1.8,OMN
Food Inflation,2017-10-31,0.77,OMN
Food Inflation,2017-11-30,1.37,OMN
Food Inflation,2017-12-31,1.84,OMN
Food Inflation,2018-01-31,1.3,OMN
Food Inflation,2018-02-28,-0.34,OMN
Food Inflation,2018-03-31,-1.52,OMN
Food Inflation,2018-04-30,-0.72,OMN
Food Inflation,2018-05-31,0.0,OMN
Food Inflation,2018-06-30,-0.35,OMN
Food Inflation,2018-07-31,-0.7,OMN
Food Inflation,2018-08-31,-1.17,OMN
Food Inflation,2018-09-30,-2.3,OMN
Food Inflation,2018-10-31,-1.2,OMN
Food Inflation,2018-11-30,-0.8,OMN
Food Inflation,2018-12-31,-0.5,OMN
Food Inflation,2019-01-31,-0.1,OMN
Food Inflation,2019-02-28,1.1,OMN
Food Inflation,2019-03-31,2.3,OMN
Food Inflation,2019-04-30,1.6,OMN
Food Inflation,2019-05-31,0.3,OMN
Food Inflation,2019-06-30,-0.19,OMN
Food Inflation,2019-07-31,1.25,OMN
Food Inflation,2019-08-31,1.93,OMN
Food Inflation,2019-09-30,1.55,OMN
Food Inflation,2019-10-31,1.36,OMN
Food Inflation,2019-11-30,2.04,OMN
Food Inflation,2019-12-31,1.16,OMN
Food Inflation,2020-01-31,1.94,OMN
Food Inflation,2020-02-29,2.25,OMN
Food Inflation,2020-03-31,1.27,OMN
Food Inflation,2020-04-30,2.06,OMN
Food Inflation,2020-05-31,3.35,OMN
Food Inflation,2020-06-30,2.44,OMN
Food Inflation,2020-07-31,0.67,OMN
Food Inflation,2020-08-31,0.38,OMN
Food Inflation,2020-09-30,0.48,OMN
Food Inflation,2020-10-31,0.38,OMN
Food Inflation,2020-11-30,-0.86,OMN
Food Inflation,2020-12-31,-0.1,OMN
Food Inflation,2021-01-31,-0.76,OMN
Food Inflation,2021-02-28,-1.53,OMN
Food Inflation,2021-03-31,-1.06,OMN
Food Inflation,2021-04-30,0.29,OMN
Food Inflation,2021-05-31,-0.1,OMN
Food Inflation,2021-06-30,0.29,OMN
Food Inflation,2021-07-31,1.14,OMN
Food Inflation,2021-08-31,1.42,OMN
Food Inflation,2021-09-30,1.81,OMN
Food Inflation,2021-10-31,3.43,OMN
Food Inflation,2021-11-30,2.78,OMN
Food Inflation,2021-12-31,3.17,OMN
Food Inflation,2022-01-31,5.18,OMN
Food Inflation,2022-02-28,5.05,OMN
Food Inflation,2022-03-31,4.88,OMN
Food Inflation,2022-04-30,5.43,OMN
Food Inflation,2022-05-31,4.97,OMN
Inflation Rate,2005-11-30,2.2,OMN
Inflation Rate,2005-12-31,1.9,OMN
Inflation Rate,2006-01-31,2.2,OMN
Inflation Rate,2006-02-28,2.1,OMN
Inflation Rate,2006-03-31,3.0,OMN
Inflation Rate,2006-04-30,3.5,OMN
Inflation Rate,2006-05-31,3.4,OMN
Inflation Rate,2006-06-30,2.2,OMN
Inflation Rate,2006-07-31,3.3,OMN
Inflation Rate,2006-08-31,2.8,OMN
Inflation Rate,2006-09-30,3.1,OMN
Inflation Rate,2006-10-31,3.7,OMN
Inflation Rate,2006-11-30,3.4,OMN
Inflation Rate,2006-12-31,3.4,OMN
Inflation Rate,2007-01-31,3.4,OMN
Inflation Rate,2007-02-28,4.1,OMN
Inflation Rate,2007-03-31,3.7,OMN
Inflation Rate,2007-04-30,3.5,OMN
Inflation Rate,2007-05-31,3.3,OMN
Inflation Rate,2007-06-30,3.9,OMN
Inflation Rate,2007-07-31,4.5,OMN
Inflation Rate,2007-08-31,5.5,OMN
Inflation Rate,2007-09-30,6.9,OMN
Inflation Rate,2007-10-31,6.9,OMN
Inflation Rate,2007-11-30,7.1,OMN
Inflation Rate,2007-12-31,7.9,OMN
Inflation Rate,2008-01-31,10.1,OMN
Inflation Rate,2008-02-29,10.6,OMN
Inflation Rate,2008-03-31,11.7,OMN
Inflation Rate,2008-04-30,12.7,OMN
Inflation Rate,2008-05-31,13.7,OMN
Inflation Rate,2008-06-30,14.5,OMN
Inflation Rate,2008-07-31,14.1,OMN
Inflation Rate,2008-08-31,14.2,OMN
Inflation Rate,2008-09-30,12.9,OMN
Inflation Rate,2008-10-31,13.4,OMN
Inflation Rate,2008-11-30,13.4,OMN
Inflation Rate,2008-12-31,12.9,OMN
Inflation Rate,2009-01-31,10.7,OMN
Inflation Rate,2009-02-28,9.6,OMN
Inflation Rate,2009-03-31,7.8,OMN
Inflation Rate,2009-04-30,1.3,OMN
Inflation Rate,2009-05-31,5.7,OMN
Inflation Rate,2009-06-30,4.8,OMN
Inflation Rate,2009-07-31,3.2,OMN
Inflation Rate,2009-08-31,3.4,OMN
Inflation Rate,2009-09-30,2.9,OMN
Inflation Rate,2009-10-31,2.6,OMN
Inflation Rate,2009-11-30,2.7,OMN
Inflation Rate,2009-12-31,2.7,OMN
Inflation Rate,2010-01-31,3.3,OMN
Inflation Rate,2010-02-28,3.4,OMN
Inflation Rate,2010-03-31,4.2,OMN
Inflation Rate,2010-04-30,9.9,OMN
Inflation Rate,2010-05-31,4.7,OMN
Inflation Rate,2010-06-30,5.1,OMN
Inflation Rate,2010-07-31,5.0,OMN
Inflation Rate,2010-08-31,5.2,OMN
Inflation Rate,2010-09-30,5.9,OMN
Inflation Rate,2010-10-31,5.4,OMN
Inflation Rate,2010-11-30,4.5,OMN
Inflation Rate,2010-12-31,5.0,OMN
Inflation Rate,2011-01-31,4.2,OMN
Inflation Rate,2011-02-28,4.5,OMN
Inflation Rate,2011-03-31,4.7,OMN
Inflation Rate,2011-04-30,4.7,OMN
Inflation Rate,2011-05-31,4.7,OMN
Inflation Rate,2011-06-30,4.1,OMN
Inflation Rate,2011-07-31,4.6,OMN
Inflation Rate,2011-08-31,5.2,OMN
Inflation Rate,2011-09-30,3.7,OMN
Inflation Rate,2011-10-31,3.9,OMN
Inflation Rate,2011-11-30,4.5,OMN
Inflation Rate,2011-12-31,3.8,OMN
Inflation Rate,2012-01-31,3.7,OMN
Inflation Rate,2012-02-29,3.8,OMN
Inflation Rate,2012-03-31,3.2,OMN
