date,value,value_high,value_low,iso_code
2022-05-01,51717526,64218964,43788775,PAK
2022-05-02,51721325,64218964,43880350,PAK
2022-05-03,50946212,60766939,43106675,PAK
2022-05-04,50641843,60597824,42909031,PAK
2022-05-05,50677531,60637289,42967399,PAK
2022-05-06,50725337,60929397,42967399,PAK
2022-05-07,50652094,60853223,42978953,PAK
2022-05-08,50652094,60853223,42978953,PAK
2022-05-09,50625380,60846575,42726656,PAK
2022-05-10,50585586,60531503,42562533,PAK
2022-05-11,50893493,60087604,42762062,PAK
2022-05-12,50661908,59676818,42762062,PAK
2022-05-13,50661908,59693581,42762062,PAK
2022-05-14,52063869,61923146,42860284,PAK
2022-05-15,52059104,61923146,42858488,PAK
2022-05-16,52052361,61923146,42858488,PAK
2022-05-17,51536789,61434403,42480941,PAK
2022-05-18,51552031,61433354,42484024,PAK
2022-05-19,51482687,61719806,42541570,PAK
2022-05-20,51378662,61597785,42485542,PAK
2022-05-21,51249091,61484356,42528100,PAK
2022-05-22,51258457,61484356,42568029,PAK
2022-05-23,51304635,60399249,42871766,PAK
2022-05-24,51450229,60553370,43046219,PAK
2022-05-25,50704512,59829388,42661398,PAK
2022-05-26,50840676,59735283,43063194,PAK
2022-05-27,51341881,60501316,43339310,PAK
2022-05-28,50526178,59892251,42565954,PAK
2022-05-29,49968769,58558085,42369685,PAK
2022-05-30,49124122,57865962,41550817,PAK
2022-05-31,49771214,58113341,41915872,PAK
2022-06-01,49654617,58099721,41878113,PAK
2022-06-02,49646166,58217527,41878113,PAK
2022-06-03,49735994,58217527,42088522,PAK
2022-06-04,49800280,58283947,42164192,PAK
2022-06-05,49787517,58283947,42144333,PAK
2022-06-06,49745303,58314380,42140676,PAK
2022-06-07,49725902,58273560,42140676,PAK
2022-06-08,49534309,58097007,41926535,PAK
2022-06-09,49541087,58097007,41738597,PAK
2022-06-10,49373281,57850391,41711652,PAK
2022-06-11,49419821,58191495,41603233,PAK
2022-06-12,49420011,57856836,41597675,PAK
2022-06-13,49943810,58772045,41602616,PAK
2022-06-14,50422292,60691022,42264157,PAK
2022-06-15,50444298,61386797,42264157,PAK
2022-06-16,50804431,62701946,42500095,PAK
2022-06-17,50804834,62709404,42438952,PAK
2022-06-18,50784432,62709404,42523821,PAK
2022-06-19,49995917,62177794,41951877,PAK
2022-06-20,51070961,62794448,42583106,PAK
2022-06-21,50601543,62057831,42066903,PAK
2022-06-22,50402923,62068104,41656149,PAK
2022-06-23,50023053,61622340,41330247,PAK
2022-06-24,49124237,60371476,40443268,PAK
2022-06-25,49124237,60741179,40443268,PAK
2022-06-26,49124237,60741179,40443268,PAK
2022-06-27,49144120,60741179,40443268,PAK
2022-06-28,50527221,66278512,40778407,PAK
2022-06-29,51588168,67156882,41619912,PAK
2022-06-30,53399370,70800107,42234854,PAK
2022-07-01,53442200,70938704,42293149,PAK
2022-07-02,53455905,71327433,42293149,PAK
2022-07-03,53280999,71231064,42191271,PAK
2022-07-04,53255644,70851883,42191271,PAK
2022-07-05,53191569,70742867,42160955,PAK
2022-07-06,53167272,70742867,42162489,PAK
2022-07-07,53225686,70851883,42183538,PAK
2022-07-08,52554778,68955438,41856751,PAK
2022-07-09,51969003,68849837,41608443,PAK
2022-07-10,52184222,69185969,41626263,PAK
2022-07-11,53635387,70242279,42999620,PAK
2022-07-12,53962596,70221125,43197353,PAK
2022-07-13,53900089,70449684,43226135,PAK
2022-07-14,53932429,70449684,43226135,PAK
2022-07-15,53950929,70449684,43226135,PAK
2022-07-16,53732625,70291680,43226135,PAK
2022-07-17,53659965,70291680,42479850,PAK
2022-07-18,53592692,70291680,42480166,PAK
2022-07-19,53608120,70314114,42519697,PAK
2022-07-20,53608120,70314114,42510980,PAK
2022-07-21,53562463,70243274,42510980,PAK
2022-07-22,53555494,70243274,42762214,PAK
2022-07-23,53593431,70327341,43536812,PAK
2022-07-24,53577396,70327341,43373360,PAK
2022-07-25,53561968,70290967,43350166,PAK
2022-07-26,53561968,70290967,43350166,PAK
2022-07-27,52676829,68117479,42542560,PAK
2022-07-28,52379315,67826631,42264151,PAK
2022-07-29,52379315,67795241,42264151,PAK
2022-07-30,52357465,67795241,42399491,PAK
2022-07-31,52246748,67875539,42404082,PAK
2022-08-01,52132047,67631735,42249803,PAK
