date,value,value_high,value_low,iso_code
2022-04-29,15498743,18540429,13040157,PHL
2022-04-30,15443874,18547167,13017558,PHL
2022-05-01,14862409,18119704,12460195,PHL
2022-05-02,14881889,18133029,12450647,PHL
2022-05-03,15321960,18483670,12853793,PHL
2022-05-04,15321960,18483670,12853793,PHL
2022-05-05,15288064,18424023,12845763,PHL
2022-05-06,15230170,18515577,12708209,PHL
2022-05-07,15243388,18518329,12710132,PHL
2022-05-08,15240333,18508436,12710132,PHL
2022-05-09,15238883,18508541,12710132,PHL
2022-05-10,15238883,18508541,12708945,PHL
2022-05-11,15269961,18573025,12701128,PHL
2022-05-12,15288928,18616328,12744981,PHL
2022-05-13,15263873,18573025,12702174,PHL
2022-05-14,15263873,18573025,12702174,PHL
2022-05-15,15269845,18639097,12701969,PHL
2022-05-16,15257821,18603385,12681682,PHL
2022-05-17,15208031,18507088,12658934,PHL
2022-05-18,15220016,18501585,12688294,PHL
2022-05-19,15220016,18501585,12688294,PHL
2022-05-20,15200094,18472414,12686371,PHL
2022-05-21,15178125,18495795,12673609,PHL
2022-05-22,15175440,18470902,12668145,PHL
2022-05-23,15170415,18451332,12679696,PHL
2022-05-24,15152276,18420096,12624154,PHL
2022-05-25,15166199,18437491,12624154,PHL
2022-05-26,15165962,18437491,12624585,PHL
2022-05-27,15165962,18437491,12624585,PHL
2022-05-28,15165962,18437491,12624585,PHL
2022-05-29,15165962,18437491,12624585,PHL
2022-05-30,15176601,18482376,12662344,PHL
2022-05-31,15714651,18839136,13004779,PHL
2022-06-01,15730362,18847595,12979981,PHL
2022-06-02,15838261,19042037,13040936,PHL
2022-06-03,15904976,19096891,13072912,PHL
2022-06-04,15872428,19043669,13030993,PHL
2022-06-05,15845148,18958294,13030925,PHL
2022-06-06,15883582,18989635,13051939,PHL
2022-06-07,15877092,18952647,13281809,PHL
2022-06-08,15849014,18939810,13223415,PHL
2022-06-09,15857806,18941514,13230264,PHL
2022-06-10,15849621,18948555,13222488,PHL
2022-06-11,15855449,18915216,13223738,PHL
2022-06-12,15865829,18915420,13241724,PHL
2022-06-13,15875266,19050818,13257086,PHL
2022-06-14,15841005,18996878,13235096,PHL
2022-06-15,15826063,19008728,13244560,PHL
2022-06-16,15819700,19008728,13228483,PHL
2022-06-17,15845462,19005061,13239545,PHL
2022-06-18,15845784,19010414,13239545,PHL
2022-06-19,15603305,18373497,13151537,PHL
2022-06-20,15588635,18360086,13140332,PHL
2022-06-21,15548234,18321550,13119237,PHL
2022-06-22,15492887,18318941,13084165,PHL
2022-06-23,15488916,18318941,13088689,PHL
2022-06-24,15697131,18775400,13152506,PHL
2022-06-25,15742958,18831684,13185474,PHL
2022-06-26,15730160,18880455,13194134,PHL
2022-06-27,15703174,18818453,13150586,PHL
2022-06-28,15307937,18530021,12851440,PHL
2022-06-29,15444652,18692337,12866550,PHL
2022-06-30,15236753,18591109,12457253,PHL
2022-07-01,14444687,17539203,11985618,PHL
2022-07-02,14441259,17518745,11985618,PHL
2022-07-03,14444121,17543408,11985618,PHL
2022-07-04,14423283,17552670,11996600,PHL
2022-07-05,14431603,17542711,11994661,PHL
2022-07-06,14385011,17504821,11958377,PHL
2022-07-07,14391976,17526575,12013381,PHL
2022-07-08,14370027,17483058,11998646,PHL
2022-07-09,14365834,17476015,12001431,PHL
2022-07-10,14365834,17476015,12001431,PHL
2022-07-11,14314719,17298835,12000105,PHL
2022-07-12,14337696,17350653,12029384,PHL
2022-07-13,14338472,17320746,12029384,PHL
2022-07-14,14336015,17326671,12056238,PHL
2022-07-15,14378291,17343779,12051901,PHL
2022-07-16,14378291,17343779,12051901,PHL
2022-07-17,14396470,17409723,12069763,PHL
2022-07-18,14399648,17409723,12080681,PHL
2022-07-19,14483874,17556931,12086513,PHL
2022-07-20,14481490,17560321,12086522,PHL
2022-07-21,14639141,17907450,12148077,PHL
2022-07-22,14623086,17856858,12152141,PHL
2022-07-23,14623086,17856858,12141389,PHL
2022-07-24,14623086,17856858,12141389,PHL
2022-07-25,14623341,17877936,12149569,PHL
2022-07-26,14718302,17982991,12286522,PHL
2022-07-27,14736928,18025712,12287506,PHL
2022-07-28,14681405,17981420,12196676,PHL
2022-07-29,14684287,18004423,12196676,PHL
