date,value,value_high,value_low,iso_code
2022-04-29,2770254,3223761,2389288,RWA
2022-04-30,2770254,3223761,2389288,RWA
2022-05-01,2771107,3235351,2348811,RWA
2022-05-02,2771278,3235351,2348811,RWA
2022-05-03,2778600,3253694,2405929,RWA
2022-05-04,2778600,3253694,2405929,RWA
2022-05-05,2778600,3253694,2405929,RWA
2022-05-06,2790941,3238894,2392948,RWA
2022-05-07,2791009,3238894,2392948,RWA
2022-05-08,2791009,3238894,2392948,RWA
2022-05-09,2791009,3238894,2392948,RWA
2022-05-10,2791968,3238894,2392948,RWA
2022-05-11,2799736,3266049,2423196,RWA
2022-05-12,2811559,3280755,2381999,RWA
2022-05-13,2810223,3280755,2381999,RWA
2022-05-14,2811559,3280755,2381999,RWA
2022-05-15,2811559,3280755,2388778,RWA
2022-05-16,2814678,3280755,2389430,RWA
2022-05-17,2878756,3348050,2460768,RWA
2022-05-18,2888738,3348050,2460768,RWA
2022-05-19,2886279,3348050,2463250,RWA
2022-05-20,2886055,3348050,2460768,RWA
2022-05-21,2890788,3344443,2478906,RWA
2022-05-22,2890557,3343008,2479586,RWA
2022-05-23,2902248,3355681,2479586,RWA
2022-05-24,2915400,3365318,2489993,RWA
2022-05-25,2906697,3355759,2474774,RWA
2022-05-26,2895709,3353157,2474774,RWA
2022-05-27,2886019,3341633,2474774,RWA
2022-05-28,2887797,3341633,2474774,RWA
2022-05-29,2886019,3341633,2474094,RWA
2022-05-30,2887751,3341633,2474774,RWA
2022-05-31,2863680,3299519,2477248,RWA
2022-06-01,2850363,3304164,2466777,RWA
2022-06-02,2850525,3304164,2466777,RWA
2022-06-03,2843502,3304164,2466777,RWA
2022-06-04,2850525,3304164,2466777,RWA
2022-06-05,2842230,3304164,2466777,RWA
2022-06-06,2808465,3250178,2429025,RWA
2022-06-07,2808227,3250178,2425993,RWA
2022-06-08,2805107,3250178,2421969,RWA
2022-06-09,2802574,3250178,2420717,RWA
2022-06-10,2802574,3250178,2420717,RWA
2022-06-11,2814495,3248802,2437194,RWA
2022-06-12,2814333,3248802,2437194,RWA
2022-06-13,2814333,3248802,2437194,RWA
2022-06-14,2812003,3248802,2433894,RWA
2022-06-15,2798959,3245728,2415619,RWA
2022-06-16,2798959,3245728,2415619,RWA
2022-06-17,2798959,3245728,2415619,RWA
2022-06-18,2798959,3245728,2415619,RWA
2022-06-19,2798959,3245728,2415619,RWA
2022-06-20,2798959,3245728,2415619,RWA
2022-06-21,2798771,3244927,2406886,RWA
2022-06-22,2798771,3244927,2406886,RWA
2022-06-23,2798771,3244927,2406886,RWA
2022-06-24,2798771,3244927,2406886,RWA
2022-06-25,2797534,3254243,2424463,RWA
2022-06-26,2800321,3258566,2424085,RWA
2022-06-27,2800321,3258566,2427595,RWA
2022-06-28,2784853,3248967,2409054,RWA
2022-06-29,2784853,3248967,2409054,RWA
2022-06-30,2793388,3252338,2416593,RWA
2022-07-01,2803895,3248050,2425544,RWA
2022-07-02,2803895,3248050,2425544,RWA
2022-07-03,2802627,3248050,2423071,RWA
2022-07-04,2802908,3248050,2423071,RWA
2022-07-05,2802908,3248050,2423071,RWA
2022-07-06,2802908,3248050,2423071,RWA
2022-07-07,2802908,3248050,2423071,RWA
2022-07-08,2802908,3248050,2423071,RWA
2022-07-09,2802908,3248050,2423071,RWA
2022-07-10,2802908,3249913,2423071,RWA
2022-07-11,2803563,3248208,2423071,RWA
2022-07-12,2803574,3248208,2423417,RWA
2022-07-13,2803574,3248208,2421064,RWA
2022-07-14,2803574,3248208,2421064,RWA
2022-07-15,2803574,3248208,2421064,RWA
2022-07-16,2794843,3248208,2421064,RWA
2022-07-17,2794843,3248208,2421064,RWA
2022-07-18,2794843,3248208,2421064,RWA
2022-07-19,2794843,3248208,2421064,RWA
2022-07-20,2794843,3248208,2421064,RWA
2022-07-21,2797242,3256590,2421064,RWA
2022-07-22,2797242,3256590,2421064,RWA
2022-07-23,2797242,3256590,2421064,RWA
2022-07-24,2795901,3256590,2421064,RWA
2022-07-25,2795901,3256590,2421064,RWA
2022-07-26,2795763,3256590,2414865,RWA
2022-07-27,2771121,3243733,2390174,RWA
2022-07-28,2762933,3239799,2379021,RWA
2022-07-29,2756917,3170559,2365145,RWA
