date,value,value_high,value_low,iso_code
2022-05-01,10154595,12417365,8058506,SDN
2022-05-02,10154595,12417365,8058506,SDN
2022-05-03,10457462,12511634,8434361,SDN
2022-05-04,10457198,12511634,8435416,SDN
2022-05-05,10073695,12410774,8010388,SDN
2022-05-06,10112702,12506943,8052036,SDN
2022-05-07,10156673,12517555,8094263,SDN
2022-05-08,10156673,12517555,8094263,SDN
2022-05-09,10156673,12517555,8094263,SDN
2022-05-10,10097565,12382891,8037040,SDN
2022-05-11,10079941,12262942,8032059,SDN
2022-05-12,10070443,12262942,8022047,SDN
2022-05-13,10107830,12432469,8085179,SDN
2022-05-14,10072073,12262942,8029095,SDN
2022-05-15,10167961,12326932,8125413,SDN
2022-05-16,11262705,13532369,8912382,SDN
2022-05-17,11346015,13626216,8946541,SDN
2022-05-18,11324387,13625021,8946541,SDN
2022-05-19,11318312,13625021,8946541,SDN
2022-05-20,11315374,13619543,8943505,SDN
2022-05-21,11306764,13622660,8934300,SDN
2022-05-22,11306764,13622660,8934300,SDN
2022-05-23,11318777,13622660,8934300,SDN
2022-05-24,11332686,13647138,8952307,SDN
2022-05-25,11342837,13651009,8961947,SDN
2022-05-26,11349927,13654791,8969414,SDN
2022-05-27,11349927,13657270,8970851,SDN
2022-05-28,11345007,13657270,8970851,SDN
2022-05-29,11365229,13657270,8971472,SDN
2022-05-30,9973252,12220539,7858974,SDN
2022-05-31,9973252,12220539,7858974,SDN
2022-06-01,9951129,12212466,7885753,SDN
2022-06-02,9940946,12241659,7882530,SDN
2022-06-03,9943485,12316563,7921349,SDN
2022-06-04,10026100,12356876,7986308,SDN
2022-06-05,10016690,12302994,7981484,SDN
2022-06-06,9985923,12068841,7967451,SDN
2022-06-07,10022296,12142490,8007104,SDN
2022-06-08,10074820,12187883,8065828,SDN
2022-06-09,9992754,12077313,8083108,SDN
2022-06-10,10002879,12156557,8102558,SDN
2022-06-11,10299857,12390363,8313649,SDN
2022-06-12,10349953,12400310,8323986,SDN
2022-06-13,11104551,13300192,8822071,SDN
2022-06-14,11103525,13285601,8822071,SDN
2022-06-15,11096084,13284526,8820951,SDN
2022-06-16,11093698,13286500,8823337,SDN
2022-06-17,11029173,13177632,8785350,SDN
2022-06-18,11029173,13177632,8785350,SDN
2022-06-19,11028259,13177632,8785350,SDN
2022-06-20,11016199,13167935,8785350,SDN
2022-06-21,11014001,13167328,8777415,SDN
2022-06-22,10983150,13138545,8734744,SDN
2022-06-23,11016504,13143027,8740605,SDN
2022-06-24,11033012,13148641,8749940,SDN
2022-06-25,11013786,13125425,8753856,SDN
2022-06-26,11004852,13125425,8752303,SDN
2022-06-27,11004852,13125425,8752303,SDN
2022-06-28,9754690,11852799,7888782,SDN
2022-06-29,9754690,11852799,7888782,SDN
2022-06-30,9754690,11852799,7888782,SDN
2022-07-01,9739776,11807115,7886658,SDN
2022-07-02,9752083,11817963,7939541,SDN
2022-07-03,9752083,11814219,7939541,SDN
2022-07-04,9708461,11760810,7921299,SDN
2022-07-05,9708461,11760810,7921299,SDN
2022-07-06,9709761,11757152,7920442,SDN
2022-07-07,9709761,11757152,7920442,SDN
2022-07-08,9683608,11701812,7889899,SDN
2022-07-09,9683882,11701812,7889899,SDN
2022-07-10,9683882,11700699,7889899,SDN
2022-07-11,9921696,11970502,8026097,SDN
2022-07-12,9921696,11970502,8026097,SDN
2022-07-13,9921911,11970502,8026097,SDN
2022-07-14,10330730,12265385,8333810,SDN
2022-07-15,10334154,12265385,8333810,SDN
2022-07-16,10334317,12265385,8335769,SDN
2022-07-17,10333989,12265385,8333456,SDN
2022-07-18,10333081,12265385,8333456,SDN
2022-07-19,10333527,12265385,8333850,SDN
2022-07-20,10334435,12265385,8333850,SDN
2022-07-21,10338137,12263531,8337934,SDN
2022-07-22,10345135,12263531,8337934,SDN
2022-07-23,10345135,12263531,8337934,SDN
2022-07-24,10346026,12265075,8337934,SDN
2022-07-25,10346566,12265075,8337934,SDN
2022-07-26,10346566,12265075,8337934,SDN
2022-07-27,10351730,12272002,8338569,SDN
2022-07-28,10446624,12395450,8417618,SDN
2022-07-29,10447244,12401260,8418775,SDN
2022-07-30,10447428,12402198,8418775,SDN
2022-07-31,10447428,12402198,8420656,SDN
2022-08-01,10327119,12182902,8389897,SDN
