date,value,value_high,value_low,iso_code
2022-05-01,2742511,3232124,2271833,SEN
2022-05-02,2742986,3231199,2272108,SEN
2022-05-03,2782944,3267895,2304113,SEN
2022-05-04,2782944,3267895,2304113,SEN
2022-05-05,2780643,3267881,2303207,SEN
2022-05-06,2781596,3271274,2304530,SEN
2022-05-07,2780280,3269617,2305031,SEN
2022-05-08,2778059,3269198,2304463,SEN
2022-05-09,2774141,3258671,2302520,SEN
2022-05-10,2774141,3258671,2302520,SEN
2022-05-11,2771841,3255244,2301154,SEN
2022-05-12,2770180,3255244,2301154,SEN
2022-05-13,2770180,3255244,2301154,SEN
2022-05-14,2770180,3255244,2301154,SEN
2022-05-15,2769970,3255244,2301154,SEN
2022-05-16,2769970,3255244,2301154,SEN
2022-05-17,2774311,3261547,2305958,SEN
2022-05-18,2777379,3265174,2306249,SEN
2022-05-19,2765226,3245598,2297901,SEN
2022-05-20,2765226,3245598,2298533,SEN
2022-05-21,2764119,3242439,2296809,SEN
2022-05-22,2764176,3245012,2296809,SEN
2022-05-23,2764176,3245012,2296809,SEN
2022-05-24,2772810,3252882,2304635,SEN
2022-05-25,2747415,3244616,2280050,SEN
2022-05-26,2747462,3244616,2280050,SEN
2022-05-27,2747462,3244616,2280050,SEN
2022-05-28,2747462,3244616,2280050,SEN
2022-05-29,2747462,3244616,2280050,SEN
2022-05-30,2761765,3265136,2293025,SEN
2022-05-31,2761765,3265136,2293025,SEN
2022-06-01,2748864,3241915,2281582,SEN
2022-06-02,2748864,3241915,2281582,SEN
2022-06-03,2748864,3241915,2281582,SEN
2022-06-04,2748864,3241915,2281582,SEN
2022-06-05,2748864,3241915,2281582,SEN
2022-06-06,2748864,3241915,2281582,SEN
2022-06-07,2748773,3238077,2281582,SEN
2022-06-08,2748864,3241915,2281582,SEN
2022-06-09,2748773,3241915,2281582,SEN
2022-06-10,2748864,3241915,2281582,SEN
2022-06-11,2744322,3243647,2278297,SEN
2022-06-12,2744322,3243647,2278297,SEN
2022-06-13,2744322,3243647,2278297,SEN
2022-06-14,2744322,3243647,2278297,SEN
2022-06-15,2749899,3240157,2286929,SEN
2022-06-16,2749899,3240157,2286929,SEN
2022-06-17,2749696,3240157,2280895,SEN
2022-06-18,2749812,3231462,2280530,SEN
2022-06-19,2749812,3231462,2280530,SEN
2022-06-20,2749812,3231462,2280530,SEN
2022-06-21,2747177,3234425,2273281,SEN
2022-06-22,2747177,3234425,2273281,SEN
2022-06-23,2747177,3234425,2273281,SEN
2022-06-24,2747177,3234425,2273281,SEN
2022-06-25,2737849,3236515,2270299,SEN
2022-06-26,2737849,3236515,2270299,SEN
2022-06-27,2737849,3236515,2270299,SEN
2022-06-28,2676494,3155187,2247529,SEN
2022-06-29,2676315,3156158,2247529,SEN
2022-06-30,2664307,3141442,2264711,SEN
2022-07-01,2548675,3096121,2154927,SEN
2022-07-02,2548675,3096121,2154927,SEN
2022-07-03,2548675,3096121,2154927,SEN
2022-07-04,2555589,3104889,2159408,SEN
2022-07-05,2555589,3104889,2159408,SEN
2022-07-06,2555589,3104889,2159408,SEN
2022-07-07,2555589,3104889,2158396,SEN
2022-07-08,2555589,3104889,2158396,SEN
2022-07-09,2555589,3104889,2158396,SEN
2022-07-10,2555589,3104889,2158396,SEN
2022-07-11,2556126,3116452,2155524,SEN
2022-07-12,2556126,3116452,2155524,SEN
2022-07-13,2556134,3116452,2155524,SEN
2022-07-14,2556134,3116452,2155524,SEN
2022-07-15,2556134,3116452,2155524,SEN
2022-07-16,2556134,3116452,2155524,SEN
2022-07-17,2556134,3116452,2155524,SEN
2022-07-18,2556134,3116452,2155524,SEN
2022-07-19,2556134,3116452,2155524,SEN
2022-07-20,2556134,3116452,2155524,SEN
2022-07-21,2557613,3120403,2155009,SEN
2022-07-22,2557613,3120403,2155658,SEN
2022-07-23,2557613,3120403,2155009,SEN
2022-07-24,2557613,3120403,2155009,SEN
2022-07-25,2557613,3120403,2155009,SEN
2022-07-26,2557613,3120403,2155009,SEN
2022-07-27,2603960,3193305,2177581,SEN
2022-07-28,2552313,3100782,2155766,SEN
2022-07-29,2552313,3100782,2155766,SEN
2022-07-30,2552313,3100782,2155766,SEN
2022-07-31,2552313,3100782,2155766,SEN
2022-08-01,2530804,3072865,2140752,SEN
