date,value,value_high,value_low,iso_code
2022-05-01,143781,188795,95848,SLB
2022-05-02,143781,188795,95848,SLB
2022-05-03,143516,188859,94699,SLB
2022-05-04,143516,188859,94699,SLB
2022-05-05,143516,188859,94699,SLB
2022-05-06,143736,188887,94739,SLB
2022-05-07,143736,188887,94739,SLB
2022-05-08,143736,188887,94739,SLB
2022-05-09,143736,188887,94739,SLB
2022-05-10,143736,188887,94739,SLB
2022-05-11,143923,188950,94779,SLB
2022-05-12,143923,188950,94779,SLB
2022-05-13,143923,188950,94779,SLB
2022-05-14,143923,188950,94779,SLB
2022-05-15,143923,188950,94779,SLB
2022-05-16,143923,188950,94779,SLB
2022-05-17,144089,189049,94815,SLB
2022-05-18,144089,189049,94815,SLB
2022-05-19,144089,189049,94815,SLB
2022-05-20,144089,189049,94815,SLB
2022-05-21,144089,189187,95040,SLB
2022-05-22,144089,189187,95040,SLB
2022-05-23,144089,189187,95040,SLB
2022-05-24,144160,189314,95208,SLB
2022-05-25,144160,189314,95208,SLB
2022-05-26,144160,189314,95208,SLB
2022-05-27,144160,189314,95208,SLB
2022-05-28,144160,189314,95208,SLB
2022-05-29,144160,189314,95208,SLB
2022-05-30,144160,189314,95208,SLB
2022-05-31,144160,189314,95208,SLB
2022-06-01,144906,190299,95316,SLB
2022-06-02,144906,190299,95316,SLB
2022-06-03,144906,190299,95316,SLB
2022-06-04,144906,190299,95316,SLB
2022-06-05,144906,190299,95316,SLB
2022-06-06,144906,190299,95316,SLB
2022-06-07,144906,190299,95316,SLB
2022-06-08,144906,190299,95316,SLB
2022-06-09,144906,190299,95316,SLB
2022-06-10,144906,190299,95316,SLB
2022-06-11,144906,190412,95374,SLB
2022-06-12,144906,190412,95374,SLB
2022-06-13,144906,190412,95374,SLB
2022-06-14,144906,190412,95374,SLB
2022-06-15,144956,190430,95374,SLB
2022-06-16,144956,190430,95374,SLB
2022-06-17,144956,190430,95374,SLB
2022-06-18,144956,190430,95374,SLB
2022-06-19,144956,190430,95374,SLB
2022-06-20,144956,190430,95374,SLB
2022-06-21,144956,190430,95374,SLB
2022-06-22,144956,190430,95374,SLB
2022-06-23,144956,190430,95374,SLB
2022-06-24,144956,190430,95374,SLB
2022-06-25,144964,190430,95398,SLB
2022-06-26,144964,190430,95398,SLB
2022-06-27,144964,190430,95398,SLB
2022-06-28,145035,190338,96428,SLB
2022-06-29,145035,190338,96428,SLB
2022-06-30,145035,190338,96428,SLB
2022-07-01,145856,191196,96958,SLB
2022-07-02,145856,191196,96958,SLB
2022-07-03,145856,191196,96958,SLB
2022-07-04,145856,191196,96958,SLB
2022-07-05,145856,191196,96958,SLB
2022-07-06,145856,191196,96958,SLB
2022-07-07,145856,191196,96958,SLB
2022-07-08,145856,191196,96958,SLB
2022-07-09,145856,191196,96958,SLB
2022-07-10,145856,191196,96958,SLB
2022-07-11,147722,192070,97808,SLB
2022-07-12,147722,192070,97808,SLB
2022-07-13,147722,192070,97808,SLB
2022-07-14,147722,192070,97808,SLB
2022-07-15,147722,192070,97808,SLB
2022-07-16,147722,192070,97808,SLB
2022-07-17,147722,192070,97808,SLB
2022-07-18,147722,192070,97808,SLB
2022-07-19,147722,192070,97808,SLB
2022-07-20,147722,192070,97808,SLB
2022-07-21,148362,193271,98028,SLB
2022-07-22,148362,193271,98028,SLB
2022-07-23,148362,193271,98028,SLB
2022-07-24,148362,193271,98028,SLB
2022-07-25,148362,193271,98028,SLB
2022-07-26,148362,193271,98028,SLB
2022-07-27,148362,193271,98028,SLB
2022-07-28,150294,194450,98787,SLB
2022-07-29,150294,194450,98787,SLB
2022-07-30,150294,194450,98787,SLB
2022-07-31,150294,194450,98787,SLB
2022-08-01,151236,195856,99601,SLB
