date,value,value_high,value_low,iso_code
2022-05-02,3293944,3293944,3293944,SLE
2022-05-03,3290610,3290610,3290610,SLE
2022-05-04,3297734,3297734,3297734,SLE
2022-05-05,3325022,3325022,3325022,SLE
2022-05-06,3243992,3243992,3243992,SLE
2022-05-07,3287585,3287585,3287585,SLE
2022-05-08,3235735,3235735,3235735,SLE
2022-05-09,3194290,3194290,3194290,SLE
2022-05-10,3148725,3148725,3148725,SLE
2022-05-11,3132636,3132636,3132636,SLE
2022-05-12,3175842,3175842,3175842,SLE
2022-05-13,3118130,3118130,3118130,SLE
2022-05-14,3098502,3098502,3098502,SLE
2022-05-15,3068171,3068171,3068171,SLE
2022-05-16,3088205,3088205,3088205,SLE
2022-05-17,3091901,3091901,3091901,SLE
2022-05-18,3023392,3023392,3023392,SLE
2022-05-19,3025034,3025034,3025034,SLE
2022-05-20,3036392,3036392,3036392,SLE
2022-05-21,3028248,3028248,3028248,SLE
2022-05-22,3016496,3016496,3016496,SLE
2022-05-23,3009846,3009846,3009846,SLE
2022-05-24,2984601,2984601,2984601,SLE
2022-05-25,2989460,2989460,2989460,SLE
2022-05-26,2982974,2982974,2982974,SLE
2022-05-27,2985319,2985319,2985319,SLE
2022-05-28,2960188,2960188,2960188,SLE
2022-05-29,2974549,2974549,2974549,SLE
2022-05-30,3005881,3005881,3005881,SLE
2022-05-31,3112705,3112705,3112705,SLE
2022-06-01,3121068,3121068,3121068,SLE
2022-06-02,3119844,3119844,3119844,SLE
2022-06-03,3155335,3155335,3155335,SLE
2022-06-04,3157893,3157893,3157893,SLE
2022-06-05,3194013,3194013,3194013,SLE
2022-06-06,3117245,3117245,3117245,SLE
2022-06-07,3180575,3180575,3180575,SLE
2022-06-08,3202524,3202524,3202524,SLE
2022-06-09,3241698,3241698,3241698,SLE
2022-06-10,3287961,3287961,3287961,SLE
2022-06-11,3265586,3265586,3265586,SLE
2022-06-12,3323086,3323086,3323086,SLE
2022-06-13,3423288,3423288,3423288,SLE
2022-06-14,3504688,3504688,3504688,SLE
2022-06-15,3535674,3535674,3535674,SLE
2022-06-16,3532442,3532442,3532442,SLE
2022-06-17,3629430,3629430,3629430,SLE
2022-06-18,3624045,3624045,3624045,SLE
2022-06-19,3622142,3622142,3622142,SLE
2022-06-20,3604696,3604696,3604696,SLE
2022-06-21,3687826,3687826,3687826,SLE
2022-06-22,3771568,3771568,3771568,SLE
2022-06-23,3797593,3797593,3797593,SLE
2022-06-24,3810121,3810121,3810121,SLE
2022-06-25,3851476,3851476,3851476,SLE
2022-06-26,3875494,3875494,3875494,SLE
2022-06-27,3890803,3890803,3890803,SLE
2022-06-28,3865599,3865599,3865599,SLE
2022-06-29,3965155,3965155,3965155,SLE
2022-06-30,3951079,3951079,3951079,SLE
2022-07-01,4003922,4003922,4003922,SLE
2022-07-02,3985337,3985337,3985337,SLE
2022-07-03,4018101,4018101,4018101,SLE
2022-07-04,4032504,4032504,4032504,SLE
2022-07-05,4086550,4086550,4086550,SLE
2022-07-06,4095610,4095610,4095610,SLE
2022-07-07,4112420,4112420,4112420,SLE
2022-07-08,4141969,4141969,4141969,SLE
2022-07-09,4183259,4183259,4183259,SLE
2022-07-10,4210378,4210378,4210378,SLE
2022-07-11,4211017,4211017,4211017,SLE
2022-07-12,4312158,4312158,4312158,SLE
2022-07-13,4283408,4283408,4283408,SLE
2022-07-14,4308151,4308151,4308151,SLE
2022-07-15,4361552,4361552,4361552,SLE
2022-07-16,4410923,4410923,4410923,SLE
2022-07-17,4439097,4439097,4439097,SLE
2022-07-18,4428096,4428096,4428096,SLE
2022-07-19,4449714,4449714,4449714,SLE
2022-07-20,4481484,4481484,4481484,SLE
2022-07-21,4526216,4526216,4526216,SLE
2022-07-22,4450605,4450605,4450605,SLE
2022-07-23,4521068,4521068,4521068,SLE
2022-07-24,4515163,4515163,4515163,SLE
2022-07-25,4423673,4423673,4423673,SLE
2022-07-26,4434602,4434602,4434602,SLE
2022-07-27,4416955,4416955,4416955,SLE
2022-07-28,4434129,4434129,4434129,SLE
2022-07-29,4378131,4378131,4378131,SLE
2022-07-30,4350205,4350205,4350205,SLE
2022-07-31,4345084,4345084,4345084,SLE
2022-08-01,4419482,4419482,4419482,SLE
2022-08-02,4424708,4424708,4424708,SLE
