indicator,date,value,iso_code
Food Inflation,2010-01-31,-5.57,SLV
Food Inflation,2010-02-28,-4.08,SLV
Food Inflation,2010-03-31,-2.05,SLV
Food Inflation,2010-04-30,-1.65,SLV
Food Inflation,2010-05-31,-1.96,SLV
Food Inflation,2010-06-30,1.25,SLV
Food Inflation,2010-07-31,1.79,SLV
Food Inflation,2010-08-31,1.64,SLV
Food Inflation,2010-09-30,2.46,SLV
Food Inflation,2010-10-31,6.0,SLV
Food Inflation,2010-11-30,7.62,SLV
Food Inflation,2010-12-31,7.88,SLV
Food Inflation,2011-01-31,6.74,SLV
Food Inflation,2011-02-28,6.37,SLV
Food Inflation,2011-03-31,5.85,SLV
Food Inflation,2011-04-30,9.07,SLV
Food Inflation,2011-05-31,10.13,SLV
Food Inflation,2011-06-30,8.84,SLV
Food Inflation,2011-07-31,9.41,SLV
Food Inflation,2011-08-31,9.77,SLV
Food Inflation,2011-09-30,7.19,SLV
Food Inflation,2011-10-31,3.89,SLV
Food Inflation,2011-11-30,3.26,SLV
Food Inflation,2011-12-31,3.16,SLV
Food Inflation,2012-01-31,2.99,SLV
Food Inflation,2012-02-29,2.67,SLV
Food Inflation,2012-03-31,1.6,SLV
Food Inflation,2012-04-30,0.21,SLV
Food Inflation,2012-05-31,-0.46,SLV
Food Inflation,2012-06-30,-1.36,SLV
Food Inflation,2012-07-31,-1.92,SLV
Food Inflation,2012-08-31,-1.68,SLV
Food Inflation,2012-09-30,-0.09,SLV
Food Inflation,2012-10-31,0.39,SLV
Food Inflation,2012-11-30,0.42,SLV
Food Inflation,2012-12-31,1.11,SLV
Food Inflation,2013-01-31,1.86,SLV
Food Inflation,2013-02-28,2.7,SLV
Food Inflation,2013-03-31,3.72,SLV
Food Inflation,2013-04-30,2.09,SLV
Food Inflation,2013-05-31,1.92,SLV
Food Inflation,2013-06-30,2.59,SLV
Food Inflation,2013-07-31,2.49,SLV
Food Inflation,2013-08-31,2.74,SLV
Food Inflation,2013-09-30,2.38,SLV
Food Inflation,2013-10-31,2.36,SLV
Food Inflation,2013-11-30,1.88,SLV
Food Inflation,2013-12-31,1.94,SLV
Food Inflation,2014-01-31,1.93,SLV
Food Inflation,2014-02-28,1.16,SLV
Food Inflation,2014-03-31,0.22,SLV
Food Inflation,2014-04-30,0.64,SLV
Food Inflation,2014-05-31,1.73,SLV
Food Inflation,2014-06-30,2.42,SLV
Food Inflation,2014-07-31,4.26,SLV
Food Inflation,2014-08-31,5.98,SLV
Food Inflation,2014-09-30,5.5,SLV
Food Inflation,2014-10-31,5.68,SLV
Food Inflation,2014-11-30,5.06,SLV
Food Inflation,2014-12-31,3.71,SLV
Food Inflation,2015-01-31,3.2,SLV
Food Inflation,2015-02-28,3.0,SLV
Food Inflation,2015-03-31,3.51,SLV
Food Inflation,2015-04-30,4.17,SLV
Food Inflation,2015-05-31,3.77,SLV
Food Inflation,2015-06-30,2.06,SLV
Food Inflation,2015-07-31,0.45,SLV
Food Inflation,2015-08-31,-1.38,SLV
Food Inflation,2015-09-30,-1.06,SLV
Food Inflation,2015-10-31,-1.08,SLV
Food Inflation,2015-11-30,-0.41,SLV
Food Inflation,2015-12-31,0.84,SLV
Food Inflation,2016-01-31,2.1,SLV
Food Inflation,2016-02-29,1.63,SLV
Food Inflation,2016-03-31,0.66,SLV
Food Inflation,2016-04-30,-0.22,SLV
Food Inflation,2016-05-31,-0.53,SLV
Food Inflation,2016-06-30,-0.57,SLV
Food Inflation,2016-07-31,-0.91,SLV
Food Inflation,2016-08-31,-1.03,SLV
Food Inflation,2016-09-30,-1.72,SLV
Food Inflation,2016-10-31,-1.71,SLV
Food Inflation,2016-11-30,-2.05,SLV
Food Inflation,2016-12-31,-2.39,SLV
Food Inflation,2017-01-31,-3.38,SLV
Food Inflation,2017-02-28,-2.13,SLV
Food Inflation,2017-03-31,-1.22,SLV
Food Inflation,2017-04-30,-0.42,SLV
Food Inflation,2017-05-31,-0.36,SLV
Food Inflation,2017-06-30,0.39,SLV
Food Inflation,2017-07-31,1.28,SLV
Food Inflation,2017-08-31,0.78,SLV
Food Inflation,2017-09-30,1.3,SLV
Food Inflation,2017-10-31,1.19,SLV
Food Inflation,2017-11-30,2.22,SLV
Food Inflation,2017-12-31,2.49,SLV
Food Inflation,2018-01-31,1.8,SLV
Food Inflation,2018-02-28,1.2,SLV
Food Inflation,2018-03-31,0.7,SLV
Food Inflation,2018-04-30,0.1,SLV
Food Inflation,2018-05-31,-0.1,SLV
Food Inflation,2018-06-30,-0.7,SLV
Food Inflation,2018-07-31,-0.7,SLV
Food Inflation,2018-08-31,1.0,SLV
Food Inflation,2018-09-30,1.4,SLV
Food Inflation,2018-10-31,0.85,SLV
Food Inflation,2018-11-30,0.46,SLV
