date,value,value_high,value_low,iso_code
2022-05-02,11313286,11313286,11313286,SOM
2022-05-03,11300758,11300758,11300758,SOM
2022-05-04,11310002,11310002,11310002,SOM
2022-05-05,11325256,11325256,11325256,SOM
2022-05-06,11330204,11330204,11330204,SOM
2022-05-07,11328188,11328188,11328188,SOM
2022-05-08,11334718,11334718,11334718,SOM
2022-05-09,11357744,11357744,11357744,SOM
2022-05-10,11354660,11354660,11354660,SOM
2022-05-11,11353396,11353396,11353396,SOM
2022-05-12,11356223,11356223,11356223,SOM
2022-05-13,11339397,11339397,11339397,SOM
2022-05-14,11334355,11334355,11334355,SOM
2022-05-15,11317639,11317639,11317639,SOM
2022-05-16,11314748,11314748,11314748,SOM
2022-05-17,11316276,11316276,11316276,SOM
2022-05-18,11309787,11309787,11309787,SOM
2022-05-19,11299652,11299652,11299652,SOM
2022-05-20,11296433,11296433,11296433,SOM
2022-05-21,11305433,11305433,11305433,SOM
2022-05-22,11309245,11309245,11309245,SOM
2022-05-23,11285204,11285204,11285204,SOM
2022-05-24,11278274,11278274,11278274,SOM
2022-05-25,11291697,11291697,11291697,SOM
2022-05-26,11284385,11284385,11284385,SOM
2022-05-27,11288987,11288987,11288987,SOM
2022-05-28,11292554,11292554,11292554,SOM
2022-05-29,11274143,11274143,11274143,SOM
2022-05-30,11258610,11258610,11258610,SOM
2022-05-31,11237113,11237113,11237113,SOM
2022-06-01,11255173,11255173,11255173,SOM
2022-06-02,11245498,11245498,11245498,SOM
2022-06-03,11252501,11252501,11252501,SOM
2022-06-04,11295815,11295815,11295815,SOM
2022-06-05,11283203,11283203,11283203,SOM
2022-06-06,11257656,11257656,11257656,SOM
2022-06-07,11272721,11272721,11272721,SOM
2022-06-08,11287813,11287813,11287813,SOM
2022-06-09,11307273,11307273,11307273,SOM
2022-06-10,11310560,11310560,11310560,SOM
2022-06-11,11299043,11299043,11299043,SOM
2022-06-12,11298462,11298462,11298462,SOM
2022-06-13,11288858,11288858,11288858,SOM
2022-06-14,11280816,11280816,11280816,SOM
2022-06-15,11269999,11269999,11269999,SOM
2022-06-16,11282718,11282718,11282718,SOM
2022-06-17,11285331,11285331,11285331,SOM
2022-06-18,11283718,11283718,11283718,SOM
2022-06-19,11275497,11275497,11275497,SOM
2022-06-20,11273714,11273714,11273714,SOM
2022-06-21,11212080,11212080,11212080,SOM
2022-06-22,11199197,11199197,11199197,SOM
2022-06-23,11197590,11197590,11197590,SOM
2022-06-24,11201856,11201856,11201856,SOM
2022-06-25,11195202,11195202,11195202,SOM
2022-06-26,11194620,11194620,11194620,SOM
2022-06-27,11123026,11123026,11123026,SOM
2022-06-28,11136814,11136814,11136814,SOM
2022-06-29,11132270,11132270,11132270,SOM
2022-06-30,11133828,11133828,11133828,SOM
2022-07-01,11140818,11140818,11140818,SOM
2022-07-02,11135477,11135477,11135477,SOM
2022-07-03,11155657,11155657,11155657,SOM
2022-07-04,11143355,11143355,11143355,SOM
2022-07-05,11141953,11141953,11141953,SOM
2022-07-06,11143470,11143470,11143470,SOM
2022-07-07,11130240,11130240,11130240,SOM
2022-07-08,11118765,11118765,11118765,SOM
2022-07-09,11095877,11095877,11095877,SOM
2022-07-10,11086310,11086310,11086310,SOM
2022-07-11,11074010,11074010,11074010,SOM
2022-07-12,11054289,11054289,11054289,SOM
2022-07-13,11051813,11051813,11051813,SOM
2022-07-14,11044233,11044233,11044233,SOM
2022-07-15,11046741,11046741,11046741,SOM
2022-07-16,11036202,11036202,11036202,SOM
2022-07-17,11047337,11047337,11047337,SOM
2022-07-18,11043886,11043886,11043886,SOM
2022-07-19,11064854,11064854,11064854,SOM
2022-07-20,11056898,11056898,11056898,SOM
2022-07-21,11030822,11030822,11030822,SOM
2022-07-22,11034415,11034415,11034415,SOM
2022-07-23,11033066,11033066,11033066,SOM
2022-07-24,11026108,11026108,11026108,SOM
2022-07-25,11037351,11037351,11037351,SOM
2022-07-26,11025876,11025876,11025876,SOM
2022-07-27,11025093,11025093,11025093,SOM
2022-07-28,11027673,11027673,11027673,SOM
2022-07-29,11050945,11050945,11050945,SOM
2022-07-30,11049667,11049667,11049667,SOM
2022-07-31,11038766,11038766,11038766,SOM
2022-08-01,10940275,10940275,10940275,SOM
2022-08-02,10923532,10923532,10923532,SOM
