date,value,value_high,value_low,iso_code
2022-04-29,347817,399267,297811,SWZ
2022-04-30,347817,399267,298928,SWZ
2022-05-01,339591,391314,286523,SWZ
2022-05-02,339657,391314,286958,SWZ
2022-05-03,347752,399311,298928,SWZ
2022-05-04,347959,399311,298928,SWZ
2022-05-05,347959,399311,298928,SWZ
2022-05-06,340183,390818,290369,SWZ
2022-05-07,340183,390818,290369,SWZ
2022-05-08,340183,390818,290369,SWZ
2022-05-09,340183,390818,290369,SWZ
2022-05-10,340183,390818,290369,SWZ
2022-05-11,339127,389055,290408,SWZ
2022-05-12,339906,391517,292022,SWZ
2022-05-13,339906,391517,292022,SWZ
2022-05-14,339906,391517,292022,SWZ
2022-05-15,339906,391517,292022,SWZ
2022-05-16,339906,391517,292022,SWZ
2022-05-17,338672,391888,292496,SWZ
2022-05-18,339045,392167,292832,SWZ
2022-05-19,339045,392167,293510,SWZ
2022-05-20,339045,391898,293510,SWZ
2022-05-21,337627,391788,292461,SWZ
2022-05-22,337550,391788,292461,SWZ
2022-05-23,336246,390906,292013,SWZ
2022-05-24,335634,390906,292750,SWZ
2022-05-25,335412,390906,292257,SWZ
2022-05-26,335670,390906,292023,SWZ
2022-05-27,335670,390906,292023,SWZ
2022-05-28,335155,390221,292023,SWZ
2022-05-29,335024,388774,291046,SWZ
2022-05-30,329557,382393,287872,SWZ
2022-05-31,329021,382393,287872,SWZ
2022-06-01,316352,359889,281417,SWZ
2022-06-02,315393,358619,281032,SWZ
2022-06-03,315213,357965,280393,SWZ
2022-06-04,314841,357965,280393,SWZ
2022-06-05,314947,357965,280393,SWZ
2022-06-06,314947,357965,280393,SWZ
2022-06-07,314947,357965,280393,SWZ
2022-06-08,314947,357965,280393,SWZ
2022-06-09,315760,358544,281035,SWZ
2022-06-10,315580,358544,280980,SWZ
2022-06-11,312091,353451,276354,SWZ
2022-06-12,312416,354110,276585,SWZ
2022-06-13,312555,354256,276585,SWZ
2022-06-14,312715,354256,276585,SWZ
2022-06-15,301608,343213,265149,SWZ
2022-06-16,298380,338229,261214,SWZ
2022-06-17,298284,338229,261214,SWZ
2022-06-18,297839,338229,260763,SWZ
2022-06-19,295647,337348,259564,SWZ
2022-06-20,292592,336532,254188,SWZ
2022-06-21,282502,321213,247065,SWZ
2022-06-22,284683,325109,247862,SWZ
2022-06-23,287100,326778,249020,SWZ
2022-06-24,284836,325310,248831,SWZ
2022-06-25,281611,322513,246395,SWZ
2022-06-26,281288,322513,246395,SWZ
2022-06-27,282111,322753,247568,SWZ
2022-06-28,292077,340615,251992,SWZ
2022-06-29,292077,340759,251395,SWZ
2022-06-30,292247,340356,251395,SWZ
2022-07-01,296123,343046,253879,SWZ
2022-07-02,296048,342845,253879,SWZ
2022-07-03,295492,342845,255810,SWZ
2022-07-04,295492,342845,255810,SWZ
2022-07-05,295492,342492,256020,SWZ
2022-07-06,295683,342865,256095,SWZ
2022-07-07,295491,343939,256210,SWZ
2022-07-08,295491,344714,256210,SWZ
2022-07-09,295491,344714,256210,SWZ
2022-07-10,295667,344714,256428,SWZ
2022-07-11,295805,344330,254698,SWZ
2022-07-12,296023,344700,254422,SWZ
2022-07-13,295844,344345,254044,SWZ
2022-07-14,295501,344345,254044,SWZ
2022-07-15,293937,343975,253380,SWZ
2022-07-16,293937,343975,253380,SWZ
2022-07-17,293937,343975,253380,SWZ
2022-07-18,293888,343975,253380,SWZ
2022-07-19,292799,342643,251661,SWZ
2022-07-20,292830,342643,251661,SWZ
2022-07-21,291730,342522,251245,SWZ
2022-07-22,290472,342394,250074,SWZ
2022-07-23,290472,342394,250074,SWZ
2022-07-24,290472,342394,250074,SWZ
2022-07-25,290472,342394,250074,SWZ
2022-07-26,290472,342394,250074,SWZ
2022-07-27,290472,342394,250074,SWZ
2022-07-28,291223,342514,251277,SWZ
2022-07-29,292702,342514,252450,SWZ
