date,value,value_high,value_low,iso_code
2022-05-02,2169170,2430881,1860895,TGO
2022-05-03,2114111,2389760,1845987,TGO
2022-05-04,2114111,2389760,1845987,TGO
2022-05-05,2112563,2389760,1845987,TGO
2022-05-06,2108889,2377477,1844875,TGO
2022-05-07,2108889,2377477,1844875,TGO
2022-05-08,2108034,2366800,1842593,TGO
2022-05-09,2108034,2366800,1842593,TGO
2022-05-10,2108034,2366800,1842593,TGO
2022-05-11,2107693,2377360,1842444,TGO
2022-05-12,2107693,2377360,1842444,TGO
2022-05-13,2107693,2377360,1842444,TGO
2022-05-14,2107693,2377360,1842444,TGO
2022-05-15,2106994,2377360,1842444,TGO
2022-05-16,2106432,2375604,1842444,TGO
2022-05-17,2107235,2354568,1843844,TGO
2022-05-18,2108591,2360777,1843844,TGO
2022-05-19,2115957,2372722,1845162,TGO
2022-05-20,2114667,2372722,1845162,TGO
2022-05-21,2114382,2374422,1843738,TGO
2022-05-22,2114584,2374422,1843738,TGO
2022-05-23,2115814,2374422,1851157,TGO
2022-05-24,2105248,2368284,1839659,TGO
2022-05-25,2106613,2370832,1841827,TGO
2022-05-26,2109428,2386447,1841827,TGO
2022-05-27,2109428,2387327,1841827,TGO
2022-05-28,2110335,2387327,1841827,TGO
2022-05-29,2115207,2393195,1844631,TGO
2022-05-30,2120634,2392925,1830882,TGO
2022-05-31,2120634,2399191,1830882,TGO
2022-06-01,2101690,2377832,1817478,TGO
2022-06-02,2101690,2377832,1817478,TGO
2022-06-03,2101690,2377832,1817478,TGO
2022-06-04,2101690,2377832,1817478,TGO
2022-06-05,2100443,2374567,1817478,TGO
2022-06-06,2099929,2374567,1817478,TGO
2022-06-07,2098880,2374567,1815376,TGO
2022-06-08,2099929,2374567,1817478,TGO
2022-06-09,2099929,2374567,1817478,TGO
2022-06-10,2099929,2374567,1817478,TGO
2022-06-11,2053596,2340166,1787853,TGO
2022-06-12,2053596,2340166,1787853,TGO
2022-06-13,2053827,2341252,1787853,TGO
2022-06-14,2053596,2341252,1787853,TGO
2022-06-15,2053827,2335803,1786289,TGO
2022-06-16,2053827,2335803,1786289,TGO
2022-06-17,2053827,2337495,1786289,TGO
2022-06-18,2053827,2337495,1786289,TGO
2022-06-19,2053827,2337495,1786289,TGO
2022-06-20,2053827,2337495,1786289,TGO
2022-06-21,2026399,2298451,1775585,TGO
2022-06-22,2026399,2298451,1775585,TGO
2022-06-23,2026399,2298451,1775585,TGO
2022-06-24,2026399,2298451,1775585,TGO
2022-06-25,2022833,2298451,1775585,TGO
2022-06-26,2022833,2298451,1775585,TGO
2022-06-27,2022833,2298451,1775585,TGO
2022-06-28,2059413,2352494,1802418,TGO
2022-06-29,2059413,2352494,1802418,TGO
2022-06-30,2062086,2354712,1802418,TGO
2022-07-01,2058827,2346994,1786516,TGO
2022-07-02,2058982,2346994,1786516,TGO
2022-07-03,2058827,2346994,1786516,TGO
2022-07-04,2058827,2346994,1786516,TGO
2022-07-05,2058827,2346994,1786516,TGO
2022-07-06,2058827,2346994,1786516,TGO
2022-07-07,2058827,2346994,1786516,TGO
2022-07-08,2060152,2346994,1786516,TGO
2022-07-09,2060152,2346994,1786516,TGO
2022-07-10,2060152,2346994,1786516,TGO
2022-07-11,2059890,2349531,1784602,TGO
2022-07-12,2059890,2349531,1784602,TGO
2022-07-13,2059890,2349531,1784602,TGO
2022-07-14,2061002,2349531,1789889,TGO
2022-07-15,2061002,2349531,1789889,TGO
2022-07-16,2061002,2349531,1789889,TGO
2022-07-17,2061002,2349531,1789889,TGO
2022-07-18,2061002,2349531,1789889,TGO
2022-07-19,2061002,2349531,1789889,TGO
2022-07-20,2061002,2349531,1789889,TGO
2022-07-21,2061736,2354349,1787930,TGO
2022-07-22,2061736,2354349,1787930,TGO
2022-07-23,2065328,2355232,1788535,TGO
2022-07-24,2065328,2355232,1788535,TGO
2022-07-25,2065328,2355232,1788535,TGO
2022-07-26,2065328,2355232,1788535,TGO
2022-07-27,2047389,2323364,1770626,TGO
2022-07-28,2069081,2348743,1787393,TGO
2022-07-29,2067991,2348743,1789864,TGO
2022-07-30,2067991,2348743,1789864,TGO
2022-07-31,2067906,2348743,1789864,TGO
2022-08-01,2068730,2348766,1792734,TGO
2022-08-02,2068730,2348766,1792734,TGO
