date,value,value_high,value_low,iso_code
2022-05-01,2726062,3217485,2231096,TJK
2022-05-02,2726062,3217485,2231096,TJK
2022-05-03,2726062,3217485,2231096,TJK
2022-05-04,2726062,3217485,2231096,TJK
2022-05-05,2725123,3213867,2231096,TJK
2022-05-06,2725123,3213867,2231096,TJK
2022-05-07,2725123,3213867,2231096,TJK
2022-05-08,2725123,3213867,2231096,TJK
2022-05-09,2725123,3213867,2231096,TJK
2022-05-10,2725123,3213867,2231096,TJK
2022-05-11,2723992,3228906,2237797,TJK
2022-05-12,2723992,3228906,2237797,TJK
2022-05-13,2720401,3192142,2228242,TJK
2022-05-14,2720401,3192142,2228242,TJK
2022-05-15,2720401,3192142,2228242,TJK
2022-05-16,2720401,3192142,2228242,TJK
2022-05-17,2720401,3192142,2228242,TJK
2022-05-18,2720401,3192142,2228242,TJK
2022-05-19,2720401,3192142,2228242,TJK
2022-05-20,2720401,3192142,2228242,TJK
2022-05-21,2720401,3192142,2225056,TJK
2022-05-22,2720401,3192142,2225056,TJK
2022-05-23,2720401,3192142,2225056,TJK
2022-05-24,2720401,3192142,2225056,TJK
2022-05-25,2720401,3192142,2225056,TJK
2022-05-26,2720401,3192142,2225056,TJK
2022-05-27,2725648,3228906,2241898,TJK
2022-05-28,2725648,3228906,2241898,TJK
2022-05-29,2720401,3192142,2225056,TJK
2022-05-30,2725648,3228906,2241898,TJK
2022-05-31,2725648,3228906,2241898,TJK
2022-06-01,2715142,3216192,2225051,TJK
2022-06-02,2716417,3216192,2225051,TJK
2022-06-03,2716417,3216192,2225051,TJK
2022-06-04,2716417,3216192,2225051,TJK
2022-06-05,2716417,3215646,2212569,TJK
2022-06-06,2732284,3220139,2230735,TJK
2022-06-07,2732284,3220139,2230735,TJK
2022-06-08,2732284,3227654,2232499,TJK
2022-06-09,2732284,3227654,2232499,TJK
2022-06-10,2732284,3227654,2246374,TJK
2022-06-11,2730496,3226099,2239923,TJK
2022-06-12,2730496,3226099,2239923,TJK
2022-06-13,2751633,3257574,2274024,TJK
2022-06-14,2759003,3257574,2274024,TJK
2022-06-15,2760316,3257574,2274024,TJK
2022-06-16,2760316,3257574,2274024,TJK
2022-06-17,2760316,3257574,2274024,TJK
2022-06-18,2760316,3257574,2274024,TJK
2022-06-19,2760316,3257574,2274024,TJK
2022-06-20,2760316,3250361,2274024,TJK
2022-06-21,2764037,3250361,2276332,TJK
2022-06-22,2777204,3253336,2285344,TJK
2022-06-23,2777204,3253336,2285344,TJK
2022-06-24,2781326,3253336,2285344,TJK
2022-06-25,2781326,3253336,2285344,TJK
2022-06-26,2781326,3253336,2285344,TJK
2022-06-27,2781326,3253336,2285344,TJK
2022-06-28,2778807,3253336,2276332,TJK
2022-06-29,2778807,3258893,2276332,TJK
2022-06-30,2766320,3254709,2239333,TJK
2022-07-01,1951555,2270383,1728368,TJK
2022-07-02,1951555,2270383,1728368,TJK
2022-07-03,1955974,2274312,1742963,TJK
2022-07-04,1978299,2295444,1749904,TJK
2022-07-05,1996782,2296551,1754277,TJK
2022-07-06,2003829,2299571,1756699,TJK
2022-07-07,2003547,2303455,1751727,TJK
2022-07-08,2037683,2340678,1782557,TJK
2022-07-09,2054285,2357741,1786128,TJK
2022-07-10,2062185,2364624,1791556,TJK
2022-07-11,2118220,2462062,1844027,TJK
2022-07-12,2220131,2634351,1888532,TJK
2022-07-13,2224349,2656021,1904674,TJK
2022-07-14,2222810,2651621,1904674,TJK
2022-07-15,2222810,2651621,1904674,TJK
2022-07-16,2222810,2651621,1904674,TJK
2022-07-17,2222810,2642477,1904674,TJK
2022-07-18,2223101,2642477,1904674,TJK
2022-07-19,2224967,2642477,1910023,TJK
2022-07-20,2218774,2632040,1900288,TJK
2022-07-21,2216399,2620561,1898384,TJK
2022-07-22,2216399,2620561,1898384,TJK
2022-07-23,2216399,2620561,1898384,TJK
2022-07-24,2216399,2620561,1898384,TJK
2022-07-25,2216399,2620561,1898384,TJK
2022-07-26,2216399,2620561,1898384,TJK
2022-07-27,2214531,2620561,1911378,TJK
2022-07-28,2216423,2620561,1900288,TJK
2022-07-29,2216423,2620561,1900288,TJK
2022-07-30,2216423,2620561,1900288,TJK
2022-07-31,2216423,2620561,1900288,TJK
2022-08-01,2196490,2585568,1894721,TJK
