indicator,date,value,iso_code
Food Inflation,2009-01-31,39.64,VEN
Food Inflation,2009-02-28,38.07,VEN
Food Inflation,2009-03-31,36.7,VEN
Food Inflation,2009-04-30,34.31,VEN
Food Inflation,2009-05-31,26.89,VEN
Food Inflation,2009-06-30,23.81,VEN
Food Inflation,2009-07-31,24.06,VEN
Food Inflation,2009-08-31,24.72,VEN
Food Inflation,2009-09-30,26.16,VEN
Food Inflation,2009-10-31,24.83,VEN
Food Inflation,2009-11-30,22.94,VEN
Food Inflation,2009-12-31,20.24,VEN
Food Inflation,2010-01-31,18.42,VEN
Food Inflation,2010-02-28,18.93,VEN
Food Inflation,2010-03-31,22.95,VEN
Food Inflation,2010-04-30,36.58,VEN
Food Inflation,2010-05-31,40.74,VEN
Food Inflation,2010-06-30,42.25,VEN
Food Inflation,2010-07-31,40.44,VEN
Food Inflation,2010-08-31,38.61,VEN
Food Inflation,2010-09-30,34.5,VEN
Food Inflation,2010-10-31,33.92,VEN
Food Inflation,2010-11-30,33.19,VEN
Food Inflation,2010-12-31,33.84,VEN
Food Inflation,2011-01-31,37.2,VEN
Food Inflation,2011-02-28,37.25,VEN
Food Inflation,2011-03-31,33.7,VEN
Food Inflation,2011-04-30,21.61,VEN
Food Inflation,2011-05-31,20.88,VEN
Food Inflation,2011-06-30,22.32,VEN
Food Inflation,2011-07-31,26.91,VEN
Food Inflation,2011-08-31,29.76,VEN
Food Inflation,2011-09-30,31.2,VEN
Food Inflation,2011-10-31,32.35,VEN
Food Inflation,2011-11-30,34.08,VEN
Food Inflation,2011-12-31,33.64,VEN
Food Inflation,2012-01-31,31.09,VEN
Food Inflation,2012-02-29,31.72,VEN
Food Inflation,2012-03-31,31.29,VEN
Food Inflation,2012-04-30,31.51,VEN
Food Inflation,2012-05-31,30.33,VEN
Food Inflation,2012-06-30,27.24,VEN
Food Inflation,2012-07-31,21.72,VEN
Food Inflation,2012-08-31,17.89,VEN
Food Inflation,2012-09-30,18.53,VEN
Food Inflation,2012-10-31,18.69,VEN
Food Inflation,2012-11-30,19.16,VEN
Food Inflation,2012-12-31,23.72,VEN
Food Inflation,2013-01-31,27.75,VEN
Food Inflation,2013-02-28,26.79,VEN
Food Inflation,2013-03-31,30.28,VEN
Food Inflation,2013-04-30,37.0,VEN
Food Inflation,2013-05-31,48.12,VEN
Food Inflation,2013-06-30,55.44,VEN
Food Inflation,2013-07-31,58.79,VEN
Food Inflation,2013-08-31,62.55,VEN
Food Inflation,2013-09-30,67.34,VEN
Food Inflation,2013-10-31,72.13,VEN
Food Inflation,2013-11-30,79.31,VEN
Food Inflation,2013-12-31,73.88,VEN
Food Inflation,2014-01-31,72.24,VEN
Food Inflation,2014-02-28,74.42,VEN
Food Inflation,2014-03-31,79.15,VEN
Food Inflation,2014-04-30,82.26,VEN
Food Inflation,2014-05-31,76.3,VEN
Food Inflation,2014-06-30,79.44,VEN
Food Inflation,2014-07-31,85.56,VEN
Food Inflation,2014-08-31,91.04,VEN
Food Inflation,2014-09-30,93.75,VEN
Food Inflation,2014-10-31,94.7,VEN
Food Inflation,2014-11-30,92.86,VEN
Food Inflation,2014-12-31,102.23,VEN
Food Inflation,2015-01-31,124.2,VEN
Food Inflation,2015-02-28,136.4,VEN
Food Inflation,2015-03-31,140.9,VEN
Food Inflation,2015-04-30,141.3,VEN
Food Inflation,2015-05-31,152.2,VEN
Food Inflation,2015-06-30,171.8,VEN
Food Inflation,2015-07-31,199.8,VEN
Food Inflation,2015-08-31,232.2,VEN
Food Inflation,2015-09-30,254.3,VEN
Food Inflation,2015-10-31,281.3,VEN
Food Inflation,2015-11-30,304.0,VEN
Food Inflation,2015-12-31,381.8,VEN
Food Inflation,2016-01-31,305.6,VEN
Food Inflation,2016-02-29,315.5,VEN
Food Inflation,2016-03-31,323.5,VEN
Food Inflation,2016-04-30,372.8,VEN
Food Inflation,2016-05-31,426.0,VEN
Food Inflation,2016-06-30,468.2,VEN
Food Inflation,2016-07-31,449.4,VEN
