date,value,value_high,value_low,iso_code
2022-05-02,2687137,2687137,2687137,ZMB
2022-05-03,2591954,2591954,2591954,ZMB
2022-05-04,2608624,2608624,2608624,ZMB
2022-05-05,2638378,2638378,2638378,ZMB
2022-05-06,2654525,2654525,2654525,ZMB
2022-05-07,2536490,2536490,2536490,ZMB
2022-05-08,2544364,2544364,2544364,ZMB
2022-05-09,2502566,2502566,2502566,ZMB
2022-05-10,2646592,2646592,2646592,ZMB
2022-05-11,2554152,2554152,2554152,ZMB
2022-05-12,2517340,2517340,2517340,ZMB
2022-05-13,2493770,2493770,2493770,ZMB
2022-05-14,2476696,2476696,2476696,ZMB
2022-05-15,2478368,2478368,2478368,ZMB
2022-05-16,2430564,2430564,2430564,ZMB
2022-05-17,2410225,2410225,2410225,ZMB
2022-05-18,2364639,2364639,2364639,ZMB
2022-05-19,2304698,2304698,2304698,ZMB
2022-05-20,2206445,2206445,2206445,ZMB
2022-05-21,2212150,2212150,2212150,ZMB
2022-05-22,2218964,2218964,2218964,ZMB
2022-05-23,2233136,2233136,2233136,ZMB
2022-05-24,2205946,2205946,2205946,ZMB
2022-05-25,2202104,2202104,2202104,ZMB
2022-05-26,2185306,2185306,2185306,ZMB
2022-05-27,2131967,2131967,2131967,ZMB
2022-05-28,2134121,2134121,2134121,ZMB
2022-05-29,2112537,2112537,2112537,ZMB
2022-05-30,2061930,2061930,2061930,ZMB
2022-05-31,2086195,2086195,2086195,ZMB
2022-06-01,2040506,2040506,2040506,ZMB
2022-06-02,2109837,2109837,2109837,ZMB
2022-06-03,2063089,2063089,2063089,ZMB
2022-06-04,2065491,2065491,2065491,ZMB
2022-06-05,2039229,2039229,2039229,ZMB
2022-06-06,2015368,2015368,2015368,ZMB
2022-06-07,1961430,1961430,1961430,ZMB
2022-06-08,1930996,1930996,1930996,ZMB
2022-06-09,1899156,1899156,1899156,ZMB
2022-06-10,1903306,1903306,1903306,ZMB
2022-06-11,1876267,1876267,1876267,ZMB
2022-06-12,1922614,1922614,1922614,ZMB
2022-06-13,1927548,1927548,1927548,ZMB
2022-06-14,1904624,1904624,1904624,ZMB
2022-06-15,1927509,1927509,1927509,ZMB
2022-06-16,1922827,1922827,1922827,ZMB
2022-06-17,1898203,1898203,1898203,ZMB
2022-06-18,1983520,1983520,1983520,ZMB
2022-06-19,2015487,2015487,2015487,ZMB
2022-06-20,1949998,1949998,1949998,ZMB
2022-06-21,1967622,1967622,1967622,ZMB
2022-06-22,2014702,2014702,2014702,ZMB
2022-06-23,2066257,2066257,2066257,ZMB
2022-06-24,2050060,2050060,2050060,ZMB
2022-06-25,2141586,2141586,2141586,ZMB
2022-06-26,2262143,2262143,2262143,ZMB
2022-06-27,2264432,2264432,2264432,ZMB
2022-06-28,2245361,2245361,2245361,ZMB
2022-06-29,2275050,2275050,2275050,ZMB
2022-06-30,2234459,2234459,2234459,ZMB
2022-07-01,2266853,2266853,2266853,ZMB
2022-07-02,2218987,2218987,2218987,ZMB
2022-07-03,2383399,2383399,2383399,ZMB
2022-07-04,2382983,2382983,2382983,ZMB
2022-07-05,2399116,2399116,2399116,ZMB
2022-07-06,2451658,2451658,2451658,ZMB
2022-07-07,2521356,2521356,2521356,ZMB
2022-07-08,2539040,2539040,2539040,ZMB
2022-07-09,2455782,2455782,2455782,ZMB
2022-07-10,2488678,2488678,2488678,ZMB
2022-07-11,2494966,2494966,2494966,ZMB
2022-07-12,2414493,2414493,2414493,ZMB
2022-07-13,2447755,2447755,2447755,ZMB
2022-07-14,2499911,2499911,2499911,ZMB
2022-07-15,2477880,2477880,2477880,ZMB
2022-07-16,2503116,2503116,2503116,ZMB
2022-07-17,2503314,2503314,2503314,ZMB
2022-07-18,2476601,2476601,2476601,ZMB
2022-07-19,2441380,2441380,2441380,ZMB
2022-07-20,2465989,2465989,2465989,ZMB
2022-07-21,2472053,2472053,2472053,ZMB
2022-07-22,2449412,2449412,2449412,ZMB
2022-07-23,2438440,2438440,2438440,ZMB
2022-07-24,2404100,2404100,2404100,ZMB
2022-07-25,2378654,2378654,2378654,ZMB
2022-07-26,2329608,2329608,2329608,ZMB
2022-07-27,2362600,2362600,2362600,ZMB
2022-07-28,2381732,2381732,2381732,ZMB
2022-07-29,2346524,2346524,2346524,ZMB
2022-07-30,2445408,2445408,2445408,ZMB
2022-07-31,2526703,2526703,2526703,ZMB
2022-08-01,2497327,2497327,2497327,ZMB
2022-08-02,2450875,2450875,2450875,ZMB
